sample	non_sig	sig	total	Tissue_Color_Code	Tissue	Abbreviation
GTOP-AJ141-1053	1662	150	1812	69AE6A	Liver	LIVER
GTOP-AJ141-2099	2784	210	2994	A8D650	Adrenal_Gland	ADRNLG
GTOP-AJ142-1053	1490	191	1681	69AE6A	Liver	LIVER
GTOP-AJ211-0160	2891	238	3129	E59525	Adipose	ADP
GTOP-AJ211-1856	2576	210	2786	8F8495	Gallbladder	BLADDER
GTOP-AJ221-1053	1630	164	1794	69AE6A	Liver	LIVER
GTOP-AJ221-1470	1959	167	2126	535426	Small_Intestine	SNTTRM
GTOP-AJ221-1584	2035	197	2232	E7C08D	Colon	COLON
GTOP-AJ221-1601	2035	144	2179	F8D895	Stomach	STMACH
GTOP-AJ221-1710	2336	159	2495	AF8C5C	Esophagus	ESP
GTOP-AJ221-4002	1582	115	1697	9C5CA1	Heart_Left_Ventricle	HEARTLV
GTOP-AJ221-4003	1442	110	1552	A780A0	Heart_Right_Ventricle	HEARTRV
GTOP-AJ221-4018	1436	66	1502	8466A6	Heart_Right_Atrium	HEARTRA
GTOP-AJ221-4019	1343	86	1429	6F1F71	Heart_Left_Atrium	HEARTLA
GTOP-AJ221-4023	2019	150	2169	9F98BF	Heart_Tricuspid_Valve	HEARTTV
GTOP-AJ221-4149	1820	167	1987	7e888e	Thoracic_Aorta	THRAORT
GTOP-AJ221-4155	1840	188	2028	758E90	Aortic_Arch	ARTARCH
GTOP-AJ221-5032	2385	154	2539	AECBD1	Lung_Base	LUNGB
GTOP-AJ231-0087	2089	244	2333	7080BD	Muscle	MUSCLE
GTOP-AJ231-0262	3321	377	3698	3A71A4	Skin	SKIN
GTOP-AJ231-1053	2718	273	2991	69AE6A	Liver	LIVER
GTOP-AJ231-1236	2201	168	2369	902222	Pancreas_Body	PNCREASB
GTOP-AJ231-2099	2721	273	2994	A8D650	Adrenal_Gland	ADRNLG
GTOP-AK091-0087	2289	268	2557	7080BD	Muscle	MUSCLE
GTOP-AK091-1470	3019	253	3272	535426	Small_Intestine	SNTTRM
GTOP-AK091-1584	2109	173	2282	E7C08D	Colon	COLON
GTOP-AK091-1601	1576	173	1749	F8D895	Stomach	STMACH
