sample	non_sig.ase	sig.ase	total.ase	Tissue_Color_Code	Tissue	Abbreviation	non_sig.asts	sig.asts	total.asts
GTOP-AJ141-1053	1662	150	1812	69AE6A	Liver	LIVER	460	24	484
GTOP-AJ141-2099	2784	210	2994	A8D650	Adrenal_Gland	ADRNLG	1025	32	1057
GTOP-AJ142-1053	1490	191	1681	69AE6A	Liver	LIVER	444	20	464
GTOP-AJ211-0160	2891	238	3129	E59525	Adipose	ADP	1112	33	1145
GTOP-AJ211-1856	2576	210	2786	8F8495	Gallbladder	BLADDER	998	34	1032
GTOP-AJ221-1053	1630	164	1794	69AE6A	Liver	LIVER	492	13	505
GTOP-AJ221-1470	1959	167	2126	535426	Small_Intestine	SNTTRM	680	35	715
GTOP-AJ221-1584	2035	197	2232	E7C08D	Colon	COLON	765	43	808
GTOP-AJ221-1601	2035	144	2179	F8D895	Stomach	STMACH	738	23	761
GTOP-AJ221-1710	2336	159	2495	AF8C5C	Esophagus	ESP	784	37	821
GTOP-AJ221-4002	1582	115	1697	9C5CA1	Heart_Left_Ventricle	HEARTLV	468	18	486
GTOP-AJ221-4003	1442	110	1552	A780A0	Heart_Right_Ventricle	HEARTRV	392	22	414
GTOP-AJ221-4018	1436	66	1502	8466A6	Heart_Right_Atrium	HEARTRA	380	12	392
GTOP-AJ221-4019	1343	86	1429	6F1F71	Heart_Left_Atrium	HEARTLA	299	16	315
GTOP-AJ221-4023	2019	150	2169	9F98BF	Heart_Tricuspid_Valve	HEARTTV	611	36	647
GTOP-AJ221-4149	1820	167	1987	7e888e	Thoracic_Aorta	THRAORT	645	27	672
GTOP-AJ221-4155	1840	188	2028	758E90	Aortic_Arch	ARTARCH	630	38	668
GTOP-AJ221-5032	2385	154	2539	AECBD1	Lung_Base	LUNGB	879	26	905
GTOP-AJ231-0087	2089	244	2333	7080BD	Muscle	MUSCLE	808	35	843
GTOP-AJ231-0262	3321	377	3698	3A71A4	Skin	SKIN	1478	50	1528
GTOP-AJ231-1053	2718	273	2991	69AE6A	Liver	LIVER	927	37	964
GTOP-AJ231-1236	2201	168	2369	902222	Pancreas_Body	PNCREASB	657	20	677
GTOP-AJ231-2099	2721	273	2994	A8D650	Adrenal_Gland	ADRNLG	1080	41	1121
GTOP-AK091-0087	2289	268	2557	7080BD	Muscle	MUSCLE	914	37	951
GTOP-AK091-1470	3019	253	3272	535426	Small_Intestine	SNTTRM	951	18	969
GTOP-AK091-1584	2109	173	2282	E7C08D	Colon	COLON	657	17	674
