Var1	Var2	Freq
GTOP-AJ141-1053	0	1662
GTOP-AJ141-2099	0	2784
GTOP-AJ142-1053	0	1490
GTOP-AJ211-0160	0	2891
GTOP-AJ211-1856	0	2576
GTOP-AJ221-1053	0	1630
GTOP-AJ221-1470	0	1959
GTOP-AJ221-1584	0	2035
GTOP-AJ221-1601	0	2035
GTOP-AJ221-1710	0	2336
GTOP-AJ221-4002	0	1582
GTOP-AJ221-4003	0	1442
GTOP-AJ221-4018	0	1436
GTOP-AJ221-4019	0	1343
GTOP-AJ221-4023	0	2019
GTOP-AJ221-4149	0	1820
GTOP-AJ221-4155	0	1840
GTOP-AJ221-5032	0	2385
GTOP-AJ231-0087	0	2089
GTOP-AJ231-0262	0	3321
GTOP-AJ231-1053	0	2718
GTOP-AJ231-1236	0	2201
GTOP-AJ231-2099	0	2721
GTOP-AK091-0087	0	2289
GTOP-AK091-1470	0	3019
GTOP-AK091-1584	0	2109
GTOP-AK091-1601	0	1576
GTOP-AK091-1710	0	2892
GTOP-AK091-3082	0	2913
GTOP-AK091-4002	0	2027
GTOP-AK091-4003	0	2105
GTOP-AK091-4018	0	2104
GTOP-AK091-4019	0	1942
GTOP-AK091-4022	0	2368
GTOP-AK091-4023	0	2364
GTOP-AK092-1053	0	1935
GTOP-AK111-1236	0	1967
GTOP-AK111-1856	0	2409
GTOP-AK112-0262	0	2780
GTOP-AK112-1470	0	2300
GTOP-AK112-1584	0	2218
GTOP-AK112-1601	0	2470
GTOP-AK112-1710	0	3147
GTOP-AK112-1856	0	2162
GTOP-AK112-4002	0	1630
GTOP-AK112-4003	0	2099
GTOP-AK112-4018	0	1809
GTOP-AK112-4019	0	2037
GTOP-AK112-4022	0	2544
GTOP-AK112-4023	0	1956
GTOP-AK112-5032	0	2761
GTOP-AK221-0160	0	2930
GTOP-AK221-2099	0	2463
GTOP-AK231-1710	0	2962
GTOP-AK231-4003	0	1829
GTOP-AK231-4018	0	2328
GTOP-AK231-4019	0	2629
GTOP-AK231-4022	0	2350
GTOP-AK231-4023	0	2348
