Var1	Var2	Freq
GTOP-AJ141-1053	0	460
GTOP-AJ141-2099	0	1025
GTOP-AJ142-1053	0	444
GTOP-AJ211-0160	0	1112
GTOP-AJ211-1856	0	998
GTOP-AJ221-1053	0	492
GTOP-AJ221-1470	0	680
GTOP-AJ221-1584	0	765
GTOP-AJ221-1601	0	738
GTOP-AJ221-1710	0	784
GTOP-AJ221-4002	0	468
GTOP-AJ221-4003	0	392
GTOP-AJ221-4018	0	380
GTOP-AJ221-4019	0	299
GTOP-AJ221-4023	0	611
GTOP-AJ221-4149	0	645
GTOP-AJ221-4155	0	630
GTOP-AJ221-5032	0	879
GTOP-AJ231-0087	0	808
GTOP-AJ231-0262	0	1478
GTOP-AJ231-1053	0	927
GTOP-AJ231-1236	0	657
GTOP-AJ231-2099	0	1080
GTOP-AK091-0087	0	914
GTOP-AK091-1470	0	951
GTOP-AK091-1584	0	657
GTOP-AK091-1601	0	453
GTOP-AK091-1710	0	1213
GTOP-AK091-3082	0	1108
GTOP-AK091-4002	0	519
GTOP-AK091-4003	0	698
GTOP-AK091-4018	0	747
GTOP-AK091-4019	0	604
GTOP-AK091-4022	0	730
GTOP-AK091-4023	0	900
GTOP-AK092-1053	0	662
GTOP-AK111-1236	0	555
GTOP-AK111-1856	0	922
GTOP-AK112-0262	0	1150
GTOP-AK112-1470	0	946
GTOP-AK112-1584	0	953
GTOP-AK112-1601	0	987
GTOP-AK112-1710	0	1433
GTOP-AK112-1856	0	735
GTOP-AK112-4002	0	537
GTOP-AK112-4003	0	824
GTOP-AK112-4018	0	677
GTOP-AK112-4019	0	756
GTOP-AK112-4022	0	862
GTOP-AK112-4023	0	633
GTOP-AK112-5032	0	1059
GTOP-AK221-0160	0	1137
GTOP-AK221-2099	0	928
GTOP-AK231-1710	0	1259
GTOP-AK231-4003	0	608
GTOP-AK231-4018	0	860
GTOP-AK231-4019	0	1123
GTOP-AK231-4022	0	783
GTOP-AK231-4023	0	868
GTOP-AK231-4149	0	830
GTOP-AK231-5032	0	674
GTOP-AK281-1108	0	359
GTOP-AL121-0378	0	541
GTOP-AL121-1053	0	630
GTOP-AL271-1856	0	1157
GTOP-BA041-1108	0	235
GTOP-BA041-1236	0	545
GTOP-BA082-0160	0	1068
GTOP-BA131-1053	0	261
GTOP-BA131-2099	0	914
GTOP-BA132-1392	0	312
GTOP-BA191-2099	0	760
GTOP-BA231-3082	0	1353
GTOP-BA231-4155	0	850
GTOP-BA232-0378	0	862
GTOP-BA232-1856	0	1077
GTOP-BA251-0160	0	864
GTOP-BA251-2099	0	1129
GTOP-BB201-1053	0	678
GTOP-BB201-1584	0	897
GTOP-BB201-1601	0	998
GTOP-BB201-1710	0	1347
GTOP-BB201-1856	0	877
GTOP-BB201-4002	0	757
GTOP-BB201-4003	0	783
GTOP-BB201-4018	0	822
GTOP-BB201-4019	0	488
GTOP-BB201-4023	0	716
GTOP-BB201-4149	0	675
GTOP-BB201-4155	0	846
GTOP-BB201-5032	0	977
GTOP-BB202-0378	0	1170
GTOP-BB202-4002	0	522
GTOP-BB202-5032	0	844
GTOP-BC041-0262	0	1339
GTOP-BC041-3082	0	1280
GTOP-BC161-0160	0	810
GTOP-BC161-1856	0	745
GTOP-BC181-0087	0	887
GTOP-BC181-0262	0	1291
GTOP-BC181-1053	0	339
GTOP-BC181-1236	0	647
GTOP-BC181-1392	0	233
GTOP-BC181-2099	0	702
GTOP-BC181-3082	0	1406
GTOP-BD201-0087	0	708
GTOP-BE141-1856	0	791
GTOP-BE161-1710	0	868
GTOP-BE161-5302	0	595
GTOP-BF221-0378	0	391
GTOP-BF221-3082	0	1197
GTOP-BF251-4155	0	828
GTOP-BF251-5032	0	936
GTOP-BG091-0160	0	808
GTOP-BG171-0378	0	332
GTOP-BH101-0087	0	684
GTOP-BH101-3082	0	862
GTOP-BH131-0378	0	388
GTOP-BH131-1236	0	382
GTOP-BH131-1601	0	936
GTOP-BH131-1710	0	724
GTOP-BH131-4002	0	667
GTOP-BH131-4003	0	598
GTOP-BH131-4019	0	559
GTOP-BH131-4022	0	593
GTOP-BH131-4023	0	1068
GTOP-BH131-5032	0	626
GTOP-BI071-1236	0	311
GTOP-BI071-1856	0	902
GTOP-BJ141-0087	0	499
GTOP-BJ191-0378	0	464
GTOP-BJ191-1108	0	209
GTOP-BK021-0087	0	605
GTOP-BK021-1053	0	276
