QTL	Ann	logmFC	lFC	hFC
eQTL	3 prime UTR	1.1494391671711381	0.9747207328206623	1.3052655728229199
juQTL	3 prime UTR	1.956398577023572	1.7585556807414455	2.1303534186242716
tuQTL	3 prime UTR	2.9239167111637383	2.7750364468304096	3.0588601555176083
eQTL	5 prime UTR	2.0196316810157464	1.8532143256503488	2.168822504332983
juQTL	5 prime UTR	3.1052909233575323	2.8295349754616947	3.3367019670472877
tuQTL	5 prime UTR	2.824427812321196	2.73598087514297	2.9077641612654346
eQTL	CTCF binding site	2.0207929139234513	1.3652487103307231	2.469867213121048
juQTL	CTCF binding site	1.079234890496747	0.050896976586946446	1.673521003883269
tuQTL	CTCF binding site	1.8264123286052747	1.1774669819469734	2.272407679757189
eQTL	TF binding site	1.7901040427922812	1.576300387496875	1.9762738239222835
juQTL	TF binding site	0.6906302611425802	0.4330597094468714	0.9091072213648589
tuQTL	TF binding site	0.7406950805053564	0.4195570788770196	1.0032025170110856
eQTL	enhancer	0.7593599922858699	0.5876047968424407	0.9128255710911715
juQTL	enhancer	0.1172792545876053	6.53870923857562e-4	0.22517787423892224
tuQTL	enhancer	-0.14778776603069219	-0.36460665145639715	0.04066298386772145
eQTL	frameshift	2.4915294072341685	1.6762803866082234	3.0092481645487523
juQTL	frameshift	3.8479068850104783	3.252220321739172	4.2682766695439085
tuQTL	frameshift	4.124867082862474	2.9897934417268064	4.752182854560604
eQTL	intron	0.1914295994775894	0.13341558636314607	0.24720064293412203
juQTL	intron	1.7487920638441496	1.4612246238598512	1.988456127520823
tuQTL	intron	1.4364733056753625	1.2759899407343416	1.5808783470575356
eQTL	missense	2.064116121717965	1.9557212834373592	2.1649329186923127
juQTL	missense	3.4669768177286713	3.3157454196911282	3.603848647157127
tuQTL	missense	3.6965362913043616	3.602533168525592	3.784787248095032
eQTL	NC transcript	1.6139353109358616	1.411332404712664	1.7915580496242536
juQTL	NC transcript	2.5223342392037917	2.3368263888546936	2.68668354917793
tuQTL	NC transcript	2.769478285118566	2.690304059310825	2.8445325959599668
eQTL	open chromatin region	0.8516662329950707	0.06648310964317058	1.3572743901948385
juQTL	open chromatin region	-0.7754692167039986	-2.141671876839607	-0.08653776182599693
tuQTL	open chromatin region	-1.4834326670547644	NA	-0.43838936820958085
eQTL	promoter	1.9708437533317982	1.778695575941145	2.140382158209948
juQTL	promoter	0.5523070478920585	0.3233469287855694	0.7498583522996334
tuQTL	promoter	0.946593464671976	0.6205102853417642	1.2123912933270862
eQTL	splice acceptor	3.823666431234841	2.899486594801274	4.38244343252123
juQTL	splice acceptor	6.3489495905154465	6.177740753556468	6.501978930430391
tuQTL	splice acceptor	6.5946777206320775	6.339423188057249	6.811487291035405
eQTL	splice donor	4.2277056790793965	3.845365215013914	4.5296538365317485
juQTL	splice donor	5.600881081611654	5.427653645003158	5.75552069111226
tuQTL	splice donor	5.959746196142822	5.541224443374375	6.283760811149573
eQTL	splice region	2.665978758526371	2.2294528601855608	3.0006479223627864
juQTL	splice region	4.697379063050752	4.598479003874133	4.7899320750554
tuQTL	splice region	4.824078276827402	4.582962630860039	5.030608016606439
eQTL	stop gained	3.145384473430274	2.162252139950334	3.724680307034435
juQTL	stop gained	4.982730997325217	4.4513354812705215	5.370220208362482
tuQTL	stop gained	5.130340236511479	3.939684023054685	5.77363905254713
eQTL	synonymous	1.756671850936221	1.3512782867547366	2.0727824883773724
juQTL	synonymous	3.4653517247209153	3.238846739982916	3.6610735500144727
tuQTL	synonymous	3.5125838427840295	3.3432507234233384	3.6641132556666083
