score_type	VarSubType	OR	p_value	FDR
pLI	SNV	0.752898209554176	9.22694515469383e-11	2.30673628867346e-10
pLI	INS	0.716652807309311	3.60385274774125e-05	3.60385274774125e-05
pLI	DEL	0.612078735060377	1.44720365081803e-07	2.41200608469672e-07
pLI	STR	0.723502202577314	1.23424435150592e-11	6.17122175752958e-11
pLI	VNTR	0.507584019445615	4.0610798098879e-06	5.07634976235987e-06
pNull	SNV	1.36580242317296	1.62257667165949e-10	4.05644167914871e-10
pNull	INS	1.26045715001434	0.0084970644724372	0.0084970644724372
pNull	DEL	1.65277479585794	4.2306991381675e-08	7.05116523027917e-08
pNull	STR	1.44956915123086	8.35881803903364e-13	4.17940901951682e-12
pNull	VNTR	1.70125008882323	8.59797545526452e-05	0.000107474693190806
pRec	SNV	1.48604891184233	8.34852271235535e-28	4.17426135617767e-27
pRec	INS	1.5227038772059	5.53589832286246e-11	9.22649720477076e-11
pRec	DEL	1.36613858526352	1.67117595333257e-05	2.08896994166571e-05
pRec	STR	1.48211276730121	6.92859807946516e-24	1.73214951986629e-23
pRec	VNTR	1.4736489370112	0.000276267726031364	0.000276267726031364
