Group	QTL_type	Count_in_QTL	Total_in_genome	OR	CI_low	CI_high	P_value	P_adjusted	Significance	Enrichment_Fold	Log2_Enrichment	Proportion_in_QTL	Proportion_in_genome
Coding_exon	sQTL	2581	12325	2.25537837394481	2.15732952043153	2.35743152512404	7.59145755129019e-245	2.02438868034405e-244	***	1.95548694991562	0.967527908172702	0.0372858339834157	0.0190672885774178
Coding_exon	eQTL	2488	12325	2.18261548734965	2.0863308412034	2.28258575660539	1.99964513326487e-220	5.33238702203966e-220	***	1.90952167824296	0.933211298549634	0.0364094008838938	0.0190672885774178
Splice_site	sQTL	161	656	2.71594233650694	2.25877812920337	3.25138032418889	1.02444543546934e-23	1.17079478339353e-23	***	2.2917956040692	1.1964783817279	0.0023258501632429	0.00101485933523619
Splice_site	eQTL	152	656	2.55468462792674	2.11638300687964	3.06941130354079	1.98378175504212e-20	2.26717914861957e-20	***	2.19179985394551	1.13211606339717	0.00222436854274592	0.00101485933523619
3UTR	sQTL	1319	5166	2.89488158469696	2.71580915952639	3.08407600196581	8.45858098405329e-199	1.69171619681066e-198	***	2.3842085393018	1.25351042936491	0.0190546358094248	0.00799201726498503
3UTR	eQTL	1106	5166	2.32589249123021	2.17322953345797	2.48744415685359	1.74808863446588e-114	3.49617726893176e-114	***	2.02517179487363	1.01804429668838	0.0161852079491907	0.00799201726498503
5UTR	sQTL	434	1572	3.19338194876789	2.85211264915428	3.57111100271405	3.25183763021158e-77	5.20294020833853e-77	***	2.57804820247545	1.36627923841724	0.00626968304874173	0.00243194950455991
5UTR	eQTL	412	1572	3.01660482458277	2.68860064148496	3.37945700792422	5.11863081885069e-68	6.82484109180091e-68	***	2.47916721125268	1.30985557949628	0.00602920947112711	0.00243194950455991
Intron	sQTL	48973	407058	1.47973794372027	1.45442240093007	1.50547693948295	0	0	***	1.12345132273733	0.167937616314147	0.707477391580711	0.629735687930754
Intron	eQTL	46952	407058	1.32905130707654	1.30661504261751	1.35188097925902	1.61229511763403e-241	6.44918047053613e-241	***	1.09108590924723	0.125764700163293	0.68709573565136	0.629735687930754
Intergenic	sQTL	7686	155680	0.362215227487475	0.353414190041771	0.371190262654842	0	0	***	0.461021736914014	-1.1170933203743	0.111034064314813	0.240843447118248
Intergenic	eQTL	8695	155680	0.427583266421079	0.417699214457796	0.43768313057205	0	0	***	0.528321042443544	-0.920513222902856	0.127242661047209	0.240843447118248
Upstream	sQTL	4569	34613	1.28695611799805	1.2459722613129	1.32908938981634	1.45765247648903e-50	1.94353663531871e-50	***	1.23263859312452	0.301749866783598	0.0660050273034584	0.0535477533087354
Upstream	eQTL	4834	34613	1.40160398049807	1.35789654143973	1.44654631978625	1.70658776807339e-91	2.73054042891743e-91	***	1.32107826920179	0.401715943681032	0.0707407732607487	0.0535477533087354
Downstream	sQTL	2985	25780	1.09603227660401	1.05374314817653	1.13967197113192	5.02391035545016e-06	5.02391035545016e-06	***	1.08122298090005	0.112664081134522	0.0431221288029817	0.0398827342414468
Downstream	eQTL	3170	25780	1.1950724038224	1.15007832322059	1.24150250116225	2.30888596316056e-19	2.30888596316056e-19	***	1.16315473854599	0.218043036349424	0.0463897913191091	0.0398827342414468
