Group	QTL_type	Count_in_QTL	Total_in_genome	OR	CI_low	CI_high	P_value	P_adjusted	Significance	Enrichment_Fold	Log2_Enrichment	Proportion_in_QTL	Proportion_in_genome
Coding Exon	sQTL	389	1441	3.12461584274087	2.77376424404393	3.51438129449272	1.5709939956206e-67	2.3564909934309e-67	***	2.54240245106666	1.34619242066597	0.00566774484949151	0.00222928704584658
Coding Exon	eQTL	332	1441	2.60267489447532	2.29490507320409	2.94564594306245	4.24129127405283e-44	4.77145268330943e-44	***	2.22730523341402	1.15529928087272	0.00496530270399617	0.00222928704584658
Splice Site	sQTL	157	537	3.48363036763538	2.87312465957922	4.20746526783042	1.49216066702051e-32	1.67868075039808e-32	***	2.7534934311919	1.46126316676074	0.0022874959932395	0.000830761376557678
Splice Site	eQTL	118	537	2.44327947110081	1.97461541598647	3.00451109437583	4.522310028091e-15	4.522310028091e-15	***	2.12428780641703	1.08697924107698	0.0017647762622637	0.000830761376557678
3UTR	sQTL	1242	4942	2.85937139638832	2.6779153802752	3.05160676082374	2.98907643782384e-184	8.96722931347152e-184	***	2.36688704630679	1.24299085874623	0.018095987411487	0.00764547993100194
3UTR	eQTL	1060	4942	2.3885995098217	2.2286105399409	2.55849922600992	3.73627358022815e-116	6.72529244441066e-116	***	2.07352253113867	1.05208372382232	0.015853074898301	0.00764547993100194
5UTR	sQTL	397	1535	2.94790476749022	2.62223202119041	3.30885216565641	1.96803592901002e-63	2.53033190872717e-63	***	2.43579539452009	1.28439295273995	0.00578430515487951	0.00237470896278591
5UTR	eQTL	393	1535	2.99434847444659	2.66256710873673	3.36214775848002	1.60531891935287e-64	2.40797837902931e-64	***	2.4750832162207	1.30747703170161	0.00587760229720029	0.00237470896278591
Non-coding Exon	sQTL	1532	6947	2.41305252913922	2.27721237093381	2.55598030754041	6.40587792938415e-169	1.44132253411143e-168	***	2.07692179820706	1.05444689578638	0.022321298481802	0.0107472984784845
Non-coding Exon	eQTL	1404	6947	2.22111633925228	2.09203513180917	2.35656709121533	9.41888752633148e-132	2.11924969342458e-131	***	1.95377902798245	0.966267308012006	0.0209978463747308	0.0107472984784845
Intron	sQTL	45119	343110	1.8013940681745	1.77167311190855	1.83161424091404	0	0	***	1.23846793772077	0.308556519621826	0.657385552350147	0.53080546724526
Intron	eQTL	41133	343110	1.46928048883669	1.44536731541543	1.49364031083779	0	0	***	1.15894451483677	0.212811498107984	0.615174084709261	0.53080546724526
Intergenic	sQTL	11224	226048	0.33030835681982	0.323439549023672	0.337286600784893	0	0	***	0.467633555871278	-1.09654963817404	0.163534108459364	0.349705675322365
Intergenic	eQTL	13345	226048	0.430034673730048	0.421632901679221	0.438607862164071	0	0	***	0.570720593805678	-0.80914347291859	0.199584230677196	0.349705675322365
Upstream	sQTL	5146	35127	1.48093620875298	1.43589487296132	1.52718366844442	3.97792524796945e-128	7.16026544634501e-128	***	1.37970868848097	0.464363688707065	0.0749774164408311	0.054342932726893
Upstream	eQTL	5461	35127	1.64845798566315	1.5992990126374	1.69890585977898	2.66730028314325e-211	8.00190084942976e-211	***	1.50292306818959	0.587771162293547	0.0816732471883226	0.054342932726893
Downstream	sQTL	3421	26687	1.25024285187966	1.20468789706761	1.29722119954234	4.20264437636482e-31	4.20264437636482e-31	***	1.20729109311166	0.271773570008343	0.0498441005915436	0.0412859010357444
Downstream	eQTL	3612	26687	1.37708611734874	1.32801395782753	1.42768850646839	2.23536137037563e-63	2.87403604762581e-63	***	1.30843942235252	0.38784713256732	0.0540201005025126	0.0412859010357444
