RBP	Tissue	peak	qtl_peak	shuffle_peak	qtl	pvalue	odds_ratio	ci_down	ci_up	stats	cell	logOR	signif_label
CSTF2T	Adipose	34	17987	16	17987	0.015276482708237	2.12707691299179	1.14203434752406	4.1285296593719	original	K562	1.08887220066373	*
CSTF2T	Adrenal_Gland	36	18745	13	18745	0.00139285632324762	2.77271563340234	1.43534874521686	5.69952628537499	original	K562	1.47129966278304	**
CSTF2T	Gallbladder	29	14957	10	14957	0.00335770353350909	2.90375957914542	1.37480952225786	6.68088953835787	original	K562	1.53792200831529	**
CSTF2T	Liver	27	16380	15	16380	0.0882261419754707	1	0.924302943875603	3.64424309179545	original	K562	0	""
CSTF2T	Muscle	18	5526	5	5526	0.0105437631890805	3.60779954062082	1.28987798300179	12.445633142092	original	K562	1.8511191806702	*
CSTF2T	Pancreas_Body	33	16384	12	16384	0.00244246980033284	2.75360156344833	1.38523963659526	5.85690053899046	original	K562	1.4613198216288	**
CSTF2T	Pancreas_Head	37	16747	13	16747	0.000928237674187112	2.85031620721055	1.48005211587372	5.8455329896406	original	K562	1.5111219772666	***
CSTF2T	Pancreas_Tail	40	17342	11	17342	5.63582488189754e-05	3.64201860731967	1.83339121479411	7.87303160796846	original	K562	1.86473829316023	***
CSTF2T	Skin	11	4632	3	4632	0.0571884265251293	1	0.969310036393385	20.5134088502003	original	K562	0	""
CSTF2T	Spleen	12	5733	4	5733	0.0766093025846669	1	0.909730401063376	12.7847709334235	original	K562	0	""
CSTF2T	Whole_Blood	32	13625	10	13625	0.00093244731366018	3.20532158905649	1.53651152926709	7.31292374715097	original	K562	1.68046910931266	***
DROSHA	Adipose	7	17987	3	17987	0.343681581709144	1	0.532682187093904	13.9889323774781	original	K562	0	""
DROSHA	Adrenal_Gland	10	18745	3	18745	0.0922292812312372	1	0.858382137191788	18.8568745791759	original	K562	0	""
DROSHA	Gallbladder	10	14957	3	14957	0.0922151301250292	1	0.858411694463007	18.8592703930471	original	K562	0	""
DROSHA	Liver	14	16380	6	16380	0.115207712592542	1	0.842474297332214	7.41344115753569	original	K562	0	""
DROSHA	Muscle	6	5526	1	5526	0.124881232472515	1	0.728140466775531	275.936383309478	original	K562	0	""
DROSHA	Pancreas_Body	18	16384	4	16384	0.0043310652268935	4.50344102463404	1.48311122664321	18.2895380032925	original	K562	2.17102776857395	**
DROSHA	Pancreas_Head	20	16747	3	16747	0.000486267052581845	1	1.97855188404928	35.0606467953911	original	K562	0	***
DROSHA	Pancreas_Tail	18	17342	3	17342	0.00148503593751951	1	1.75259264750302	31.8333585254706	original	K562	0	**
DROSHA	Skin	2	4632	1	4632	1	1	0.104093270286107	117.965741157518	original	K562	0	""
DROSHA	Spleen	5	5733	1	5733	0.218627333392109	1	0.559592552491073	236.433130259628	original	K562	0	""
DROSHA	Whole_Blood	12	13625	3	13625	0.0351073412629779	1	1.07980654898914	22.105423016585	original	K562	0	*
EWSR1	Adipose	22	17987	6	17987	0.00370630422380567	3.66950223396104	1.44259432085738	11.066056651793	original	K562	1.87558437552071	**
EWSR1	Adrenal_Gland	21	18745	7	18745	0.0125088499330767	3.00234245658615	1.22910228087528	8.36188753804038	original	K562	1.58608854466028	*
EWSR1	Gallbladder	18	14957	2	14957	0.000400817358021674	1	2.15620403796391	80.0592346585521	original	K562	0	***
EWSR1	Liver	13	16380	7	16380	0.263029242094749	1	0.688681645378931	5.50069106593319	original	K562	0	""
EWSR1	Muscle	9	5526	0	5526	0.00194518619539964	1	2.24323250892367	Inf	with_pseudocount	K562	0	**
EWSR1	Pancreas_Body	17	16384	4	16384	0.00717962416728353	4.25295908289978	1.38694103516467	17.3691133366562	original	K562	2.08846697507147	**
EWSR1	Pancreas_Head	20	16747	3	16747	0.000486267052581845	1	1.97855188404928	35.0606467953911	original	K562	0	***
EWSR1	Pancreas_Tail	18	17342	6	17342	0.0226100630168989	3.00217120267229	1.14121745603552	9.23963832992764	original	K562	1.58600625084388	*
EWSR1	Skin	5	4632	2	4632	0.452947826669734	1	0.409263425087575	26.2909266028546	original	K562	0	""
