Specific_Tissue	QTL	n	total
Adipose	SV	13	264
Adipose	TR	106	264
Adipose	SNV	145	264
Adrenal_Gland	SV	114	687
Adrenal_Gland	TR	207	687
Adrenal_Gland	SNV	366	687
Gallbladder	SV	28	139
Gallbladder	TR	21	139
Gallbladder	SNV	90	139
Liver	SV	89	786
Liver	TR	298	786
Liver	SNV	399	786
Muscle	SV	26	184
Muscle	TR	64	184
Muscle	SNV	94	184
Pancreas_Body	SV	18	163
Pancreas_Body	TR	79	163
Pancreas_Body	SNV	66	163
Pancreas_Head	SV	13	162
Pancreas_Head	TR	82	162
Pancreas_Head	SNV	67	162
Pancreas_Tail	SV	6	141
Pancreas_Tail	TR	64	141
Pancreas_Tail	SNV	71	141
Skin	SV	13	132
Skin	TR	37	132
Skin	SNV	82	132
Spleen	SV	28	182
Spleen	TR	63	182
Spleen	SNV	91	182
Whole_Blood	SV	266	1535
Whole_Blood	TR	581	1535
Whole_Blood	SNV	688	1535
