QTL	tissue_bin	tissue_median	TSS_median	TSS_se	n	TSS_low	TSS_high
Control	[0,1]	1	357061.307120085	2153.38176328412	21643	352840.678864048	361281.935376122
Control	(1,2]	2	360986.440758294	10869.5970987193	844	339682.030444804	382290.851071784
Control	(2,3]	3	366990.774017094	5842.27241076082	2925	355539.920092003	378441.627942185
Control	(3,4]	4	363606.263337601	6510.51586384872	2343	350845.652244458	376366.874430745
Control	(4,5]	5	354463.097835888	6648.59923580525	2218	341431.84333371	367494.352338067
Control	(5,6]	6	345655.701808558	6593.43421589187	2267	332732.57074541	358578.832871706
Control	(6,7]	7	354949.511220826	6594.04461825819	2228	342025.18376904	367873.838672612
Control	(7,8]	8	350140.855904211	6317.63129095367	2422	337758.298573942	362523.413234481
Control	(8,9]	9	347141.400997698	6196.37960703423	2606	334996.496967911	359286.305027485
Control	(9,10]	10	368113.599755202	5578.28613990785	3268	357180.158920983	379047.040589421
Control	(10,11]	11	356628.696317381	4235.61551685154	5621	348326.889904352	364930.50273041
SNV	[0,1]	1	436709.221569305	2886.04693702838	11572	431052.56957273	442365.873565881
SNV	(1,2]	2	319973.91638796	17921.6291152828	299	284847.523322006	355100.309453914
SNV	(2,3]	3	304980.33278956	12345.6655188023	613	280782.828372707	329177.837206412
SNV	(3,4]	4	310726.337468983	11231.1160085576	806	288713.35009221	332739.324845756
SNV	(4,5]	5	264867.422716628	10244.6179472955	854	244787.971539929	284946.873893327
SNV	(5,6]	6	267057.115942029	9608.61092411026	966	248224.238530773	285889.993353285
SNV	(6,7]	7	245405.0492891	9187.90599123716	1055	227396.753546275	263413.345031924
SNV	(7,8]	8	239894.237246964	8502.41186920415	1235	223229.509983323	256558.964510604
SNV	(8,9]	9	225864.565984474	7647.91968911421	1417	210874.64339381	240854.488575138
SNV	(9,10]	10	144999.242712671	5632.31371935324	1681	133959.907822739	156038.577602603
SNV	(10,11]	11	112790.945381232	3866.0402144734	2728	105213.506560864	120368.3842016
SV	[0,1]	1	437125.735752501	4657.83725403992	4299	427996.374734582	446255.096770419
SV	(1,2]	2	415274.730458221	15793.0204847572	371	384320.410308097	446229.050608345
SV	(2,3]	3	453046.712387028	6966.58060392153	1881	439392.214403342	466701.210370714
SV	(3,4]	4	408340.08490566	9884.60621853146	954	388966.256717339	427713.913093982
SV	(4,5]	5	391756.223289316	10700.833493556	833	370782.589641946	412729.856936685
SV	(5,6]	6	355892.616550117	10407.4937111896	858	335493.928876185	376291.304224048
SV	(6,7]	7	342957.678229665	10757.4883433274	836	321873.001076744	364042.355382587
SV	(7,8]	8	308052.241169306	10703.9274499737	821	287072.543367357	329031.938971254
SV	(8,9]	9	274684.320046893	10016.6403273224	853	255051.705005341	294316.935088445
SV	(9,10]	10	211519.36453202	8196.19778334217	1015	195454.816876669	227583.91218737
SV	(10,11]	11	156875.541689373	5119.28998177215	1835	146841.7333251	166909.350053647
TR	[0,1]	1	443471.60441731	2910.2332007533	11138	437767.547343834	449175.661490787
TR	(1,2]	2	348139.465608466	16523.2524369154	378	315753.890832111	380525.04038482
TR	(2,3]	3	384883.203875316	9059.55718231979	1187	367126.471797969	402639.935952663
TR	(3,4]	4	343616.66360601	9185.70328765931	1198	325612.685162198	361620.642049822
TR	(4,5]	5	322567.064456722	9398.38763026249	1086	304146.224701408	340987.904212036
TR	(5,6]	6	275251.174257426	9441.18865477177	1010	256746.444494073	293755.904020778
TR	(6,7]	7	227808.19376392	9246.25251277391	898	209685.538838883	245930.848688957
TR	(7,8]	8	185790.637948718	8121.17178096666	975	169873.141258023	201708.134639413
TR	(8,9]	9	171162.180360721	7896.6591114559	998	155684.728502268	186639.632219175
TR	(9,10]	10	133498.301667875	5793.47088100898	1379	122143.098741098	144853.504594653
TR	(10,11]	11	87870.9484110607	3156.19463676734	2423	81684.8069229967	94057.0898991247
