feature	type	meanratio	sdratiio
synonymous	eQTL	0.006101008025245755	1.9086709056197264e-4
synonymous	juQTL	0.0074189012461886635	1.9460443600108265e-4
synonymous	tuQTL	0.007692113124660409	4.077079647964212e-4
stop gained	eQTL	9.689586577450841e-5	1.902421264786739e-5
stop gained	juQTL	1.30668834296404e-4	2.003841405764156e-5
stop gained	tuQTL	1.4034719024406353e-4	5.079396509315724e-5
splice region	eQTL	0.003524250007573802	2.729565234705471e-4
splice region	juQTL	0.004103409725387549	2.7380914493998717e-4
splice region	tuQTL	0.004405946479761261	5.707544139522921e-4
splice donor	eQTL	4.4894522625643846e-4	6.733656991729851e-5
splice donor	juQTL	4.974475778054324e-4	8.120943501820053e-5
splice donor	tuQTL	5.573005409365378e-4	1.183617674749459e-4
splice acceptor	eQTL	2.4177294065930757e-4	2.8932089749535003e-5
splice acceptor	juQTL	3.533205286244331e-4	7.175919947091884e-5
splice acceptor	tuQTL	3.5725835373839155e-4	7.591565134994243e-5
NC transcript	eQTL	0.08727205407875006	0.007726539839528895
NC transcript	juQTL	0.0828085355327754	0.003194236416118352
NC transcript	tuQTL	0.09301892632293231	0.006627883775843727
missense	eQTL	0.0070036583492761595	3.545108919803928e-4
missense	juQTL	0.007782872690675367	3.126793212680006e-4
missense	tuQTL	0.00824273539866381	7.237799176524852e-4
intron	eQTL	0.7539096354114673	0.007288224403922662
intron	juQTL	0.7816762978513366	0.00530231471471782
intron	tuQTL	0.7761711133190944	0.005019474437739
frameshift	eQTL	2.5033877921086506e-4	2.8091855975615237e-5
frameshift	juQTL	2.6937359227490463e-4	4.3113845508376277e-5
frameshift	tuQTL	3.046627764511777e-4	5.254912551631922e-5
5 prime UTR	eQTL	0.007736230364617752	2.6476157720171884e-4
5 prime UTR	juQTL	0.008528879326254247	3.426682215148965e-4
5 prime UTR	tuQTL	0.008905837203349577	3.8785511976583467e-4
3 prime UTR	eQTL	0.02850656627858986	6.450983403942007e-4
3 prime UTR	juQTL	0.03293649192921403	0.0013784933053436
3 prime UTR	tuQTL	0.03873366963939065	0.00256096798965152
TF binding site	eQTL	0.00574439632595577	2.517551036389933e-4
TF binding site	juQTL	0.005627970692996897	3.1134332727232865e-4
TF binding site	tuQTL	0.005827762320136201	2.6142781047374427e-4
CTCF binding site	eQTL	0.001178362159188694	1.3803616363981675e-4
CTCF binding site	juQTL	0.0010034772821488765	6.546558540638275e-5
CTCF binding site	tuQTL	0.001114429722569358	1.027124256635354e-4
open chromatin region	eQTL	0.00208482633440227	1.267529125248825e-4
open chromatin region	juQTL	0.002018831531437977	6.03017585832487e-5
open chromatin region	tuQTL	0.001979257921857341	1.08246261201395e-4
promoter	eQTL	0.014760890376102022	9.754727510681219e-4
promoter	juQTL	0.01274959435466816	0.00049606947940722965
promoter	tuQTL	0.014435165235525162	7.595615929466288e-4
enhancer	eQTL	0.04821233374865848	0.0016863235640725367
enhancer	juQTL	0.04924360146749238	0.001460729792570345
enhancer	tuQTL	0.051779625932845165	0.002125624620607164
