category	x	count	proportion
Annotated	1	3699	0.23813815747119038
Novel	1	2250	0.4678727386150967
Annotated	2	1819	0.11710551728577867
Novel	2	653	0.13578706591807027
Annotated	3	974	0.06270520826627181
Novel	3	264	0.05489706799750468
Annotated	4	731	0.047061095731668064
Novel	4	251	0.052193803285506345
Annotated	5	580	0.03733985707847808
Novel	5	162	0.03368683718028696
Annotated	6	535	0.034442799201699605
Novel	6	127	0.026408816801829903
Annotated	7	425	0.027361102169574453
Novel	7	118	0.024537325847369517
Annotated	8	364	0.023433979269941414
Novel	8	85	0.01767519234768143
Annotated	9	357	0.02298332582244254
Novel	9	73	0.015179871075067582
Annotated	10	320	0.020601300457091354
Novel	10	76	0.015803701393221042
Annotated	11	310	0.01995750981780725
Novel	11	59	0.012268662923684759
Annotated	12	314	0.02021502607352089
Novel	12	62	0.01289249324183822
Annotated	13	301	0.019378098242451555
Novel	13	51	0.010605115408608859
Annotated	14	292	0.01879868666709586
Novel	14	62	0.01289249324183822
Annotated	15	316	0.020343784201377713
Novel	15	52	0.010813058847993346
Annotated	16	317	0.02040816326530612
Novel	16	58	0.012060719484300271
Annotated	17	506	0.0325758063477757
Novel	17	69	0.014348097317529632
Annotated	18	573	0.03688920363097921
Novel	18	65	0.013516323559991682
Annotated	19	2800	0.18026137899954936
Novel	19	272	0.05656061551258058
