sample MDS1 MDS2 Tissue_Code Subject Sample_ID Tissue Abbreviation Tissue_Color_Code
GTOP-AJ141-1053-LN-SB9Q 78.0204150644364 -12.3923435285711 1053 AJ141 AJ141-1053 Liver LIVER 69AE6A
GTOP-AJ141-2099-LN-7RT0 27.9408475055542 10.5963999007469 2099 AJ141 AJ141-2099 Adrenal_Gland ADRNLG A8D650
GTOP-AJ142-1053-LN-038Q 119.886846214338 10.2649385993414 1053 AJ142 AJ142-1053 Liver LIVER 69AE6A
GTOP-AJ211-0160-LN-9PB8 -5.53253877722997 41.6979154448841 0160 AJ211 AJ211-0160 Adipose ADP E59525
GTOP-AJ211-1856-LN-17CG 26.9344817267119 24.1342430981839 1856 AJ211 AJ211-1856 Gallbladder BLADDER 8F8495
GTOP-AJ221-1053-LN-DP1V 94.4100089906279 -36.1445372178747 1053 AJ221 AJ221-1053 Liver LIVER 69AE6A
GTOP-AJ221-1470-LN-YDI2 107.174735554039 -13.279227130794 1470 AJ221 AJ221-1470 Small_Intestine SNTTRM 535426
GTOP-AJ221-1584-LN-5C69 98.6961605279091 -20.0060448173947 1584 AJ221 AJ221-1584 Colon COLON E7C08D
GTOP-AJ221-1601-LN-B20O -38.0761601452186 17.2206600760079 1601 AJ221 AJ221-1601 Stomach STMACH F8D895
GTOP-AJ221-1710-LN-BC49 -42.6395944730593 15.722158847116 1710 AJ221 AJ221-1710 Esophagus ESP AF8C5C
GTOP-AJ221-4002-LN-39L6 -143.050625477012 -22.0810136320642 4002 AJ221 AJ221-4002 Heart_Left_Ventricle HEARTLV 9C5CA1
GTOP-AJ221-4003-LN-HKC4 -167.919579311954 -46.0513642112389 4003 AJ221 AJ221-4003 Heart_Right_Ventricle HEARTRV A780A0
GTOP-AJ221-4018-LN-5R7I -130.772229113812 -19.972933913503 4018 AJ221 AJ221-4018 Heart_Right_Atrium HEARTRA 8466A6
GTOP-AJ221-4019-LN-D5AL -152.54843165346 -22.3451977415918 4019 AJ221 AJ221-4019 Heart_Left_Atrium HEARTLA 6F1F71
GTOP-AJ221-4023-LN-864C -24.3239138184611 38.6441722360723 4023 AJ221 AJ221-4023 Heart_Tricuspid_Valve HEARTTV 9F98BF
GTOP-AJ221-4149-LN-TNU9 -1.56578523826671 26.5371057305068 4149 AJ221 AJ221-4149 Thoracic_Aorta THRAORT 7e888e
GTOP-AJ221-4155-LN-5B1V -30.9405078924137 38.9684449015232 4155 AJ221 AJ221-4155 Aortic_Arch ARTARCH 758E90
GTOP-AJ221-5032-LN-DP3Q 37.082603638764 36.5771913311243 5032 AJ221 AJ221-5032 Lung_Base LUNGB AECBD1
GTOP-AJ231-0087-LN-9SDI -153.761915932435 -18.4953273563488 0087 AJ231 AJ231-0087 Muscle MUSCLE 7080BD
GTOP-AJ231-0262-LN-Y4A8 52.3774735533854 32.9705100802984 0262 AJ231 AJ231-0262 Skin SKIN 3A71A4
GTOP-AJ231-1053-LN-1MW3 103.959405487232 8.53447696866068 1053 AJ231 AJ231-1053 Liver LIVER 69AE6A
GTOP-AJ231-1236-LN-TX0A 117.630576813947 -146.527540703848 1236 AJ231 AJ231-1236 Pancreas_Body PNCREASB 902222
GTOP-AJ231-2099-LN-1EPN 34.6048139454274 13.7925337455118 2099 AJ231 AJ231-2099 Adrenal_Gland ADRNLG A8D650
GTOP-AK091-0087-LN-S07X -141.541133357244 -25.6780233820369 0087 AK091 AK091-0087 Muscle MUSCLE 7080BD
GTOP-AK091-1470-LN-9YPL 65.4836104501691 5.60431609681679 1470 AK091 AK091-1470 Small_Intestine SNTTRM 535426
GTOP-AK091-1584-LN-JH34 93.7933372412896 -0.747905927860017 1584 AK091 AK091-1584 Colon COLON E7C08D
GTOP-AK091-1601-LN-4Q3G 88.8997173927434 -40.31249483748 1601 AK091 AK091-1601 Stomach STMACH F8D895
GTOP-AK091-1710-LN-GV2U -33.4045820739284 24.3687744910005 1710 AK091 AK091-1710 Esophagus ESP AF8C5C
GTOP-AK091-3082-LN-G5ML 66.2807761483611 104.771516043494 3082 AK091 AK091-3082 Spleen SPLEEN 768454
GTOP-AK091-4002-LN-K2CP -112.758295518633 21.9305852683078 4002 AK091 AK091-4002 Heart_Left_Ventricle HEARTLV 9C5CA1
GTOP-AK091-4003-LN-5FIE -129.196847199248 -9.50232107821353 4003 AK091 AK091-4003 Heart_Right_Ventricle HEARTRV A780A0
GTOP-AK091-4018-LN-8GP8 -134.520003280533 -14.1198245146892 4018 AK091 AK091-4018 Heart_Right_Atrium HEARTRA 8466A6
GTOP-AK091-4019-LN-2QY2 -136.949797860555 -28.3780002213345 4019 AK091 AK091-4019 Heart_Left_Atrium HEARTLA 6F1F71
GTOP-AK091-4022-LN-X55Z -15.5529119398753 37.8060363421406 4022 AK091 AK091-4022 Heart_Mitral_Valve HEARTMV BA91BC
GTOP-AK091-4023-LN-CO13 -57.8538480325948 18.4260177583603 4023 AK091 AK091-4023 Heart_Tricuspid_Valve HEARTTV 9F98BF
GTOP-AK092-1053-LN-EU3G 108.54038358769 -10.4122894235619 1053 AK092 AK092-1053 Liver LIVER 69AE6A
GTOP-AK111-1236-LN-96CC 108.316614545127 -144.058023237363 1236 AK111 AK111-1236 Pancreas_Body PNCREASB 902222
GTOP-AK111-1856-LN-YQ53 46.1947797081146 -17.0101469969293 1856 AK111 AK111-1856 Gallbladder BLADDER 8F8495
GTOP-AK112-0262-LN-69AQ 18.9141603761934 16.9578713342925 0262 AK112 AK112-0262 Skin SKIN 3A71A4
GTOP-AK112-1470-LN-J8K4 72.2673604020882 -21.1548507379567 1470 AK112 AK112-1470 Small_Intestine SNTTRM 535426
