gene	gene_id	module_MEnumber	module_Color
1	ENST00000000233.10	ME5	green
2	ENST00000000412.8	ME5	green
3	ENST00000000442.11	ME4	yellow
4	ENST00000001008.6	ME3	brown
5	ENST00000001146.7	ME2	blue
6	ENST00000002125.9	ME4	yellow
7	ENST00000002165.11	ME2	blue
8	ENST00000002501.11	ME7	black
9	ENST00000002596.6	ME2	blue
10	ENST00000002829.8	ME22	darkgreen
11	ENST00000003100.13	ME5	green
12	ENST00000003302.8	ME4	yellow
14	ENST00000003912.8	ME5	green
15	ENST00000004103.8	ME2	blue
16	ENST00000004982.6	ME6	red
19	ENST00000005257.7	ME5	green
20	ENST00000005259.9	ME4	yellow
21	ENST00000005260.9	ME4	yellow
22	ENST00000005286.8	ME3	brown
23	ENST00000005340.10	ME2	blue
24	ENST00000005374.10	ME13	salmon
25	ENST00000005386.8	ME5	green
27	ENST00000006053.7	ME2	blue
30	ENST00000006658.11	ME4	yellow
31	ENST00000006750.8	ME4	yellow
32	ENST00000006777.11	ME2	blue
34	ENST00000007390.3	ME5	green
35	ENST00000007414.8	ME2	blue
36	ENST00000007510.9	ME2	blue
37	ENST00000007516.8	ME4	yellow
38	ENST00000007699.10	ME4	yellow
40	ENST00000007722.11	ME3	brown
42	ENST00000008180.13	ME2	blue
43	ENST00000008527.10	ME5	green
44	ENST00000009041.12	ME5	green
45	ENST00000009180.10	ME2	blue
46	ENST00000009530.13	ME12	tan
47	ENST00000009589.8	ME5	green
48	ENST00000010132.6	ME12	tan
52	ENST00000011619.6	ME5	green
53	ENST00000011653.9	ME2	blue
54	ENST00000011691.6	ME1	turquoise
55	ENST00000011700.10	ME4	yellow
56	ENST00000011898.10	ME4	yellow
59	ENST00000012443.9	ME6	red
60	ENST00000013070.11	ME5	green
62	ENST00000013222.5	ME2	blue
63	ENST00000013807.9	ME4	yellow
65	ENST00000014914.6	ME2	blue
66	ENST00000014930.9	ME2	blue
67	ENST00000014935.7	ME4	yellow
68	ENST00000016171.6	ME5	green
69	ENST00000016946.8	ME5	green
70	ENST00000017003.7	ME29	saddlebrown
73	ENST00000020926.8	ME16	lightcyan
74	ENST00000020945.4	ME10	purple
75	ENST00000022615.9	ME4	yellow
