index	Unique peptide	Shared peptide	color
Abdominal_Aorta	0.080651	0.628732	#cbc5d3
Adipose	0.124270	0.673061	#E59525
Adrenal_Gland	0.146143	0.696888	#A8D650
Aortic_Arch	0.088559	0.695674	#758E90
Colon	0.113895	0.682335	#E7C08D
Common_Iliac_Artery	0.067236	0.608167	#d0d1e6
Esophagus	0.116414	0.675586	#AF8C5C
Gallbladder	0.107436	0.688462	#8F8495
Heart_Left_Atrium	0.114801	0.660342	#6F1F71
Heart_Left_Ventricle	0.100769	0.671923	#9C5CA1
Heart_Mitral_Valve	0.086402	0.607365	#BA91BC
Heart_Right_Atrium	0.109244	0.652366	#8466A6
Heart_Right_Ventricle	0.093329	0.668165	#A780A0
Heart_Tricuspid_Valve	0.069504	0.567619	#9F98BF
Liver	0.156051	0.730361	#69AE6A
Lung_Apex	0.142053	0.667722	#76ADB8
Lung_Base	0.147120	0.662661	#AECBD1
Lymph_node	0.153230	0.616219	#ACAA95
Muscle	0.073888	0.645648	#7080BD
Ovary	0.103933	0.650664	#DF898D
Pancreas_Body	0.140481	0.668207	#902222
Pancreas_Head	0.102362	0.618673	#AB5F2C
Pancreas_Tail	0.130977	0.666320	#E59276
Prostate	0.104899	0.669915	#0CE3C3
Skin	0.088693	0.617479	#3A71A4
Small_Intestine	0.128726	0.681233	#535426
Spleen	0.125455	0.630909	#768454
Stomach	0.134233	0.665917	#F8D895
Thoracic_Aorta	0.095119	0.649930	#7e888e
Trachea	0.114035	0.641946	#D285A5
Uterus	0.075867	0.583824	#E35656
