Group	Number	Density_sum
snv_eQTL	1	0.239383523672247
snv_eQTL	2	0.0106441955870939
snv_eQTL	3	0.0256125956314447
snv_eQTL	4	0.0349262667701519
snv_eQTL	5	0.0406918727131611
snv_eQTL	6	0.0481206342166537
snv_eQTL	7	0.0559929038696086
snv_eQTL	8	0.0699634105776694
snv_eQTL	9	0.0891451380419115
snv_eQTL	10	0.12939350260561
snv_eQTL	11	0.256125956314447
sv_eQTL	1	0.167851284855112
sv_eQTL	2	0.0106615636960087
sv_eQTL	3	0.0390924002186987
sv_eQTL	4	0.0363586659376709
sv_eQTL	5	0.0363586659376709
sv_eQTL	6	0.0481137233460908
sv_eQTL	7	0.0513942044833242
sv_eQTL	8	0.0628758884636413
sv_eQTL	9	0.074904319300164
sv_eQTL	10	0.12547840349918
sv_eQTL	11	0.346910880262439
tr_eQTL	1	0.210678590215676
tr_eQTL	2	0.0107837980010521
tr_eQTL	3	0.0364281956864808
tr_eQTL	4	0.0451078379800105
tr_eQTL	5	0.0474750131509732
tr_eQTL	6	0.0515518148342977
tr_eQTL	7	0.0512887953708574
tr_eQTL	8	0.0668069437138348
tr_eQTL	9	0.0765386638611257
tr_eQTL	10	0.122830089426618
tr_eQTL	11	0.280510257759074
