tissue	new_two_group	Gene_count
Adipose	EUR_rare	141
Adipose	EUR_unobserved	44
Adrenal_Gland	EUR_rare	157
Adrenal_Gland	EUR_unobserved	42
Gallbladder	EUR_rare	101
Gallbladder	EUR_unobserved	42
Liver	EUR_rare	158
Liver	EUR_unobserved	37
Muscle	EUR_rare	40
Muscle	EUR_unobserved	12
Pancreas_Body	EUR_rare	166
Pancreas_Body	EUR_unobserved	66
Pancreas_Head	EUR_rare	167
Pancreas_Head	EUR_unobserved	57
Pancreas_Tail	EUR_rare	170
Pancreas_Tail	EUR_unobserved	70
Skin	EUR_rare	15
Skin	EUR_unobserved	1
Spleen	EUR_rare	67
Spleen	EUR_unobserved	16
Whole_Blood	EUR_rare	172
Whole_Blood	EUR_unobserved	45
