variable	tissue	count
AFR	Adipose	34
AFR	Adrenal_Gland	48
AFR	Gallbladder	28
AFR	Liver	47
AFR	Muscle	12
AFR	Pancreas_Body	53
AFR	Pancreas_Head	46
AFR	Pancreas_Tail	49
AFR	Skin	12
AFR	Spleen	20
AFR	Whole_Blood	50
EUR	Adipose	59
EUR	Adrenal_Gland	82
EUR	Gallbladder	45
EUR	Liver	68
EUR	Muscle	18
EUR	Pancreas_Body	92
EUR	Pancreas_Head	83
EUR	Pancreas_Tail	81
EUR	Skin	12
EUR	Spleen	30
EUR	Whole_Blood	84
SAS	Adipose	22
SAS	Adrenal_Gland	35
SAS	Gallbladder	22
SAS	Liver	32
SAS	Muscle	12
SAS	Pancreas_Body	40
SAS	Pancreas_Head	39
SAS	Pancreas_Tail	33
SAS	Skin	7
SAS	Spleen	17
SAS	Whole_Blood	32
AMR	Adipose	19
AMR	Adrenal_Gland	27
AMR	Gallbladder	21
AMR	Liver	27
AMR	Muscle	7
AMR	Pancreas_Body	30
AMR	Pancreas_Head	29
AMR	Pancreas_Tail	32
AMR	Skin	6
AMR	Spleen	14
AMR	Whole_Blood	28
