tissue,type1,type2,type3,count,all_count,ratio
Adipose,consistent,ratio_nominal,Lead eVariant,793,1134,0.699294532627866
Adipose,inconsistent,ratio_nominal,Lead eVariant,341,1134,0.300705467372134
Adipose,consistent,ratio_mash,Lead eVariant,873,1134,0.76984126984127
Adipose,inconsistent,ratio_mash,Lead eVariant,261,1134,0.23015873015873
Adipose,consistent,ratio_uncertainty-aware,Lead eVariant,450,1134,0.396825396825397
Adipose,inconsistent,ratio_uncertainty-aware,Lead eVariant,684,1134,0.603174603174603
Adipose,consistent,FDR,Lead eVariant,871,1134,0.768077601410935
Adipose,inconsistent,FDR,Lead eVariant,263,1134,0.231922398589065
Adipose,consistent,gene,All eGenes,1505,1757,0.856573705179283
Adipose,inconsistent,gene,All eGenes,252,1757,0.143426294820717
Adipose,consistent,gene,coloc genes,1229,1874,0.655816435432231
Adipose,inconsistent,gene,coloc genes,645,1874,0.34418356456777
Adrenal_Gland,consistent,ratio_nominal,Lead eVariant,1164,1686,0.690391459074733
Adrenal_Gland,inconsistent,ratio_nominal,Lead eVariant,522,1686,0.309608540925267
Adrenal_Gland,consistent,ratio_mash,Lead eVariant,1284,1686,0.761565836298932
Adrenal_Gland,inconsistent,ratio_mash,Lead eVariant,402,1686,0.238434163701068
Adrenal_Gland,consistent,ratio_uncertainty-aware,Lead eVariant,579,1686,0.343416370106762
Adrenal_Gland,inconsistent,ratio_uncertainty-aware,Lead eVariant,1107,1686,0.656583629893239
Adrenal_Gland,consistent,FDR,Lead eVariant,1033,1686,0.612692763938316
Adrenal_Gland,inconsistent,FDR,Lead eVariant,653,1686,0.387307236061684
Adrenal_Gland,consistent,gene,All eGenes,1870,2703,0.691823899371069
Adrenal_Gland,inconsistent,gene,All eGenes,833,2703,0.308176100628931
Adrenal_Gland,consistent,gene,coloc genes,1604,2979,0.538435716683451
Adrenal_Gland,inconsistent,gene,coloc genes,1375,2979,0.461564283316549
Liver,consistent,ratio_nominal,Lead eVariant,1058,1633,0.647887323943662
Liver,inconsistent,ratio_nominal,Lead eVariant,575,1633,0.352112676056338
Liver,consistent,ratio_mash,Lead eVariant,1201,1633,0.735456215554195
Liver,inconsistent,ratio_mash,Lead eVariant,432,1633,0.264543784445805
Liver,consistent,ratio_uncertainty-aware,Lead eVariant,468,1633,0.286589099816289
Liver,inconsistent,ratio_uncertainty-aware,Lead eVariant,1165,1633,0.713410900183711
Liver,consistent,FDR,Lead eVariant,896,1633,0.548683404776485
Liver,inconsistent,FDR,Lead eVariant,737,1633,0.451316595223515
Liver,consistent,gene,All eGenes,1625,2580,0.62984496124031
Liver,inconsistent,gene,All eGenes,955,2580,0.37015503875969
Liver,consistent,gene,coloc genes,1393,2808,0.496082621082621
Liver,inconsistent,gene,coloc genes,1415,2808,0.503917378917379
Pancreas_Head,consistent,ratio_nominal,Lead eVariant,1332,1844,0.72234273318872
Pancreas_Head,inconsistent,ratio_nominal,Lead eVariant,512,1844,0.27765726681128
Pancreas_Head,consistent,ratio_mash,Lead eVariant,1487,1844,0.806399132321041
Pancreas_Head,inconsistent,ratio_mash,Lead eVariant,357,1844,0.193600867678959
Pancreas_Head,consistent,ratio_uncertainty-aware,Lead eVariant,764,1844,0.414316702819957
Pancreas_Head,inconsistent,ratio_uncertainty-aware,Lead eVariant,1080,1844,0.585683297180044
Pancreas_Head,consistent,FDR,Lead eVariant,1260,1844,0.683297180043384
Pancreas_Head,inconsistent,FDR,Lead eVariant,584,1844,0.316702819956616
Pancreas_Head,consistent,gene,All eGenes,2194,2876,0.762865090403338
Pancreas_Head,inconsistent,gene,All eGenes,682,2876,0.237134909596662
Pancreas_Head,consistent,gene,coloc genes,1793,3151,0.56902570612504
Pancreas_Head,inconsistent,gene,coloc genes,1358,3151,0.43097429387496
Pancreas_Tail,consistent,ratio_nominal,Lead eVariant,1343,1944,0.690843621399177
Pancreas_Tail,inconsistent,ratio_nominal,Lead eVariant,601,1944,0.309156378600823
Pancreas_Tail,consistent,ratio_mash,Lead eVariant,1552,1944,0.798353909465021
Pancreas_Tail,inconsistent,ratio_mash,Lead eVariant,392,1944,0.201646090534979
Pancreas_Tail,consistent,ratio_uncertainty-aware,Lead eVariant,751,1944,0.386316872427984
Pancreas_Tail,inconsistent,ratio_uncertainty-aware,Lead eVariant,1193,1944,0.613683127572017
Pancreas_Tail,consistent,FDR,Lead eVariant,1298,1944,0.667695473251029
Pancreas_Tail,inconsistent,FDR,Lead eVariant,646,1944,0.332304526748971
Pancreas_Tail,consistent,gene,All eGenes,2266,3042,0.744904667981591
Pancreas_Tail,inconsistent,gene,All eGenes,776,3042,0.255095332018409
Pancreas_Tail,consistent,gene,coloc genes,1859,3315,0.56078431372549
Pancreas_Tail,inconsistent,gene,coloc genes,1456,3315,0.43921568627451
Whole_Blood,consistent,ratio_nominal,Lead eVariant,1094,2029,0.539181862986693
