tissue,type,value
Adipose,raw,76.63
Adipose,sample_size+MAF,79.19
Adrenal_Gland,raw,61.27
Adrenal_Gland,sample_size+MAF,65.9
Liver,raw,54.87
Liver,sample_size+MAF,61.18
Pancreas_Head,raw,68.33
Pancreas_Head,sample_size+MAF,71.2
Pancreas_Tail,raw,66.77
Pancreas_Tail,sample_size+MAF,69.5
Whole_Blood,raw,76.98
Whole_Blood,sample_size+MAF,77.82
Pancreas_Body,raw,69.08
Pancreas_Body,sample_size+MAF,72.27
Muscle,raw,86.78
Muscle,sample_size+MAF,86.5
Spleen,raw,76.44
Spleen,sample_size+MAF,77.04
Skin,raw,86.04
Skin,sample_size+MAF,85.75
