Phecode	Trait_class	type	trait_class_loci_count	trait_loci_count	qtl_loci_count	gene_count
PLT	Quantitative_trait	eQTL	566	65	16	130
PLT	Quantitative_trait	eQTL,sQTL	566	65	30	130
PLT	Quantitative_trait	sQTL	566	65	19	130
MCV	Quantitative_trait	eQTL	566	55	12	127
MCV	Quantitative_trait	eQTL,sQTL	566	55	29	127
MCV	Quantitative_trait	sQTL	566	55	14	127
MCH	Quantitative_trait	eQTL	566	49	10	120
MCH	Quantitative_trait	eQTL,sQTL	566	49	25	120
MCH	Quantitative_trait	sQTL	566	49	14	120
WT	Quantitative_trait	eQTL	566	48	11	118
WT	Quantitative_trait	eQTL,sQTL	566	48	18	118
WT	Quantitative_trait	sQTL	566	48	19	118
RBC	Quantitative_trait	eQTL	566	42	9	126
RBC	Quantitative_trait	eQTL,sQTL	566	42	23	126
RBC	Quantitative_trait	sQTL	566	42	10	126
HT	Quantitative_trait	eQTL	566	31	7	65
HT	Quantitative_trait	eQTL,sQTL	566	31	13	65
HT	Quantitative_trait	sQTL	566	31	11	65
BMI	Quantitative_trait	eQTL	566	27	7	65
BMI	Quantitative_trait	eQTL,sQTL	566	27	12	65
BMI	Quantitative_trait	sQTL	566	27	8	65
MCHC	Quantitative_trait	eQTL	566	26	5	56
MCHC	Quantitative_trait	eQTL,sQTL	566	26	14	56
MCHC	Quantitative_trait	sQTL	566	26	7	56
TC	Quantitative_trait	eQTL	566	26	9	52
TC	Quantitative_trait	eQTL,sQTL	566	26	9	52
TC	Quantitative_trait	sQTL	566	26	8	52
ALT	Quantitative_trait	eQTL	566	23	11	46
ALT	Quantitative_trait	eQTL,sQTL	566	23	9	46
ALT	Quantitative_trait	sQTL	566	23	3	46
HCT	Quantitative_trait	eQTL	566	21	9	41
HCT	Quantitative_trait	eQTL,sQTL	566	21	7	41
HCT	Quantitative_trait	sQTL	566	21	5	41
WBC	Quantitative_trait	eQTL	566	21	11	29
WBC	Quantitative_trait	eQTL,sQTL	566	21	4	29
WBC	Quantitative_trait	sQTL	566	21	6	29
HDL-C	Quantitative_trait	eQTL	566	20	1	41
HDL-C	Quantitative_trait	eQTL,sQTL	566	20	9	41
HDL-C	Quantitative_trait	sQTL	566	20	10	41
HbA1c	Quantitative_trait	eQTL	566	18	5	32
HbA1c	Quantitative_trait	eQTL,sQTL	566	18	5	32
HbA1c	Quantitative_trait	sQTL	566	18	8	32
MC	Quantitative_trait	eQTL	566	17	4	24
MC	Quantitative_trait	eQTL,sQTL	566	17	7	24
MC	Quantitative_trait	sQTL	566	17	6	24
sCR	Quantitative_trait	eQTL	566	17	7	33
sCR	Quantitative_trait	eQTL,sQTL	566	17	6	33
sCR	Quantitative_trait	sQTL	566	17	4	33
LDL-C	Quantitative_trait	eQTL	566	15	5	29
LDL-C	Quantitative_trait	eQTL,sQTL	566	15	6	29
LDL-C	Quantitative_trait	sQTL	566	15	4	29
TG	Quantitative_trait	eQTL	566	13	3	29
TG	Quantitative_trait	eQTL,sQTL	566	13	5	29
TG	Quantitative_trait	sQTL	566	13	5	29
HB	Quantitative_trait	eQTL	566	12	4	29
HB	Quantitative_trait	eQTL,sQTL	566	12	4	29
HB	Quantitative_trait	sQTL	566	12	4	29
UA	Quantitative_trait	eQTL	566	12	5	20
UA	Quantitative_trait	eQTL,sQTL	566	12	4	20
UA	Quantitative_trait	sQTL	566	12	3	20
EC	Quantitative_trait	eQTL	566	11	1	26
