method	total	category	count	method_order	category_order
IsoTools	443027	FSM	67482	1	1
IsoTools	443027	ISM	80843	1	2
IsoTools	443027	NIC	113214	1	3
IsoTools	443027	NNC	158286	1	4
IsoTools	443027	Fusion	10056	1	5
IsoTools	443027	Genic	5950	1	6
IsoTools	443027	Antisense	4716	1	7
IsoTools	443027	Intergenic	2480	1	8
TALON	405545	FSM	62133	2	1
TALON	405545	ISM	67692	2	2
TALON	405545	NIC	105964	2	3
TALON	405545	NNC	148201	2	4
TALON	405545	Fusion	9302	2	5
TALON	405545	Genic	5580	2	6
TALON	405545	Antisense	4385	2	7
TALON	405545	Intergenic	2288	2	8
Iso-Seq	377793	FSM	58438	3	1
Iso-Seq	377793	ISM	44146	3	2
Iso-Seq	377793	NIC	104316	3	3
Iso-Seq	377793	NNC	151629	3	4
Iso-Seq	377793	Fusion	11227	3	5
Iso-Seq	377793	Genic	3421	3	6
Iso-Seq	377793	Antisense	2971	3	7
Iso-Seq	377793	Intergenic	1645	3	8
Bambu	329012	FSM	320009	4	1
Bambu	329012	ISM	15	4	2
Bambu	329012	NIC	2360	4	3
Bambu	329012	NNC	2856	4	4
Bambu	329012	Fusion	815	4	5
Bambu	329012	Genic	595	4	6
Bambu	329012	Antisense	1715	4	7
Bambu	329012	Intergenic	647	4	8
IsoQuant	291066	FSM	109908	5	1
IsoQuant	291066	ISM	27412	5	2
IsoQuant	291066	NIC	57129	5	3
IsoQuant	291066	NNC	77382	5	4
IsoQuant	291066	Fusion	6630	5	5
IsoQuant	291066	Genic	5758	5	6
IsoQuant	291066	Antisense	4987	5	7
IsoQuant	291066	Intergenic	1860	5	8
FLAMES	257263	FSM	63204	6	1
FLAMES	257263	ISM	35929	6	2
FLAMES	257263	NIC	70092	6	3
FLAMES	257263	NNC	79785	6	4
FLAMES	257263	Fusion	7793	6	5
FLAMES	257263	Genic	460	6	6
FLAMES	257263	Antisense	0	6	7
FLAMES	257263	Intergenic	0	6	8
FLAIR	168123	FSM	69438	7	1
FLAIR	168123	ISM	18723	7	2
FLAIR	168123	NIC	76878	7	3
FLAIR	168123	NNC	151	7	4
FLAIR	168123	Fusion	2933	7	5
FLAIR	168123	Genic	0	7	6
FLAIR	168123	Antisense	0	7	7
FLAIR	168123	Intergenic	0	7	8
