method1	method2	jaccard
IsoTools	IsoTools	1.0
TALON	IsoTools	0.811752
Iso-Seq	IsoTools	0.572389
Bambu	IsoTools	0.104443
IsoQuant	IsoTools	0.410762
FLAMES	IsoTools	0.460605
FLAIR	IsoTools	0.312743
IsoTools	TALON	0.811752
TALON	TALON	1.0
Iso-Seq	TALON	0.542323
Bambu	TALON	0.101569
IsoQuant	TALON	0.388709
FLAMES	TALON	0.439166
FLAIR	TALON	0.302237
IsoTools	Iso-Seq	0.572389
TALON	Iso-Seq	0.542323
Iso-Seq	Iso-Seq	1.0
Bambu	Iso-Seq	0.097948
IsoQuant	Iso-Seq	0.343004
FLAMES	Iso-Seq	0.448253
FLAIR	Iso-Seq	0.304758
IsoTools	Bambu	0.104443
TALON	Bambu	0.101569
Iso-Seq	Bambu	0.097948
Bambu	Bambu	1.0
IsoQuant	Bambu	0.228152
FLAMES	Bambu	0.126464
FLAIR	Bambu	0.16394
IsoTools	IsoQuant	0.410762
TALON	IsoQuant	0.388709
Iso-Seq	IsoQuant	0.343004
Bambu	IsoQuant	0.228152
IsoQuant	IsoQuant	1.0
FLAMES	IsoQuant	0.427501
FLAIR	IsoQuant	0.287878
IsoTools	FLAMES	0.460605
TALON	FLAMES	0.439166
Iso-Seq	FLAMES	0.448253
Bambu	FLAMES	0.126464
IsoQuant	FLAMES	0.427501
FLAMES	FLAMES	1.0
FLAIR	FLAMES	0.387996
IsoTools	FLAIR	0.312743
TALON	FLAIR	0.302237
Iso-Seq	FLAIR	0.304758
Bambu	FLAIR	0.16394
IsoQuant	FLAIR	0.287878
FLAMES	FLAIR	0.387996
FLAIR	FLAIR	1.0
