intersection	intersection_order	category	category_order	count
IsoTools|TALON|Iso-Seq	1	FSM	1	27
IsoTools|TALON|Iso-Seq	1	ISM	2	8224
IsoTools|TALON|Iso-Seq	1	NIC	3	8121
IsoTools|TALON|Iso-Seq	1	NNC	4	34028
IsoTools|TALON|Iso-Seq	1	Fusion	5	1202
IsoTools|TALON|Iso-Seq	1	Genic	6	328
IsoTools|TALON|Iso-Seq	1	Antisense	7	155
IsoTools|TALON|Iso-Seq	1	Intergenic	8	427
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant	2	FSM	1	26
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant	2	ISM	2	6686
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant	2	NIC	3	5778
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant	2	NNC	4	35560
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant	2	Fusion	5	1573
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant	2	Genic	6	154
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant	2	Antisense	7	0
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant	2	Intergenic	8	0
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR	3	FSM	1	219
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR	3	ISM	2	6227
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR	3	NIC	3	28813
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR	3	NNC	4	29
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR	3	Fusion	5	1070
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR	3	Genic	6	0
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR	3	Antisense	7	0
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR	3	Intergenic	8	0
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR|Bambu	4	FSM	1	33996
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR|Bambu	4	ISM	2	0
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR|Bambu	4	NIC	3	1354
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR|Bambu	4	NNC	4	1
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR|Bambu	4	Fusion	5	161
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR|Bambu	4	Genic	6	0
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR|Bambu	4	Antisense	7	0
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR|Bambu	4	Intergenic	8	0
IsoTools|TALON|Iso-Seq|FLAMES	5	FSM	1	26
IsoTools|TALON|Iso-Seq|FLAMES	5	ISM	2	4848
IsoTools|TALON|Iso-Seq|FLAMES	5	NIC	3	4931
IsoTools|TALON|Iso-Seq|FLAMES	5	NNC	4	16758
IsoTools|TALON|Iso-Seq|FLAMES	5	Fusion	5	801
IsoTools|TALON|Iso-Seq|FLAMES	5	Genic	6	12
IsoTools|TALON|Iso-Seq|FLAMES	5	Antisense	7	0
IsoTools|TALON|Iso-Seq|FLAMES	5	Intergenic	8	0
IsoTools|TALON|IsoQuant	6	FSM	1	32
IsoTools|TALON|IsoQuant	6	ISM	2	2455
IsoTools|TALON|IsoQuant	6	NIC	3	2467
IsoTools|TALON|IsoQuant	6	NNC	4	11029
IsoTools|TALON|IsoQuant	6	Fusion	5	607
IsoTools|TALON|IsoQuant	6	Genic	6	2196
IsoTools|TALON|IsoQuant	6	Antisense	7	1195
IsoTools|TALON|IsoQuant	6	Intergenic	8	505
IsoTools|TALON|Iso-Seq|IsoQuant	7	FSM	1	38
IsoTools|TALON|Iso-Seq|IsoQuant	7	ISM	2	2170
IsoTools|TALON|Iso-Seq|IsoQuant	7	NIC	3	1844
IsoTools|TALON|Iso-Seq|IsoQuant	7	NNC	4	10044
IsoTools|TALON|Iso-Seq|IsoQuant	7	Fusion	5	724
IsoTools|TALON|Iso-Seq|IsoQuant	7	Genic	6	1665
IsoTools|TALON|Iso-Seq|IsoQuant	7	Antisense	7	1506
IsoTools|TALON|Iso-Seq|IsoQuant	7	Intergenic	8	550
IsoTools|TALON|Iso-Seq|FLAIR	8	FSM	1	60
IsoTools|TALON|Iso-Seq|FLAIR	8	ISM	2	700
IsoTools|TALON|Iso-Seq|FLAIR	8	NIC	3	13223
IsoTools|TALON|Iso-Seq|FLAIR	8	NNC	4	49
IsoTools|TALON|Iso-Seq|FLAIR	8	Fusion	5	296
IsoTools|TALON|Iso-Seq|FLAIR	8	Genic	6	0
IsoTools|TALON|Iso-Seq|FLAIR	8	Antisense	7	0
IsoTools|TALON|Iso-Seq|FLAIR	8	Intergenic	8	0
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR	9	FSM	1	166
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR	9	ISM	2	3028
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR	9	NIC	3	10608
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR	9	NNC	4	11
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR	9	Fusion	5	330
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR	9	Genic	6	0
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR	9	Antisense	7	0
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR	9	Intergenic	8	0
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR|Bambu	10	FSM	1	8167
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR|Bambu	10	ISM	2	0
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR|Bambu	10	NIC	3	32
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR|Bambu	10	NNC	4	0
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR|Bambu	10	Fusion	5	11
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR|Bambu	10	Genic	6	0
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR|Bambu	10	Antisense	7	0
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR|Bambu	10	Intergenic	8	0
IsoTools|TALON|FLAMES|IsoQuant	11	FSM	1	8
IsoTools|TALON|FLAMES|IsoQuant	11	ISM	2	935
IsoTools|TALON|FLAMES|IsoQuant	11	NIC	3	882
IsoTools|TALON|FLAMES|IsoQuant	11	NNC	4	5433
IsoTools|TALON|FLAMES|IsoQuant	11	Fusion	5	206
IsoTools|TALON|FLAMES|IsoQuant	11	Genic	6	57
IsoTools|TALON|FLAMES|IsoQuant	11	Antisense	7	0
IsoTools|TALON|FLAMES|IsoQuant	11	Intergenic	8	0
IsoTools|TALON|FLAMES	12	FSM	1	18
IsoTools|TALON|FLAMES	12	ISM	2	1793
IsoTools|TALON|FLAMES	12	NIC	3	1418
IsoTools|TALON|FLAMES	12	NNC	4	3623
IsoTools|TALON|FLAMES	12	Fusion	5	179
IsoTools|TALON|FLAMES	12	Genic	6	4
IsoTools|TALON|FLAMES	12	Antisense	7	0
IsoTools|TALON|FLAMES	12	Intergenic	8	0
IsoTools|TALON|Iso-Seq|IsoQuant|FLAIR	13	FSM	1	274
IsoTools|TALON|Iso-Seq|IsoQuant|FLAIR	13	ISM	2	616
IsoTools|TALON|Iso-Seq|IsoQuant|FLAIR	13	NIC	3	3499
IsoTools|TALON|Iso-Seq|IsoQuant|FLAIR	13	NNC	4	11
IsoTools|TALON|Iso-Seq|IsoQuant|FLAIR	13	Fusion	5	198
IsoTools|TALON|Iso-Seq|IsoQuant|FLAIR	13	Genic	6	0
IsoTools|TALON|Iso-Seq|IsoQuant|FLAIR	13	Antisense	7	0
IsoTools|TALON|Iso-Seq|IsoQuant|FLAIR	13	Intergenic	8	0
IsoTools|Iso-Seq|FLAMES|IsoQuant	14	FSM	1	8
IsoTools|Iso-Seq|FLAMES|IsoQuant	14	ISM	2	1253
IsoTools|Iso-Seq|FLAMES|IsoQuant	14	NIC	3	493
IsoTools|Iso-Seq|FLAMES|IsoQuant	14	NNC	4	2607
IsoTools|Iso-Seq|FLAMES|IsoQuant	14	Fusion	5	114
IsoTools|Iso-Seq|FLAMES|IsoQuant	14	Genic	6	4
IsoTools|Iso-Seq|FLAMES|IsoQuant	14	Antisense	7	0
IsoTools|Iso-Seq|FLAMES|IsoQuant	14	Intergenic	8	0
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|Bambu	15	FSM	1	2257
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|Bambu	15	ISM	2	0
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|Bambu	15	NIC	3	83
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|Bambu	15	NNC	4	1637
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|Bambu	15	Fusion	5	156
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|Bambu	15	Genic	6	14
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|Bambu	15	Antisense	7	0
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|Bambu	15	Intergenic	8	0
IsoTools|TALON|FLAIR	16	FSM	1	26
IsoTools|TALON|FLAIR	16	ISM	2	810
IsoTools|TALON|FLAIR	16	NIC	3	2848
IsoTools|TALON|FLAIR	16	NNC	4	5
IsoTools|TALON|FLAIR	16	Fusion	5	104
IsoTools|TALON|FLAIR	16	Genic	6	0
IsoTools|TALON|FLAIR	16	Antisense	7	0
IsoTools|TALON|FLAIR	16	Intergenic	8	0
IsoTools|Iso-Seq|FLAMES|IsoQuant|FLAIR	17	FSM	1	20
IsoTools|Iso-Seq|FLAMES|IsoQuant|FLAIR	17	ISM	2	786
IsoTools|Iso-Seq|FLAMES|IsoQuant|FLAIR	17	NIC	3	2074
IsoTools|Iso-Seq|FLAMES|IsoQuant|FLAIR	17	NNC	4	2
IsoTools|Iso-Seq|FLAMES|IsoQuant|FLAIR	17	Fusion	5	75
IsoTools|Iso-Seq|FLAMES|IsoQuant|FLAIR	17	Genic	6	0
IsoTools|Iso-Seq|FLAMES|IsoQuant|FLAIR	17	Antisense	7	0
IsoTools|Iso-Seq|FLAMES|IsoQuant|FLAIR	17	Intergenic	8	0
IsoTools|Iso-Seq|FLAMES|IsoQuant|FLAIR|Bambu	18	FSM	1	2530
IsoTools|Iso-Seq|FLAMES|IsoQuant|FLAIR|Bambu	18	ISM	2	0
IsoTools|Iso-Seq|FLAMES|IsoQuant|FLAIR|Bambu	18	NIC	3	101
IsoTools|Iso-Seq|FLAMES|IsoQuant|FLAIR|Bambu	18	NNC	4	1
IsoTools|Iso-Seq|FLAMES|IsoQuant|FLAIR|Bambu	18	Fusion	5	15
IsoTools|Iso-Seq|FLAMES|IsoQuant|FLAIR|Bambu	18	Genic	6	0
IsoTools|Iso-Seq|FLAMES|IsoQuant|FLAIR|Bambu	18	Antisense	7	0
IsoTools|Iso-Seq|FLAMES|IsoQuant|FLAIR|Bambu	18	Intergenic	8	0
IsoTools|TALON|FLAMES|IsoQuant|FLAIR	19	FSM	1	22
IsoTools|TALON|FLAMES|IsoQuant|FLAIR	19	ISM	2	576
IsoTools|TALON|FLAMES|IsoQuant|FLAIR	19	NIC	3	1924
IsoTools|TALON|FLAMES|IsoQuant|FLAIR	19	NNC	4	5
IsoTools|TALON|FLAMES|IsoQuant|FLAIR	19	Fusion	5	79
IsoTools|TALON|FLAMES|IsoQuant|FLAIR	19	Genic	6	0
IsoTools|TALON|FLAMES|IsoQuant|FLAIR	19	Antisense	7	0
IsoTools|TALON|FLAMES|IsoQuant|FLAIR	19	Intergenic	8	0
IsoTools|TALON|Iso-Seq|IsoQuant|Bambu	20	FSM	1	688
IsoTools|TALON|Iso-Seq|IsoQuant|Bambu	20	ISM	2	0
IsoTools|TALON|Iso-Seq|IsoQuant|Bambu	20	NIC	3	9
IsoTools|TALON|Iso-Seq|IsoQuant|Bambu	20	NNC	4	360
