intersection	intersection_order	method	method_order	present
IsoTools|TALON|Iso-Seq	1	IsoTools	1	True
IsoTools|TALON|Iso-Seq	1	TALON	2	True
IsoTools|TALON|Iso-Seq	1	Iso-Seq	3	True
IsoTools|TALON|Iso-Seq	1	FLAMES	4	False
IsoTools|TALON|Iso-Seq	1	IsoQuant	5	False
IsoTools|TALON|Iso-Seq	1	FLAIR	6	False
IsoTools|TALON|Iso-Seq	1	Bambu	7	False
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant	2	IsoTools	1	True
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant	2	TALON	2	True
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant	2	Iso-Seq	3	True
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant	2	FLAMES	4	True
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant	2	IsoQuant	5	True
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant	2	FLAIR	6	False
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant	2	Bambu	7	False
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR	3	IsoTools	1	True
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR	3	TALON	2	True
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR	3	Iso-Seq	3	True
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR	3	FLAMES	4	True
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR	3	IsoQuant	5	True
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR	3	FLAIR	6	True
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR	3	Bambu	7	False
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR|Bambu	4	IsoTools	1	True
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR|Bambu	4	TALON	2	True
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR|Bambu	4	Iso-Seq	3	True
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR|Bambu	4	FLAMES	4	True
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR|Bambu	4	IsoQuant	5	True
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR|Bambu	4	FLAIR	6	True
IsoTools|TALON|Iso-Seq|FLAMES|IsoQuant|FLAIR|Bambu	4	Bambu	7	True
IsoTools|TALON|Iso-Seq|FLAMES	5	IsoTools	1	True
IsoTools|TALON|Iso-Seq|FLAMES	5	TALON	2	True
IsoTools|TALON|Iso-Seq|FLAMES	5	Iso-Seq	3	True
IsoTools|TALON|Iso-Seq|FLAMES	5	FLAMES	4	True
IsoTools|TALON|Iso-Seq|FLAMES	5	IsoQuant	5	False
IsoTools|TALON|Iso-Seq|FLAMES	5	FLAIR	6	False
IsoTools|TALON|Iso-Seq|FLAMES	5	Bambu	7	False
IsoTools|TALON|IsoQuant	6	IsoTools	1	True
IsoTools|TALON|IsoQuant	6	TALON	2	True
IsoTools|TALON|IsoQuant	6	Iso-Seq	3	False
IsoTools|TALON|IsoQuant	6	FLAMES	4	False
IsoTools|TALON|IsoQuant	6	IsoQuant	5	True
IsoTools|TALON|IsoQuant	6	FLAIR	6	False
IsoTools|TALON|IsoQuant	6	Bambu	7	False
IsoTools|TALON|Iso-Seq|IsoQuant	7	IsoTools	1	True
IsoTools|TALON|Iso-Seq|IsoQuant	7	TALON	2	True
IsoTools|TALON|Iso-Seq|IsoQuant	7	Iso-Seq	3	True
IsoTools|TALON|Iso-Seq|IsoQuant	7	FLAMES	4	False
IsoTools|TALON|Iso-Seq|IsoQuant	7	IsoQuant	5	True
IsoTools|TALON|Iso-Seq|IsoQuant	7	FLAIR	6	False
IsoTools|TALON|Iso-Seq|IsoQuant	7	Bambu	7	False
IsoTools|TALON|Iso-Seq|FLAIR	8	IsoTools	1	True
IsoTools|TALON|Iso-Seq|FLAIR	8	TALON	2	True
IsoTools|TALON|Iso-Seq|FLAIR	8	Iso-Seq	3	True
IsoTools|TALON|Iso-Seq|FLAIR	8	FLAMES	4	False
IsoTools|TALON|Iso-Seq|FLAIR	8	IsoQuant	5	False
IsoTools|TALON|Iso-Seq|FLAIR	8	FLAIR	6	True
IsoTools|TALON|Iso-Seq|FLAIR	8	Bambu	7	False
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR	9	IsoTools	1	True
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR	9	TALON	2	True
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR	9	Iso-Seq	3	True
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR	9	FLAMES	4	True
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR	9	IsoQuant	5	False
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR	9	FLAIR	6	True
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR	9	Bambu	7	False
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR|Bambu	10	IsoTools	1	True
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR|Bambu	10	TALON	2	True
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR|Bambu	10	Iso-Seq	3	True
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR|Bambu	10	FLAMES	4	True
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR|Bambu	10	IsoQuant	5	False
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR|Bambu	10	FLAIR	6	True
IsoTools|TALON|Iso-Seq|FLAMES|FLAIR|Bambu	10	Bambu	7	True
IsoTools|TALON|FLAMES|IsoQuant	11	IsoTools	1	True
IsoTools|TALON|FLAMES|IsoQuant	11	TALON	2	True
IsoTools|TALON|FLAMES|IsoQuant	11	Iso-Seq	3	False
IsoTools|TALON|FLAMES|IsoQuant	11	FLAMES	4	True
IsoTools|TALON|FLAMES|IsoQuant	11	IsoQuant	5	True
IsoTools|TALON|FLAMES|IsoQuant	11	FLAIR	6	False
IsoTools|TALON|FLAMES|IsoQuant	11	Bambu	7	False
IsoTools|TALON|FLAMES	12	IsoTools	1	True
IsoTools|TALON|FLAMES	12	TALON	2	True
