method	method_order	category	category_order	count
IsoTools	1	FSM	1	52588
IsoTools	1	ISM	2	43332
IsoTools	1	NIC	3	92559
IsoTools	1	NNC	4	123245
IsoTools	1	Fusion	5	8182
IsoTools	1	Genic	6	4886
IsoTools	1	Antisense	7	4095
IsoTools	1	Intergenic	8	1864
TALON	2	FSM	1	49959
TALON	2	ISM	2	39629
TALON	2	NIC	3	89260
TALON	2	NNC	4	118775
TALON	2	Fusion	5	7871
TALON	2	Genic	6	4799
TALON	2	Antisense	7	3999
TALON	2	Intergenic	8	1828
Iso-Seq	3	FSM	1	48573
Iso-Seq	3	ISM	2	36202
Iso-Seq	3	NIC	3	81594
Iso-Seq	3	NNC	4	102958
Iso-Seq	3	Fusion	5	6916
Iso-Seq	3	Genic	6	2492
Iso-Seq	3	Antisense	7	2618
Iso-Seq	3	Intergenic	8	1278
FLAMES	4	FSM	1	51932
FLAMES	4	ISM	2	26848
FLAMES	4	NIC	3	59054
FLAMES	4	NNC	4	66799
FLAMES	4	Fusion	5	4822
FLAMES	4	Genic	6	245
FLAMES	4	Antisense	7	0
FLAMES	4	Intergenic	8	0
IsoQuant	5	FSM	1	48348
IsoQuant	5	ISM	2	23213
IsoQuant	5	NIC	3	51007
IsoQuant	5	NNC	4	67639
IsoQuant	5	Fusion	5	5221
IsoQuant	5	Genic	6	4542
IsoQuant	5	Antisense	7	3940
IsoQuant	5	Intergenic	8	1437
FLAIR	6	FSM	1	51967
FLAIR	6	ISM	2	13304
FLAIR	6	NIC	3	65954
FLAIR	6	NNC	4	116
FLAIR	6	Fusion	5	2415
FLAIR	6	Genic	6	0
FLAIR	6	Antisense	7	0
FLAIR	6	Intergenic	8	0
Bambu	7	FSM	1	55819
Bambu	7	ISM	2	0
Bambu	7	NIC	3	1723
Bambu	7	NNC	4	2189
Bambu	7	Fusion	5	456
Bambu	7	Genic	6	383
Bambu	7	Antisense	7	1143
Bambu	7	Intergenic	8	346
