tissue	validate_status	count	ratio	tissue_label	tissue_color
Abdominal_Aorta	No peptide	4017	0.4654153632255822	Abdominal aorta	#cbc5d3
Abdominal_Aorta	Shared peptide	2238	0.25929787973583596	Abdominal aorta	#cbc5d3
Abdominal_Aorta	Unique peptide	2376	0.27528675703858185	Abdominal aorta	#cbc5d3
Adipose	No peptide	5085	0.37187362878455466	Adipose	#E59525
Adipose	Shared peptide	5137	0.3756764662863829	Adipose	#E59525
Adipose	Unique peptide	3452	0.25244990492906244	Adipose	#E59525
Adrenal_Gland	No peptide	3938	0.2914230740768149	Adrenal gland	#A8D650
Adrenal_Gland	Shared peptide	5474	0.405091393472952	Adrenal gland	#A8D650
Adrenal_Gland	Unique peptide	4101	0.30348553245023313	Adrenal gland	#A8D650
Aortic_Arch	No peptide	3633	0.3673407482305359	Aortic arch	#758E90
Aortic_Arch	Shared peptide	3128	0.31627906976744186	Aortic arch	#758E90
Aortic_Arch	Unique peptide	3129	0.3163801820020222	Aortic arch	#758E90
Colon	No peptide	3910	0.3721328638050823	Colon	#E7C08D
Colon	Shared peptide	3344	0.3182640144665461	Colon	#E7C08D
Colon	Unique peptide	3253	0.30960312172837157	Colon	#E7C08D
Common_Iliac_Artery	No peptide	3464	0.456931803192191	Common iliac artery	#d0d1e6
Common_Iliac_Artery	Shared peptide	1752	0.23110407597942223	Common iliac artery	#d0d1e6
Common_Iliac_Artery	Unique peptide	2365	0.31196412082838676	Common iliac artery	#d0d1e6
Esophagus	No peptide	4719	0.35098549646708815	Esophagus	#AF8C5C
Esophagus	Shared peptide	4948	0.3680178505020454	Esophagus	#AF8C5C
Esophagus	Unique peptide	3778	0.2809966530308665	Esophagus	#AF8C5C
Gallbladder	No peptide	4963	0.35699899295065457	Gallbladder	#8F8495
Gallbladder	Shared peptide	5114	0.3678607394619479	Gallbladder	#8F8495
Gallbladder	Unique peptide	3825	0.2751402675873975	Gallbladder	#8F8495
Heart_Left_Atrium	No peptide	4490	0.44023923914109225	Heart left atrium	#6F1F71
Heart_Left_Atrium	Shared peptide	3090	0.30297087949799	Heart left atrium	#6F1F71
Heart_Left_Atrium	Unique peptide	2619	0.25678988136091774	Heart left atrium	#6F1F71
Heart_Left_Ventricle	No peptide	4377	0.43140153755174454	Heart left ventricle	#9C5CA1
Heart_Left_Ventricle	Shared peptide	3178	0.31322688744332744	Heart left ventricle	#9C5CA1
Heart_Left_Ventricle	Unique peptide	2591	0.2553715750049281	Heart left ventricle	#9C5CA1
Heart_Mitral_Valve	No peptide	6385	0.5007450396047369	Heart mitral valve	#BA91BC
Heart_Mitral_Valve	Shared peptide	3918	0.30727001803780096	Heart mitral valve	#BA91BC
Heart_Mitral_Valve	Unique peptide	2448	0.19198494235746216	Heart mitral valve	#BA91BC
Heart_Right_Atrium	No peptide	4324	0.4254649217750664	Heart right atrium	#8466A6
Heart_Right_Atrium	Shared peptide	3108	0.3058152120436879	Heart right atrium	#8466A6
Heart_Right_Atrium	Unique peptide	2731	0.2687198661812457	Heart right atrium	#8466A6
Heart_Right_Ventricle	No peptide	4838	0.4564581564298519	Heart right ventricle	#A780A0
Heart_Right_Ventricle	Shared peptide	3249	0.30653835267478063	Heart right ventricle	#A780A0
Heart_Right_Ventricle	Unique peptide	2512	0.23700349089536749	Heart right ventricle	#A780A0
Heart_Tricuspid_Valve	No peptide	7449	0.5687127805771873	Heart tricuspid valve	#9F98BF
Heart_Tricuspid_Valve	Shared peptide	3630	0.277141548327989	Heart tricuspid valve	#9F98BF
Heart_Tricuspid_Valve	Unique peptide	2019	0.15414567109482363	Heart tricuspid valve	#9F98BF
Liver	No peptide	2801	0.3022879343837686	Liver	#69AE6A
Liver	Shared peptide	3271	0.35301100798618607	Liver	#69AE6A
Liver	Unique peptide	3194	0.3447010576300453	Liver	#69AE6A
Lung_Apex	No peptide	2440	0.30944831959416613	Lung apex	#76ADB8
Lung_Apex	Shared peptide	2250	0.2853519340519975	Lung apex	#76ADB8
