sample_id	level	correlation
AK091-4002	gene	0.7861145413644852
AK231-4019	gene	0.8142426321246615
CC201-5032	gene	0.7893672451467691
CC311-4019	gene	0.7750450053414156
CI301-4003	gene	0.8064905761106527
CI231-0160	gene	0.7960076099875484
AK112-1710	gene	0.7466087430622355
CG071-4022	gene	0.767996853762791
BC181-1236	gene	0.7940804456682339
CG261-3082	gene	0.8005549991905004
CI301-4002	gene	0.8239745484372396
BL261-3170	gene	0.7586272168982767
CA081-1856	gene	0.7453054137956627
BF251-5032	gene	0.7969339266803792
CK031-5032	gene	0.781874377682206
BK071-1856	gene	0.757230221133159
AJ211-1856	gene	0.8130659685630739
CG091-0262	gene	0.7586284141461279
CE141-1601	gene	0.7787113205679247
CG041-5032	gene	0.7395327487884144
CE141-1053	gene	0.8141843067444114
CG041-4003	gene	0.7990976736498774
CI251-1856	gene	0.7454867824203815
BD201-0087	gene	0.8317401526957954
AK091-4022	gene	0.7729589244961279
CK031-1710	gene	0.6965252980919763
BB202-5032	gene	0.7084453722780353
CC311-1392	gene	0.7772068383596579
CL171-4022	gene	0.7786537330099474
CH101-1236	gene	0.7925792198398921
BC181-1053	gene	0.7765680560429394
BH131-4022	gene	0.7841592978144288
AK231-5032	gene	0.7113140131665731
CC241-1470	gene	0.7674395121258115
CB271-1601	gene	0.7712587585852453
BC041-3082	gene	0.8148391515681151
BK021-1053	gene	0.7954550435716989
BA131-1053	gene	0.7584420709715727
CB281-3082	gene	0.7760489822225494
BA041-1108	gene	0.773308091836319
CG071-4003	gene	0.7851625637340521
BA041-1236	gene	0.8036523770695381
BE141-1856	gene	0.7407524673541077
CC311-1470	gene	0.7897324826243339
CK031-4003	gene	0.7861417261494096
CI301-4019	gene	0.7199806615456023
CL141-0160	gene	0.7866180001407347
AK231-4149	gene	0.817994297988366
CG041-6145	gene	0.7722256489311494
CE141-0087	gene	0.8233943677990586
AK091-0087	gene	0.8321019620973201
CD121-0262	gene	0.7531219481532849
CG171-0087	gene	0.82468621364326
CF301-4151	gene	0.7644287330527346
CC311-1584	gene	0.7837766972068279
AK091-4019	gene	0.8058673343971573
AK221-2099	gene	0.8386001295330305
CB051-1108	gene	0.7424644445587634
CC291-1856	gene	0.8212969145550875
CC241-1601	gene	0.7441080244390353
CC241-6235	gene	0.7780234604679173
CC241-3082	gene	0.7992904097902082
CL171-4019	gene	0.7785981481951291
CF201-2099	gene	0.7967584615237117
BB201-4018	gene	0.8003585171219593
CL171-5032	gene	0.7793001229917562
CG071-4018	gene	0.7947764969674036
CC311-3082	gene	0.7864585657172185
CJ092-4018	gene	0.7826185015983078
BB201-4155	gene	0.7979166013243244
CJ092-4022	gene	0.8074138151336642
CI221-2099	gene	0.792295320882149
BH131-4019	gene	0.789818700965636
BG091-0160	gene	0.8181152250563937
CA081-3170	gene	0.7952472525732721
CG171-1108	gene	0.7612788150807829
BK021-0087	gene	0.7918525538882545
BH131-4002	gene	0.8091109326805221
BB201-1584	gene	0.8132948409062744
CJ092-0160	gene	0.753740604809958
BA251-0160	gene	0.7656446154294881
CG041-1392	gene	0.7717014035531656
AJ221-1601	gene	0.8108160185632456
BA231-3082	gene	0.7991681543364295
AJ211-0160	gene	0.8336456930578886
AK091-4018	gene	0.8081255239558274
AK091-3082	gene	0.814761591340195
CF301-0262	gene	0.6804659333909556
AK231-4018	gene	0.7980436981977618
CH082-1108	gene	0.770255345706917
CJ111-5415	gene	0.8337341410884919
CI222-2099	gene	0.8198999321199939
AK231-4022	gene	0.7509008716873624
CC201-5156	gene	0.7591207217414431
AJ142-1053	gene	0.7767192164894365
CJ092-6235	gene	0.77537329381056
CK031-4018	gene	0.8125130722855415
AK231-4003	gene	0.8150908394129914
CB271-4155	gene	0.7582167728402353
BC181-2099	gene	0.7770818561650242
CC241-6246	gene	0.7623858736670899
AL121-0378	gene	0.8434293615298825
AK112-4022	gene	0.7980962524128055
CJ231-2099	gene	0.7941887657009439
CC311-1601	gene	0.7665891639737379
AK221-0160	gene	0.8112900886215305
CF301-1236	gene	0.7958011890378346
CA121-0160	gene	0.8126427027014241
CE161-1601	gene	0.7940589240596934
AK091-1601	gene	0.6581203935960224
BB201-4003	gene	0.803414074706473
BC161-0160	gene	0.77412516407584
CC311-5156	gene	0.7493106814285085
CJ151-0160	gene	0.8310088935568822
BA231-4155	gene	0.7879458115510928
AJ141-1053	gene	0.8132213517720671
CI211-2099	gene	0.7992828032813114
BJ191-0378	gene	0.8260916685071724
CC241-1710	gene	0.703325241509241
CL111-1470	gene	0.7648596367259353
CG071-1601	gene	0.7626372713364717
BA132-1392	gene	0.7848298671821244
AK112-4003	gene	0.823496687017051
AK112-0262	gene	0.7995085709632824
BC181-0262	gene	0.8132132247575556
BE161-1710	gene	0.7478922420617485
CH091-3082	gene	0.7998584563085241
BI071-1856	gene	0.7871968896889179
CB271-0087	gene	0.7972975273905573
CA081-4003	gene	0.7651382030413679
AJ221-4002	gene	0.808386223418231
CG071-4019	gene	0.7675766098465873
AJ141-2099	gene	0.8159721718518174
AJ221-4018	gene	0.8117830723499153
CG041-4019	gene	0.7825515933643096
CG171-1601	gene	0.6809035158728445
AK091-1470	gene	0.7854249594284219
BB201-4002	gene	0.8070188819292656
CC241-4023	gene	0.7390427085083942
CB151-1236	gene	0.765696032345731
CI221-1856	gene	0.7650843329096092
CJ091-0378	gene	0.8289599107097091
BI071-1236	gene	0.7897996459419034
CJ092-1470	gene	0.742281557609123
CJ092-5415	gene	0.8052915110421035
AK112-4018	gene	0.8169136139531313
CL171-4002	gene	0.8131392091290025
CK031-1601	gene	0.777073525961773
CI251-5415	gene	0.7993045088954108
CJ092-1584	gene	0.7764029017293466
CK031-5415	gene	0.8039319172729411
BL021-2099	gene	0.7343905497155598
CG041-4002	gene	0.7894746380526966
BB201-1710	gene	0.7211259384831739
CG041-4022	gene	0.8034107543204956
CJ231-5415	gene	0.8028008145373
BK071-1392	gene	0.7495808195047974
CB271-1710	gene	0.6669240662705785
CL141-2099	gene	0.6959620866427064
CC311-4018	gene	0.7727458579925928
CI161-0160	gene	0.7945376792373792
BH131-1236	gene	0.7706010570665686
CJ092-4019	gene	0.7672428390062812
CJ091-0160	gene	0.8121896745321541
AJ221-1470	gene	0.757154941794133
AJ231-1053	gene	0.83369804534357
BH101-3082	gene	0.8064542692847999
CB271-1470	gene	0.7538143991823059
CG172-3082	gene	0.8221052885128496
CI301-5415	gene	0.7949152584481102
AK112-4023	gene	0.8032769037889356
BL021-3082	gene	0.7832452772236829
CB271-4019	gene	0.7923197714362474
CI211-1236	gene	0.7749608967653349
CF241-1856	gene	0.781890061354678
BH131-4023	gene	0.8162311864124492
CG071-4023	gene	0.7798333201749686
BH131-0378	gene	0.8275665455267008
CC241-4019	gene	0.8051280137545853
BB201-4023	gene	0.7726623032693395
BH131-5032	gene	0.7539487098412042
AK112-5032	gene	0.8161326406213275
CJ092-1392	gene	0.7647147389560572
AJ221-4155	gene	0.8025713859529474
AK091-1710	gene	0.8044149723344898
BJ191-1108	gene	0.7360403376146131
CL171-1601	gene	0.7804869399592994
CC241-5156	gene	0.7318817337760355
BC181-0087	gene	0.8331359335083227
AJ221-1710	gene	0.7788453999341991
BB202-4002	gene	0.7532769903418856
BK161-1236	gene	0.7725704643786678
BK191-0262	gene	0.7781254478726238
CB271-4003	gene	0.7921392280428726
CI221-5415	gene	0.7923781085293481
CK031-4022	gene	0.7994319222664088
AK111-1856	gene	0.7875823306854022
BA082-0160	gene	0.8244931206431234
BA251-2099	gene	0.8267382523280942
CH041-3170	gene	0.798298781398636
BL161-1108	gene	0.7571593225610567
CI201-1053	gene	0.8020810316330027
CC241-1584	gene	0.6953274484683637
AK112-1584	gene	0.8244503882118738
BK281-1108	gene	0.7436031771256453
BH131-1710	gene	0.6920164930847241
CD021-4002	gene	0.800838839224368
CI221-6145	gene	0.7637773480056673
CD021-4003	gene	0.7780864326289959
CC311-5032	gene	0.7629150630325446
BF251-4155	gene	0.7616342636677672
CC241-4018	gene	0.7778422960484835
AK111-1236	gene	0.8329433980871316
CE141-0262	gene	0.6841765478974148
AK231-4023	gene	0.7732631791463788
CA171-4149	gene	0.7953687413292603
AK112-1856	gene	0.7527324429591421
CG111-1053	gene	0.8056000205156253
CJ092-6246	gene	0.7729106135446022
BE161-5302	gene	0.6532750578580563
BA232-1856	gene	0.7993558973970328
CE161-0262	gene	0.6770295397755414
BK281-4149	gene	0.815002882182824
CB271-4022	gene	0.7294448165906717
AK091-4023	gene	0.8003441604056369
BJ141-0087	gene	0.7707765829072599
BH101-0087	gene	0.821235025204899
CI291-5415	gene	0.8195598490508067
CF011-1108	gene	0.7953872074659815
BK281-4018	gene	0.774712613078453
AL121-1053	gene	0.8500454092031753
CJ151-5415	gene	0.8035260816890426
CB151-4149	gene	0.7896279972156843
BC041-0262	gene	0.7532217998863386
CC311-4003	gene	0.7825793706602909
AK281-1108	gene	0.7669480177085514
CI221-3082	gene	0.7833290710447226
CG172-1601	gene	0.786848877131211
CC041-0262	gene	0.7536890853144074
CC201-3170	gene	0.7630922067666137
CI301-4022	gene	0.8062018076888651
