group	group_label	group_color	transcript_type	transcript_label	sample_size	mean_detection_ratio	incremental_detection_ratio
Adipose	Adipose	#E59525	known	Annotated	1	0.4777800503602724	0.4777800503602724
Adipose	Adipose	#E59525	known	Annotated	2	0.6209565008462348	0.1431764504859624
Adipose	Adipose	#E59525	known	Annotated	3	0.7114838228794291	0.09052732203319436
Adipose	Adipose	#E59525	known	Annotated	4	0.7802217421083886	0.06873791922895944
Adipose	Adipose	#E59525	known	Annotated	5	0.8337621089738736	0.05354036686548502
Adipose	Adipose	#E59525	known	Annotated	6	0.8783174338496592	0.04455532487578562
Adipose	Adipose	#E59525	known	Annotated	7	0.9161678649019352	0.037850431052276035
Adipose	Adipose	#E59525	known	Annotated	8	0.9476380920618956	0.031470227159960396
Adipose	Adipose	#E59525	known	Annotated	9	0.9750736314326875	0.027435539370791906
Adipose	Adipose	#E59525	known	Annotated	10	1.0	0.02492636856731245
Adipose	Adipose	#E59525	novel	Novel	1	0.320816460721321	0.320816460721321
Adipose	Adipose	#E59525	novel	Novel	2	0.4790392367479483	0.15822277602662732
Adipose	Adipose	#E59525	novel	Novel	3	0.5907750962265557	0.11173585947860737
Adipose	Adipose	#E59525	novel	Novel	4	0.6803535937811682	0.08957849755461256
Adipose	Adipose	#E59525	novel	Novel	5	0.7535483695063542	0.07319477572518596
Adipose	Adipose	#E59525	novel	Novel	6	0.8164010859285732	0.06285271642221901
Adipose	Adipose	#E59525	novel	Novel	7	0.871580307672099	0.05517922174352585
Adipose	Adipose	#E59525	novel	Novel	8	0.9188203207227076	0.04724001305060854
Adipose	Adipose	#E59525	novel	Novel	9	0.9610963448495404	0.042276024126832845
Adipose	Adipose	#E59525	novel	Novel	10	1.0	0.03890365515045957
Adrenal_Gland	Adrenal gland	#A8D650	known	Annotated	1	0.455935730888909	0.455935730888909
Adrenal_Gland	Adrenal gland	#A8D650	known	Annotated	2	0.6142631718213714	0.15832744093246237
Adrenal_Gland	Adrenal gland	#A8D650	known	Annotated	3	0.7095975075184769	0.09533433569710559
Adrenal_Gland	Adrenal gland	#A8D650	known	Annotated	4	0.7776896577182043	0.06809215019972736
Adrenal_Gland	Adrenal gland	#A8D650	known	Annotated	5	0.830858861136561	0.053169203418356736
Adrenal_Gland	Adrenal gland	#A8D650	known	Annotated	6	0.8754259944085887	0.04456713327202766
Adrenal_Gland	Adrenal gland	#A8D650	known	Annotated	7	0.9122690274841866	0.036843033075597886
Adrenal_Gland	Adrenal gland	#A8D650	known	Annotated	8	0.945531665291328	0.03326263780714145
Adrenal_Gland	Adrenal gland	#A8D650	known	Annotated	9	0.9744784539267688	0.028946788635440757
Adrenal_Gland	Adrenal gland	#A8D650	known	Annotated	10	1.0	0.025521546073231205
Adrenal_Gland	Adrenal gland	#A8D650	novel	Novel	1	0.3075296598327655	0.3075296598327655
Adrenal_Gland	Adrenal gland	#A8D650	novel	Novel	2	0.4735680347073008	0.16603837487453532
Adrenal_Gland	Adrenal gland	#A8D650	novel	Novel	3	0.588348120700757	0.11478008599345624
