sample_size	transcript_type	transcript_label	mean_specificity_ratio	sd_specificity_ratio	se_specificity_ratio
1	known	Annotated	0.4338829629629634	0.0254783700247646	0.0008056968034681
2	known	Annotated	0.3398696296296294	0.015973302484647	0.0005051201760631
3	known	Annotated	0.3065191769547325	0.0117838445054608	0.0003726378823051
4	known	Annotated	0.2887585185185186	0.0096579951220407	0.0003054126221644
1	novel	Novel	0.5726624573884698	0.0403468805137111	0.0012758803890599
5	known	Annotated	0.2788987654320988	0.0081102454808775	0.0002564684810266
6	known	Annotated	0.2721343209876541	0.0069502498151878	0.0002197861972315
2	novel	Novel	0.4896082703423744	0.0272607687168955	0.0008620611991245
7	known	Annotated	0.2672582716049378	0.0064116913533669	0.0002027554833064
3	novel	Novel	0.4563579072180229	0.0184256432503503	0.0005826700002481
4	novel	Novel	0.4395405068919523	0.0130063782414801	0.0004112977935273
8	known	Annotated	0.2636465843621401	0.0055541277069389	0.0001756369396937
9	known	Annotated	0.2611376131687247	0.0047351348844771	0.0001497381126306
5	novel	Novel	0.4288861419890323	0.0097303581827661	0.0003077009430679
10	known	Annotated	0.2590342386831276	0.004029896104118	0.0001274365042285
6	novel	Novel	0.4226126871202009	0.0078713901764339	0.000248915213094
7	novel	Novel	0.4176228546020448	0.0065761345922104	0.000207955635112
8	novel	Novel	0.413982125389062	0.005331201627701	0.0001685873980913
9	novel	Novel	0.4115405068919519	0.0043778106869773	0.0001384385293587
10	novel	Novel	0.4097309619089965	0.0038437398971608	0.0001215497280828
