sample	tissue	tissue_label	tissue_color	total_reads_million	mapped_reads_million
GTOP-CJ092-4023-LN-M6LH	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	6.578301	6.565386
GTOP-CG041-4023-LN-WZQ2	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	6.734553	6.729198
GTOP-AJ221-4023-LN-864C	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	5.238245	5.23759
GTOP-AK091-4023-LN-CO13	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	7.02501	7.022491
GTOP-CB271-4023-LN-9FIX	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	12.865431	12.816288
GTOP-BB201-4023-LN-H45B	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	4.92437	4.923922
GTOP-CG071-4023-LN-1R7R	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	6.044448	6.042133
GTOP-BH131-4023-LN-D731	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	6.071073	6.070358
GTOP-AK231-4023-LN-Q8SK	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	5.405801	5.404737
GTOP-AK112-4023-LN-C6S4	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	5.310279	5.309763
GTOP-CC241-4023-LN-21WV	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	5.742312	5.741215
GTOP-CK031-4023-LN-IE44	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	6.512292	6.504999
GTOP-AL121-0378-LN-B7E5	Whole_Blood	Whole blood	#CC418D	5.038079	5.011374
GTOP-BB202-0378-LN-H8XA	Whole_Blood	Whole blood	#CC418D	8.200592	8.195849
GTOP-CF242-0378-LN-F6UE	Whole_Blood	Whole blood	#CC418D	9.423268	9.418057
GTOP-BA232-0378-LN-1KY8	Whole_Blood	Whole blood	#CC418D	6.660138	6.612198
GTOP-BG171-0378-LN-TDV5	Whole_Blood	Whole blood	#CC418D	8.311902	8.309652
GTOP-BJ191-0378-LN-Q4AK	Whole_Blood	Whole blood	#CC418D	6.539913	6.539156
GTOP-BF221-0378-LN-2ZKY	Whole_Blood	Whole blood	#CC418D	10.940731	10.938928
GTOP-CJ091-0378-LN-U4GW	Whole_Blood	Whole blood	#CC418D	5.619813	5.611464
GTOP-CJ111-0378-LN-UQY0	Whole_Blood	Whole blood	#CC418D	7.244646	7.22771
GTOP-CJ231-0378-LN-6SBH	Whole_Blood	Whole blood	#CC418D	11.029288	11.013107
GTOP-BH131-0378-LN-B2X4	Whole_Blood	Whole blood	#CC418D	5.852371	5.85168
GTOP-BL021-0378-LN-RZ42	Whole_Blood	Whole blood	#CC418D	8.748609	8.747743
GTOP-CC311-5032-LN-55K9	Lung_Base	Lung base	#AECBD1	6.582582	6.582008
GTOP-AJ221-5032-LN-DP3Q	Lung_Base	Lung base	#AECBD1	5.273659	5.272357
GTOP-CL171-5032-LN-BJ6H	Lung_Base	Lung base	#AECBD1	6.446136	6.434432
GTOP-CG041-5032-LN-IUD0	Lung_Base	Lung base	#AECBD1	5.245288	5.245171
GTOP-CC201-5032-LN-S72X	Lung_Base	Lung base	#AECBD1	6.989445	6.986412
GTOP-CC241-5032-LN-37GC	Lung_Base	Lung base	#AECBD1	6.937559	6.932096
GTOP-CK031-5032-LN-7DS6	Lung_Base	Lung base	#AECBD1	6.730828	6.723579
GTOP-BH131-5032-LN-0HML	Lung_Base	Lung base	#AECBD1	5.238368	5.238066
GTOP-CB271-5032-LN-0C1H	Lung_Base	Lung base	#AECBD1	6.425438	6.423427
GTOP-BB201-5032-LN-A7MO	Lung_Base	Lung base	#AECBD1	6.634705	6.633917
GTOP-BF251-5032-LN-0FEP	Lung_Base	Lung base	#AECBD1	6.114318	6.113806
GTOP-AK112-5032-LN-KN5U	Lung_Base	Lung base	#AECBD1	5.731842	5.724974
GTOP-BB202-5032-LN-T1QE	Lung_Base	Lung base	#AECBD1	8.751747	8.750521
GTOP-CA241-5032-LN-YGE8	5032	5032	#7f8080	7.899061	7.89786
GTOP-AK231-5032-LN-8VKH	Lung_Base	Lung base	#AECBD1	5.902314	5.901315
GTOP-BL021-5032-LN-AZE8	Lung_Base	Lung base	#AECBD1	6.846793	6.845391
GTOP-CI301-4018-LN-86MZ	Heart_Right_Atrium	Heart right atrium	#8466A6	5.060708	5.057882
GTOP-AK112-4018-LN-6IFJ	Heart_Right_Atrium	Heart right atrium	#8466A6	6.334159	6.33154
GTOP-CI222-4018-LN-4MLR	Heart_Right_Atrium	Heart right atrium	#8466A6	4.941562	4.941256
GTOP-AJ221-4018-LN-5R7I	Heart_Right_Atrium	Heart right atrium	#8466A6	6.060689	6.058826
GTOP-CB271-4018-LN-XHH2	Heart_Right_Atrium	Heart right atrium	#8466A6	7.715583	7.714113
GTOP-CJ092-4018-LN-F0J8	Heart_Right_Atrium	Heart right atrium	#8466A6	5.096599	5.095937
GTOP-AK231-4018-LN-6XOS	Heart_Right_Atrium	Heart right atrium	#8466A6	6.787203	6.78416
GTOP-AK091-4018-LN-8GP8	Heart_Right_Atrium	Heart right atrium	#8466A6	8.446336	8.440875
GTOP-BK281-4018-LN-RA61	Heart_Right_Atrium	Heart right atrium	#8466A6	6.146207	6.145766
GTOP-CK031-4018-LN-BX3W	Heart_Right_Atrium	Heart right atrium	#8466A6	6.340645	6.335235
GTOP-CG071-4018-LN-DVB9	Heart_Right_Atrium	Heart right atrium	#8466A6	5.401629	5.401362
GTOP-CG041-4018-LN-B5D0	Heart_Right_Atrium	Heart right atrium	#8466A6	10.333926	10.332708
GTOP-BB201-4018-LN-DD67	Heart_Right_Atrium	Heart right atrium	#8466A6	6.693324	6.692421
GTOP-CC241-4018-LN-UXC4	Heart_Right_Atrium	Heart right atrium	#8466A6	8.510496	8.51001
GTOP-CC311-4018-LN-L13W	Heart_Right_Atrium	Heart right atrium	#8466A6	6.571014	6.570488
GTOP-CF242-0087-LN-714V	Muscle	Muscle	#7080BD	7.897752	7.895922
GTOP-BI281-0087-LN-L7VG	0087	0087	#7f8080	4.768302	4.767906
GTOP-BK021-0087-LN-4OPT	Muscle	Muscle	#7080BD	7.465475	7.463361
GTOP-BH101-0087-LN-BT18	Muscle	Muscle	#7080BD	6.361693	6.36042
GTOP-BJ141-0087-LN-AN51	Muscle	Muscle	#7080BD	6.104028	6.101839
GTOP-CB261-0087-LN-SU2D	Muscle	Muscle	#7080BD	7.676285	7.674404
GTOP-CG171-0087-LN-SV22	Muscle	Muscle	#7080BD	5.395736	5.395485
GTOP-CE141-0087-LN-UG56	Muscle	Muscle	#7080BD	4.844238	4.844074
GTOP-AK091-0087-LN-S07X	Muscle	Muscle	#7080BD	7.20777	7.20544
GTOP-BD201-0087-LN-P2HK	Muscle	Muscle	#7080BD	6.32532	6.325162
GTOP-BC181-0087-LN-3WV6	Muscle	Muscle	#7080BD	8.032517	8.027663
GTOP-CA231-0087-LN-9Z9B	Muscle	Muscle	#7080BD	7.320155	7.31922
GTOP-BK281-0087-LN-IZ7C	Muscle	Muscle	#7080BD	7.81176	7.810619
GTOP-CB271-0087-LN-ZOE7	Muscle	Muscle	#7080BD	7.536203	7.533927
GTOP-AJ231-0087-LN-9SDI	Muscle	Muscle	#7080BD	7.176763	7.17353
GTOP-BC161-0160-LN-VX6S	Adipose	Adipose	#E59525	6.54241	6.541263
GTOP-CI231-0160-LN-C7K0	Adipose	Adipose	#E59525	7.589336	7.585001
GTOP-CA121-0160-LN-C66H	Adipose	Adipose	#E59525	8.204621	8.203177
GTOP-CJ151-0160-LN-2QGV	Adipose	Adipose	#E59525	4.786325	4.786121
GTOP-CJ091-0160-LN-6FIM	Adipose	Adipose	#E59525	6.819146	6.803142
GTOP-BG091-0160-LN-W0FO	Adipose	Adipose	#E59525	6.769378	6.767728
GTOP-CJ093-0160-LN-M5Z6	Adipose	Adipose	#E59525	5.240562	5.240418
GTOP-CJ092-0160-LN-B73I	Adipose	Adipose	#E59525	6.568879	6.562046
GTOP-CI161-0160-LN-8JN6	Adipose	Adipose	#E59525	6.978235	6.977128
GTOP-BA251-0160-LN-16UM	Adipose	Adipose	#E59525	7.371229	7.370715
GTOP-BA082-0160-LN-PS7K	Adipose	Adipose	#E59525	6.894353	6.889868
GTOP-AK221-0160-LN-5QNM	Adipose	Adipose	#E59525	6.7803	6.77869
GTOP-CJ231-0160-LN-7ES7	Adipose	Adipose	#E59525	7.826092	7.822935
GTOP-AJ211-0160-LN-9PB8	Adipose	Adipose	#E59525	6.950285	6.949839
GTOP-CL141-0160-LN-KU3O	Adipose	Adipose	#E59525	6.947336	6.943831
GTOP-CI251-5415-LN-0I5F	Diaphragm	Diaphragm	#00CED1	6.576469	6.575835
GTOP-CI291-5415-LN-WM97	Diaphragm	Diaphragm	#00CED1	6.706613	6.700597
GTOP-CL161-5415-LN-ZFY2	Diaphragm	Diaphragm	#00CED1	7.860891	7.85852
GTOP-CJ151-5415-LN-RGI4	Diaphragm	Diaphragm	#00CED1	4.424526	4.42293
GTOP-CJ092-5415-LN-5ZJR	Diaphragm	Diaphragm	#00CED1	5.8829	5.860051
GTOP-CL141-5415-LN-5RI6	Diaphragm	Diaphragm	#00CED1	6.951172	6.950715
GTOP-CJ111-5415-LN-V5BE	Diaphragm	Diaphragm	#00CED1	5.533739	5.531903
GTOP-CI221-5415-LN-VM09	Diaphragm	Diaphragm	#00CED1	5.867555	5.864954
GTOP-CI222-5415-LN-MH0Y	Diaphragm	Diaphragm	#00CED1	5.232549	5.229718
GTOP-CJ091-5415-LN-GKI2	Diaphragm	Diaphragm	#00CED1	6.84974	6.828411
GTOP-CJ231-5415-LN-F3RS	Diaphragm	Diaphragm	#00CED1	5.718709	5.71822
GTOP-CK031-5415-LN-DE6Y	Diaphragm	Diaphragm	#00CED1	5.680569	5.678884
GTOP-CI301-5415-LN-0UTY	Diaphragm	Diaphragm	#00CED1	6.708602	6.662672
GTOP-CI201-5415-LN-01IW	Diaphragm	Diaphragm	#00CED1	6.417759	6.412581
GTOP-CI161-5415-LN-1FEO	Diaphragm	Diaphragm	#00CED1	7.320564	7.314219
GTOP-BH131-1601-LN-4SUO	Stomach	Stomach	#F8D895	8.202297	8.197057
GTOP-CB271-1601-LN-GV66	Stomach	Stomach	#F8D895	7.114311	7.111534
GTOP-CC241-1601-LN-RF35	Stomach	Stomach	#F8D895	6.531091	6.52874
GTOP-CE161-1601-LN-WT0W	Stomach	Stomach	#F8D895	4.882616	4.881577
GTOP-CG172-1601-LN-MX6C	Stomach	Stomach	#F8D895	4.738244	4.737045
GTOP-CL171-1601-LN-Z7RP	Stomach	Stomach	#F8D895	5.630562	5.627421
GTOP-CG171-1601-LN-V2RK	Stomach	Stomach	#F8D895	4.900715	4.900348
GTOP-BB201-1601-LN-809E	Stomach	Stomach	#F8D895	11.819158	11.816205
GTOP-AK091-1601-LN-4Q3G	Stomach	Stomach	#F8D895	5.09592	5.095425
GTOP-CE141-1601-LN-SA99	Stomach	Stomach	#F8D895	6.120815	6.120172
GTOP-AK112-1601-LN-5NU8	Stomach	Stomach	#F8D895	6.769693	6.695527
GTOP-AJ221-1601-LN-B20O	Stomach	Stomach	#F8D895	5.712638	5.711089
GTOP-CK031-1601-LN-RA1E	Stomach	Stomach	#F8D895	7.336608	7.330181
GTOP-CC311-1601-LN-18HK	Stomach	Stomach	#F8D895	5.379191	5.378161
GTOP-CG071-1601-LN-LKL0	Stomach	Stomach	#F8D895	5.731472	5.729997
