sample	tissue	tissue_label	tissue_color	mapped_mean_length
GTOP-CJ092-4023-LN-M6LH	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	1553.421910303522
GTOP-CG041-4023-LN-WZQ2	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	1579.0522873602472
GTOP-AJ221-4023-LN-864C	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	1285.5322465103225
GTOP-AK091-4023-LN-CO13	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	1611.5777798789634
GTOP-CB271-4023-LN-9FIX	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	1427.2643838840077
GTOP-BB201-4023-LN-H45B	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	1531.4515983396975
GTOP-CG071-4023-LN-1R7R	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	1318.088092400482
GTOP-BH131-4023-LN-D731	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	1411.4215286808455
GTOP-AK231-4023-LN-Q8SK	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	1397.3156867762484
GTOP-AK112-4023-LN-C6S4	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	1297.469184971156
GTOP-CC241-4023-LN-21WV	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	1256.261055368942
GTOP-CK031-4023-LN-IE44	Heart_Tricuspid_Valve	Heart tricuspid valve	#9F98BF	1560.2521981940354
GTOP-AL121-0378-LN-B7E5	Whole_Blood	Whole blood	#CC418D	1671.438630603104
GTOP-BB202-0378-LN-H8XA	Whole_Blood	Whole blood	#CC418D	1982.546311675581
GTOP-CF242-0378-LN-F6UE	Whole_Blood	Whole blood	#CC418D	798.6930029198165
GTOP-BA232-0378-LN-1KY8	Whole_Blood	Whole blood	#CC418D	1568.0032297883397
GTOP-BG171-0378-LN-TDV5	Whole_Blood	Whole blood	#CC418D	771.5295693489933
GTOP-BJ191-0378-LN-Q4AK	Whole_Blood	Whole blood	#CC418D	1043.588559899779
GTOP-BF221-0378-LN-2ZKY	Whole_Blood	Whole blood	#CC418D	760.5571982921911
GTOP-CJ091-0378-LN-U4GW	Whole_Blood	Whole blood	#CC418D	1340.1061534031046
GTOP-CJ111-0378-LN-UQY0	Whole_Blood	Whole blood	#CC418D	1270.1638435963812
GTOP-CJ231-0378-LN-6SBH	Whole_Blood	Whole blood	#CC418D	1447.931799990684
GTOP-BH131-0378-LN-B2X4	Whole_Blood	Whole blood	#CC418D	1035.70230139037
GTOP-BL021-0378-LN-RZ42	Whole_Blood	Whole blood	#CC418D	924.6663401062424
GTOP-CC311-5032-LN-55K9	Lung_Base	Lung base	#AECBD1	1131.840785213266
GTOP-AJ221-5032-LN-DP3Q	Lung_Base	Lung base	#AECBD1	1449.7209631290143
GTOP-CL171-5032-LN-BJ6H	Lung_Base	Lung base	#AECBD1	1428.6962224482284
GTOP-CG041-5032-LN-IUD0	Lung_Base	Lung base	#AECBD1	1612.4838458078866
GTOP-CC201-5032-LN-S72X	Lung_Base	Lung base	#AECBD1	1498.9756016392969
GTOP-CC241-5032-LN-37GC	Lung_Base	Lung base	#AECBD1	1464.7717879267684
GTOP-CK031-5032-LN-7DS6	Lung_Base	Lung base	#AECBD1	1528.24125082787
GTOP-BH131-5032-LN-0HML	Lung_Base	Lung base	#AECBD1	1472.408443688949
GTOP-CB271-5032-LN-0C1H	Lung_Base	Lung base	#AECBD1	1434.3471866341752
GTOP-BB201-5032-LN-A7MO	Lung_Base	Lung base	#AECBD1	1547.0482343990734
GTOP-BF251-5032-LN-0FEP	Lung_Base	Lung base	#AECBD1	1595.292253957682
GTOP-AK112-5032-LN-KN5U	Lung_Base	Lung base	#AECBD1	1329.0713199745535
GTOP-BB202-5032-LN-T1QE	Lung_Base	Lung base	#AECBD1	1292.2692673956217
GTOP-CA241-5032-LN-YGE8	Lung_Base	Lung base	#AECBD1	1223.8250394410636
