dir	num	all	ratio	thresh
diff	1938	17728	0.10931859205776173	40
same	15790	17728	0.8906814079422383	40
diff	1962	18183	0.10790298630589011	35
same	16221	18183	0.8920970136941099	35
diff	1989	18658	0.10660306570907921	30
same	16669	18658	0.8933969342909208	30
diff	2002	19137	0.10461409834352302	25
same	17135	19137	0.895385901656477	25
diff	1997	19528	0.10226341663252765	20
same	17531	19528	0.8977365833674723	20
diff	2014	19860	0.1014098690835851	15
same	17846	19860	0.8985901309164149	15
diff	2023	20016	0.1010691446842526	10
same	17993	20016	0.8989308553157475	10
