group	count	Freq	all	ratio
ASE	1	59994	117690	0.5097629365281672
ASE	2	11683	117690	0.09926926671764806
ASE	3	4566	117690	0.0387968391537089
ASE	4	2146	117690	0.01823434446427054
ASE	5	1069	117690	0.009083184637607274
ASE	6	503	117690	0.0042739400118956584
ASE	7	290	117690	0.0024641006032798027
ASE	8	111	117690	9.431557481519245e-4
ASE	9	54	117690	4.588325261279633e-4
ASE	10	27	117690	2.2941626306398165e-4
ASE	11	1	117690	8.49689863199932e-6
ASTS	1	7325	14421	0.5079398099993065
ASTS	2	1462	14421	0.1013799320435476
ASTS	3	597	14421	0.04139796130642812
ASTS	4	244	14421	0.01691976978018168
ASTS	5	120	14421	0.008321198252548368
ASTS	6	75	14421	0.00520074890784273
ASTS	7	23	14421	0.001594896331738437
ASTS	8	11	14421	7.627765064836003e-4
ASTS	9	6	14421	4.1605991262741833e-4
ASTS	10	3	14421	2.0802995631370917e-4
ASTS	11	2	14421	1.386866375424728e-4
