gene_id	ase_tissues	tissue	asts_tissues
ENSG00000001036.14	17	Adrenal_Gland	10
ENSG00000001084.13	1	Gallbladder	NA
ENSG00000001460.18	1	Heart_Tricuspid_Valve	2
ENSG00000001461.18	1	Adrenal_Gland	NA
ENSG00000001561.7	5	Adrenal_Gland	NA
ENSG00000001630.18	5	Adrenal_Gland	1
ENSG00000002016.18	7	Skin	NA
ENSG00000002330.14	1	Diaphragm	NA
ENSG00000002587.10	2	Gallbladder	NA
ENSG00000002822.16	5	Liver	2
ENSG00000002933.9	13	Gallbladder	2
ENSG00000003056.8	11	Small_Intestine	21
ENSG00000003137.9	5	Esophagus	NA
ENSG00000003147.19	5	Liver	NA
ENSG00000003393.16	1	Whole_Blood	NA
ENSG00000003402.21	4	Colon	NA
ENSG00000003436.16	7	Heart_Tricuspid_Valve	1
ENSG00000003989.18	9	Skin	NA
ENSG00000004059.11	3	Aortic_Arch	NA
ENSG00000004142.12	1	Thoracic_Aorta	NA
ENSG00000004399.13	6	Adipose	NA
ENSG00000004455.18	8	Skin	NA
ENSG00000004468.13	2	Gallbladder	NA
ENSG00000004660.15	1	Whole_Blood	NA
ENSG00000004700.16	7	Liver	NA
ENSG00000004776.13	14	Liver	2
ENSG00000004799.8	24	Adrenal_Gland	2
ENSG00000004838.14	1	Lung_Base	NA
ENSG00000004897.12	2	Lung_Base	NA
ENSG00000004939.16	1	Whole_Blood	NA
ENSG00000004975.12	2	Lung_Base	NA
ENSG00000005001.10	2	Stomach	NA
ENSG00000005020.13	2	Whole_Blood	NA
ENSG00000005075.16	13	Liver	1
ENSG00000005100.13	2	Spleen	NA
ENSG00000005102.14	1	Lymph_node	NA
ENSG00000005187.12	1	Adipose	NA
ENSG00000005243.10	2	Heart_Right_Ventricle	NA
ENSG00000005249.14	3	Whole_Blood	NA
ENSG00000005339.15	1	Heart_Left_Atrium	NA
ENSG00000005421.9	3	Liver	NA
ENSG00000005436.14	2	Muscle	1
ENSG00000005469.12	1	Small_Intestine	NA
ENSG00000005471.19	2	Liver	NA
ENSG00000005483.23	6	Skin	2
ENSG00000005700.15	2	Liver	NA
ENSG00000005801.18	1	Adipose	NA
ENSG00000005812.11	3	Whole_Blood	1
ENSG00000005961.19	2	Spleen	NA
ENSG00000006007.12	6	Heart_Mitral_Valve	1
ENSG00000006015.18	3	Muscle	NA
ENSG00000006016.12	1	Heart_Mitral_Valve	NA
ENSG00000006025.13	1	Pancreas_Body	NA
ENSG00000006062.18	3	Esophagus	NA
ENSG00000006128.12	1	Spleen	NA
ENSG00000006327.14	2	Adrenal_Gland	NA
ENSG00000006459.11	2	Whole_Blood	NA
ENSG00000006468.15	5	Gallbladder	1
ENSG00000006534.17	2	Gallbladder	NA
ENSG00000006555.11	3	Small_Intestine	NA
ENSG00000006607.14	6	Thoracic_Aorta	NA
ENSG00000006611.17	2	Stomach	1
ENSG00000006625.18	9	Small_Intestine	8
ENSG00000006634.8	1	Heart_Tricuspid_Valve	1
ENSG00000006638.13	4	Adrenal_Gland	NA
ENSG00000006652.15	1	Whole_Blood	NA
ENSG00000006715.16	4	Gallbladder	NA
ENSG00000006744.19	20	Adipose	NA
ENSG00000006747.15	6	Small_Intestine	1
ENSG00000006831.10	2	Aortic_Arch	1
ENSG00000007001.14	1	Liver	NA
ENSG00000007038.11	1	Gallbladder	1
ENSG00000007062.12	7	Small_Intestine	NA
ENSG00000007168.15	1	Heart_Tricuspid_Valve	NA
ENSG00000007237.19	15	Heart_Right_Atrium	7
ENSG00000007306.15	2	Colon	NA
ENSG00000007312.14	3	Lung_Apex	NA
ENSG00000007341.19	18	Adrenal_Gland	5
ENSG00000007376.8	5	Muscle	5
ENSG00000007384.15	1	Colon	NA
ENSG00000007541.17	1	Pancreas_Body	3
ENSG00000007545.16	1	Skin	NA
ENSG00000007866.22	1	Heart_Mitral_Valve	NA
ENSG00000007923.17	5	Heart_Right_Ventricle	2
ENSG00000007944.16	3	Heart_Left_Atrium	NA
ENSG00000007968.7	1	Whole_Blood	NA
ENSG00000008128.23	3	Whole_Blood	NA
ENSG00000008130.15	11	Liver	1
ENSG00000008256.17	4	Spleen	NA
ENSG00000008282.10	13	Liver	4
ENSG00000008283.16	4	Skin	1
ENSG00000008294.22	1	Pancreas_Tail	NA
ENSG00000008311.16	1	Common_Iliac_Artery	NA
ENSG00000008394.13	5	Liver	3
ENSG00000008405.12	1	Colon	NA
ENSG00000008513.17	16	Liver	NA
ENSG00000008516.19	1	Whole_Blood	NA
ENSG00000008517.19	2	Diaphragm	NA
ENSG00000008838.21	9	Muscle	NA
ENSG00000008952.17	4	Colon	1
ENSG00000009307.17	7	Liver	1
ENSG00000009413.17	2	Skin	NA
ENSG00000009724.18	1	Liver	1
ENSG00000009790.15	4	Spleen	2
ENSG00000009844.16	1	Liver	NA
ENSG00000009950.16	3	Adipose	NA
ENSG00000009954.11	1	Esophagus	1
ENSG00000010030.14	3	Skin	NA
ENSG00000010165.20	8	Liver	NA
