sample	eventCount	geneCount	donorID	Tissue	Tissue_Color_Code
GTOP-CE161-0262	1606	551	GTOP-CE161	Skin	3A71A4
GTOP-CB271-4023	1123	417	GTOP-CB271	Heart_Tricuspid_Valve	9F98BF
GTOP-BC041-3082	957	305	GTOP-BC041	Spleen	768454
GTOP-CC241-5156	863	282	GTOP-CC241	Lung_Apex	76ADB8
GTOP-CK031-1470	862	253	GTOP-CK031	Small_Intestine	535426
GTOP-BA231-3082	855	302	GTOP-BA231	Spleen	768454
GTOP-BC181-0262	850	299	GTOP-BC181	Skin	3A71A4
GTOP-BC181-3082	848	297	GTOP-BC181	Spleen	768454
GTOP-AJ231-0262	834	344	GTOP-AJ231	Skin	3A71A4
GTOP-CB271-0262	832	324	GTOP-CB271	Skin	3A71A4
GTOP-BB201-1710	825	290	GTOP-BB201	Esophagus	AF8C5C
GTOP-CG041-4018	824	299	GTOP-CG041	Heart_Right_Atrium	8466A6
GTOP-CC241-4019	817	278	GTOP-CC241	Heart_Left_Atrium	6F1F71
GTOP-CK031-1584	800	265	GTOP-CK031	Colon	E7C08D
GTOP-AK231-4019	771	292	GTOP-AK231	Heart_Left_Atrium	6F1F71
GTOP-CI221-6145	765	290	GTOP-CI221	Prostate	0CE3C3
GTOP-AK112-1710	764	280	GTOP-AK112	Esophagus	AF8C5C
GTOP-AK221-0160	741	276	GTOP-AK221	Adipose	E59525
GTOP-AK231-1710	723	252	GTOP-AK231	Esophagus	AF8C5C
GTOP-CJ231-0378	720	244	GTOP-CJ231	Whole_Blood	CC418D
GTOP-AK091-1710	710	272	GTOP-AK091	Esophagus	AF8C5C
GTOP-CC241-1470	705	232	GTOP-CC241	Small_Intestine	535426
GTOP-CC311-4018	698	216	GTOP-CC311	Heart_Right_Atrium	8466A6
GTOP-CC311-4003	692	227	GTOP-CC311	Heart_Right_Ventricle	A780A0
GTOP-CK031-4023	685	234	GTOP-CK031	Heart_Tricuspid_Valve	9F98BF
GTOP-CK031-4022	682	236	GTOP-CK031	Heart_Mitral_Valve	BA91BC
GTOP-BC041-0262	676	259	GTOP-BC041	Skin	3A71A4
GTOP-AJ211-0160	674	256	GTOP-AJ211	Adipose	E59525
GTOP-CD021-4003	674	231	GTOP-CD021	Heart_Right_Ventricle	A780A0
GTOP-AJ231-1053	672	239	GTOP-AJ231	Liver	69AE6A
GTOP-AJ231-2099	669	251	GTOP-AJ231	Adrenal_Gland	A8D650
GTOP-BF221-3082	668	234	GTOP-BF221	Spleen	768454
