Tissue	variable	value	Tissue_Color_Code
Skin	Count_Variants	21245	3A71A4
Skin	Count_exon	10809	3A71A4
Skin	Count_gene	2973	3A71A4
Spleen	Count_Variants	18753	768454
Spleen	Count_exon	9960	768454
Spleen	Count_gene	2651	768454
Adipose	Count_Variants	18049	E59525
Adipose	Count_exon	9453	E59525
Adipose	Count_gene	2567	E59525
Esophagus	Count_Variants	18019	AF8C5C
Esophagus	Count_exon	9651	AF8C5C
Esophagus	Count_gene	2641	AF8C5C
Lung_Base	Count_Variants	17766	AECBD1
Lung_Base	Count_exon	8105	AECBD1
Lung_Base	Count_gene	2334	AECBD1
Gallbladder	Count_Variants	17760	8F8495
Gallbladder	Count_exon	8837	8F8495
Gallbladder	Count_gene	2474	8F8495
Stomach	Count_Variants	17661	F8D895
Stomach	Count_exon	9487	F8D895
Stomach	Count_gene	2559	F8D895
Adrenal_Gland	Count_Variants	17576	A8D650
Adrenal_Gland	Count_exon	9713	A8D650
Adrenal_Gland	Count_gene	2617	A8D650
Heart_Tricuspid_Valve	Count_Variants	16652	9F98BF
Heart_Tricuspid_Valve	Count_exon	8746	9F98BF
Heart_Tricuspid_Valve	Count_gene	2361	9F98BF
Whole_Blood	Count_Variants	16524	CC418D
Whole_Blood	Count_exon	9212	CC418D
Whole_Blood	Count_gene	2246	CC418D
Heart_Left_Atrium	Count_Variants	16234	6F1F71
Heart_Left_Atrium	Count_exon	9116	6F1F71
Heart_Left_Atrium	Count_gene	2386	6F1F71
Small_Intestine	Count_Variants	15918	535426
Small_Intestine	Count_exon	7641	535426
Small_Intestine	Count_gene	2118	535426
Colon	Count_Variants	15158	E7C08D
Colon	Count_exon	7042	E7C08D
Colon	Count_gene	2012	E7C08D
Heart_Mitral_Valve	Count_Variants	15143	BA91BC
Heart_Mitral_Valve	Count_exon	7943	BA91BC
Heart_Mitral_Valve	Count_gene	2120	BA91BC
Muscle	Count_Variants	14628	7080BD
Muscle	Count_exon	7860	7080BD
Muscle	Count_gene	2170	7080BD
Diaphragm	Count_Variants	14357	00CED1
Diaphragm	Count_exon	8001	00CED1
Diaphragm	Count_gene	2181	00CED1
Heart_Right_Ventricle	Count_Variants	13481	A780A0
Heart_Right_Ventricle	Count_exon	7222	A780A0
Heart_Right_Ventricle	Count_gene	1974	A780A0
Liver	Count_Variants	13004	69AE6A
Liver	Count_exon	7531	69AE6A
Liver	Count_gene	2179	69AE6A
Heart_Left_Ventricle	Count_Variants	12937	9C5CA1
Heart_Left_Ventricle	Count_exon	6727	9C5CA1
Heart_Left_Ventricle	Count_gene	1840	9C5CA1
Pancreas_Body	Count_Variants	12500	902222
Pancreas_Body	Count_exon	6343	902222
Pancreas_Body	Count_gene	1891	902222
Prostate	Count_Variants	11059	0CE3C3
Prostate	Count_exon	6329	0CE3C3
Prostate	Count_gene	1732	0CE3C3
Thoracic_Aorta	Count_Variants	10995	7e888e
Thoracic_Aorta	Count_exon	6187	7e888e
Thoracic_Aorta	Count_gene	1829	7e888e
Pancreas_Tail	Count_Variants	7874	E59276
Pancreas_Tail	Count_exon	4469	E59276
Pancreas_Tail	Count_gene	1316	E59276
Lung_Apex	Count_Variants	7687	76ADB8
Lung_Apex	Count_exon	4092	76ADB8
Lung_Apex	Count_gene	1202	76ADB8
Aortic_Arch	Count_Variants	7184	758E90
Aortic_Arch	Count_exon	4301	758E90
Aortic_Arch	Count_gene	1264	758E90
Pancreas_Head	Count_Variants	6462	AB5F2C
Pancreas_Head	Count_exon	3730	AB5F2C
Pancreas_Head	Count_gene	1151	AB5F2C
Lymph_node	Count_Variants	6235	ACAA95
Lymph_node	Count_exon	3446	ACAA95
Lymph_node	Count_gene	1045	ACAA95
Heart_Right_Atrium	Count_Variants	5347	8466A6
Heart_Right_Atrium	Count_exon	3107	8466A6
Heart_Right_Atrium	Count_gene	811	8466A6
Uterus	Count_Variants	3537	E35656
Uterus	Count_exon	2304	E35656
Uterus	Count_gene	701	E35656
Abdominal_Aorta	Count_Variants	3249	cbc5d3
Abdominal_Aorta	Count_exon	2104	cbc5d3
Abdominal_Aorta	Count_gene	628	cbc5d3
Ovary	Count_Variants	2946	DF898D
Ovary	Count_exon	1904	DF898D
Ovary	Count_gene	561	DF898D
