Var1	Var2	Freq	qtltype
Adipose	0	1877	juQTL
Adrenal_Gland	0	1865	juQTL
Gallbladder	0	1667	juQTL
Liver	0	1769	juQTL
Muscle	0	751	juQTL
Pancreas_Body	0	1757	juQTL
Pancreas_Head	0	1744	juQTL
Pancreas_Tail	0	1827	juQTL
Skin	0	306	juQTL
Spleen	0	900	juQTL
Whole_Blood	0	1473	juQTL
Adipose	1	1105	juQTL
Adrenal_Gland	1	1147	juQTL
Gallbladder	1	972	juQTL
Liver	1	925	juQTL
Muscle	1	474	juQTL
Pancreas_Body	1	980	juQTL
Pancreas_Head	1	1031	juQTL
Pancreas_Tail	1	1079	juQTL
Skin	1	162	juQTL
Spleen	1	504	juQTL
Whole_Blood	1	795	juQTL
Adipose	2	612	juQTL
Adrenal_Gland	2	592	juQTL
Gallbladder	2	549	juQTL
Liver	2	541	juQTL
Muscle	2	312	juQTL
Pancreas_Body	2	556	juQTL
Pancreas_Head	2	533	juQTL
Pancreas_Tail	2	562	juQTL
Skin	2	160	juQTL
Spleen	2	373	juQTL
Whole_Blood	2	469	juQTL
Adipose	0	850	tuQTL
Adrenal_Gland	0	960	tuQTL
Gallbladder	0	725	tuQTL
Liver	0	845	tuQTL
Muscle	0	281	tuQTL
Pancreas_Body	0	726	tuQTL
Pancreas_Head	0	759	tuQTL
Pancreas_Tail	0	771	tuQTL
Skin	0	78	tuQTL
Spleen	0	330	tuQTL
Whole_Blood	0	664	tuQTL
Adipose	1	558	tuQTL
Adrenal_Gland	1	641	tuQTL
Gallbladder	1	496	tuQTL
Liver	1	570	tuQTL
Muscle	1	199	tuQTL
Pancreas_Body	1	510	tuQTL
Pancreas_Head	1	550	tuQTL
Pancreas_Tail	1	502	tuQTL
Skin	1	46	tuQTL
Spleen	1	228	tuQTL
Whole_Blood	1	432	tuQTL
Adipose	2	289	tuQTL
Adrenal_Gland	2	281	tuQTL
Gallbladder	2	214	tuQTL
Liver	2	260	tuQTL
Muscle	2	120	tuQTL
Pancreas_Body	2	236	tuQTL
Pancreas_Head	2	232	tuQTL
Pancreas_Tail	2	242	tuQTL
Skin	2	33	tuQTL
Spleen	2	137	tuQTL
Whole_Blood	2	220	tuQTL
