QTL	Ann	logmFC	hFC	lFC
tuQTL known	3 prime UTR	2.961369277666781	3.089057895494812	2.821272203924106
tuQTL novel	3 prime UTR	2.8348161116020902	3.003268427017798	2.6440622808719465
tuQTL known	5 prime UTR	2.7980495860974233	2.9256917375105154	2.658008454005542
tuQTL novel	5 prime UTR	2.892586181219607	3.176967696456811	2.538033228068619
tuQTL known	CTCF binding site	1.5751601465377254	2.053317744651166	0.8550149896820904
tuQTL novel	CTCF binding site	2.285483442905162	2.9516115163697147	1.0103657595895263
tuQTL known	TF binding site	0.6890169830246833	0.9682157538377273	0.34249760116459343
tuQTL novel	TF binding site	0.905360131558339	1.3651703961119723	0.22645485545243527
tuQTL known	enhancer	-0.04411827787715931	0.1295438516106713	-0.24158250327635716
tuQTL novel	enhancer	-0.4197264529654708	-0.15889679003571056	-0.7383537381150774
tuQTL known	frameshift	4.01996963554347	4.7698326799210315	2.3687315057452643
tuQTL novel	frameshift	4.42445948622181	5.518124553519877	NA
tuQTL known	intron	1.5550972677490502	1.6952905547771702	1.3997998610189955
tuQTL novel	intron	1.1921043594202754	1.3799412096516572	0.9760980818216458
tuQTL known	missense	3.653656003199704	3.7497454360037437	3.5507070283995126
tuQTL novel	missense	3.81226183852468	3.9895318437573057	3.6101179017771896
tuQTL known	NC transcript	2.9206081018790635	2.9962317324425918	2.8408000578299797
tuQTL novel	NC transcript	2.404660510532087	2.5937747230715167	2.1869625075194588
tuQTL known	open chromatin region	-1.3713141226893149	-0.3672213854994329	NA
tuQTL novel	open chromatin region	-1.2358216458346853	-0.16694579138516974	NA
tuQTL known	promoter	0.832837921403674	1.1015058804864766	0.5024180337295632
tuQTL novel	promoter	1.2158882609218307	1.6160662984203042	0.6601932702625419
tuQTL known	splice acceptor	6.75521211910411	6.9699771151360315	6.502788811976878
tuQTL novel	splice acceptor	6.172169923820784	6.568212846631702	5.624462398317893
tuQTL known	splice donor	6.078121952333436	6.385561299363295	5.686913631525957
tuQTL novel	splice donor	5.36824148802288	6.002820820614816	4.208249421760575
tuQTL known	splice region	4.914494877264736	5.105342047380282	4.694496186318462
tuQTL novel	splice region	4.570602480672964	4.950859042334316	4.052783097988936
tuQTL known	stop gained	5.2850000568670445	5.961550626994377	3.9691413098777613
tuQTL novel	stop gained	4.673415604263679	5.764917195376936	NA
tuQTL known	synonymous	3.3494685615071833	3.511030042122719	3.1675058270887777
tuQTL novel	synonymous	3.9276088303464203	4.17519558153538	3.628546440891348
