feature	type	meanratio	sdratiio
synonymous	known	0.007677989499738845	2.2880435333242076e-4
synonymous	novel	0.007682168038201934	5.639010339778429e-4
stop gained	known	1.6012085959808334e-4	6.934927246748513e-5
stop gained	novel	1.2355415121149282e-4	2.2471262078237983e-5
splice region	known	0.004608766724617293	6.561062934412152e-4
splice region	novel	0.004185843250271724	4.241226830377215e-4
splice donor	known	6.006055937691227e-4	1.4599211575661388e-4
splice donor	novel	4.889020834442139e-4	8.427506211713509e-5
splice acceptor	known	4.013766673377603e-4	1.053014825594652e-4
splice acceptor	novel	3.6053390355544044e-4	7.810958898865618e-5
NC transcript	known	0.09751623043941687	0.0062436825608567885
NC transcript	novel	0.09067283722563096	0.00879506707576889
missense	known	0.008272352275874903	4.7424558402480756e-4
missense	novel	0.008484866677956534	0.0011203738063438275
intron	known	0.7777758876785038	0.004746695702442582
intron	novel	0.7671519873975532	0.012791378318302486
frameshift	known	3.0731527218393306e-4	5.450156197879298e-5
frameshift	novel	3.4894545277770896e-4	4.4047375152649573e-5
5 prime UTR	known	0.009108764368304599	2.7642893172258526e-4
5 prime UTR	novel	0.008180277369624516	4.0943019662602825e-4
3 prime UTR	known	0.040148746504076904	0.0023584953270223605
3 prime UTR	novel	0.03510262444183247	0.0023903974579584865
TF binding site	known	0.0059103349799833225	2.3227597575755773e-4
TF binding site	novel	0.005819917323052003	3.445391052706359e-4
CTCF binding site	known	0.0011608462173852297	9.184731807694822e-5
CTCF binding site	novel	0.0011019610558062186	1.885948340949753e-4
open chromatin region	known	0.001960011359626969	1.1672364501808946e-4
open chromatin region	novel	0.002001063660352186	1.15973714203529e-4
promoter	known	0.015054184489378198	8.658687762124501e-4
promoter	novel	0.01460503184142364	9.642189664027232e-4
enhancer	known	0.052181308828487795	0.002062431269307879
enhancer	novel	0.05175172529294552	0.0020257103481940513
