r_b	tis1	tis2	se_r_b	n_genes	label
0.916902146057129	Adipose	Adrenal_Gland	0.00358381748402931	3463	3,463\nRb=0.92\n(se=0.004)
0.922841994102459	Adipose	Gallbladder	0.00344603137321932	3576	3,576\nRb=0.92\n(se=0.003)
0.887282503198077	Adipose	Liver	0.0048198463725684804	3249	3,249\nRb=0.89\n(se=0.005)
0.913628284236083	Adipose	Muscle	0.00437904248267852	3348	3,348\nRb=0.91\n(se=0.004)
0.894021122884941	Adipose	Pancreas_Body	0.00524646102043741	3274	3,274\nRb=0.89\n(se=0.005)
0.893231016476128	Adipose	Pancreas_Head	0.00493815893801867	3289	3,289\nRb=0.89\n(se=0.005)
0.892764169301072	Adipose	Pancreas_Tail	0.00486182358326493	3277	3,277\nRb=0.89\n(se=0.005)
0.896848910892293	Adipose	Skin	0.00466805981547902	3513	3,513\nRb=0.90\n(se=0.005)
0.908207190789581	Adipose	Spleen	0.00476131781167378	3441	3,441\nRb=0.91\n(se=0.005)
0.864218427756143	Adipose	Whole_Blood	0.00549267615732176	2904	2,904\nRb=0.86\n(se=0.005)
0.882432135605564	Adrenal_Gland	Adipose	0.00413250422410168	4224	4,224\nRb=0.88\n(se=0.004)
0.875591439380439	Adrenal_Gland	Gallbladder	0.00438721703006089	4293	4,293\nRb=0.88\n(se=0.004)
0.857980315419961	Adrenal_Gland	Liver	0.00507211242348566	3937	3,937\nRb=0.86\n(se=0.005)
0.850092796007791	Adrenal_Gland	Muscle	0.00567930074735366	3974	3,974\nRb=0.85\n(se=0.006)
0.870342463353083	Adrenal_Gland	Pancreas_Body	0.0049631022075273	4001	4,001\nRb=0.87\n(se=0.005)
0.867614116858736	Adrenal_Gland	Pancreas_Head	0.00486988302651062	4015	4,015\nRb=0.87\n(se=0.005)
0.87243987047556	Adrenal_Gland	Pancreas_Tail	0.00486147424760517	3995	3,995\nRb=0.87\n(se=0.005)
0.840981030660733	Adrenal_Gland	Skin	0.00566599720038629	4211	4,211\nRb=0.84\n(se=0.006)
0.871413800367985	Adrenal_Gland	Spleen	0.00508458541793217	4144	4,144\nRb=0.87\n(se=0.005)
0.81464526927077	Adrenal_Gland	Whole_Blood	0.0064897034618045	3407	3,407\nRb=0.81\n(se=0.006)
0.935836125219145	Gallbladder	Adipose	0.00337736195755327	2632	2,632\nRb=0.94\n(se=0.003)
0.925435334434521	Gallbladder	Adrenal_Gland	0.00375194215445143	2593	2,593\nRb=0.93\n(se=0.004)
0.909197670911649	Gallbladder	Liver	0.004619283587062	2454	2,454\nRb=0.91\n(se=0.005)
0.903778615978454	Gallbladder	Muscle	0.00532942654827451	2431	2,431\nRb=0.90\n(se=0.005)
0.925850101596019	Gallbladder	Pancreas_Body	0.00386750380574657	2492	2,492\nRb=0.93\n(se=0.004)
0.923546630239516	Gallbladder	Pancreas_Head	0.00385814448248767	2502	2,502\nRb=0.92\n(se=0.004)
0.92321234421134	Gallbladder	Pancreas_Tail	0.00385849309403793	2494	2,494\nRb=0.92\n(se=0.004)
0.89641677267148	Gallbladder	Skin	0.00568986115566233	2638	2,638\nRb=0.90\n(se=0.006)
0.916150155725212	Gallbladder	Spleen	0.00460888907490383	2613	2,613\nRb=0.92\n(se=0.005)
0.881680897135485	Gallbladder	Whole_Blood	0.00601587998047578	2163	2,163\nRb=0.88\n(se=0.006)
0.814916034792973	Liver	Adipose	0.00624961143918208	3838	3,838\nRb=0.81\n(se=0.006)
0.821119284659913	Liver	Adrenal_Gland	0.00598216949395461	3824	3,824\nRb=0.82\n(se=0.006)
0.823445475564896	Liver	Gallbladder	0.00588819112218556	3960	3,960\nRb=0.82\n(se=0.006)
0.789449927031833	Liver	Muscle	0.00749221017351501	3630	3,630\nRb=0.79\n(se=0.007)
0.830864093210235	Liver	Pancreas_Body	0.00608013418755937	3730	3,730\nRb=0.83\n(se=0.006)
0.827614192335411	Liver	Pancreas_Head	0.00607885937273551	3753	3,753\nRb=0.83\n(se=0.006)
0.832050799446179	Liver	Pancreas_Tail	0.00595498404315058	3729	3,729\nRb=0.83\n(se=0.006)
0.77280596519693	Liver	Skin	0.00768960727055037	3849	3,849\nRb=0.77\n(se=0.008)
0.808399066358465	Liver	Spleen	0.00734721700421591	3794	3,794\nRb=0.81\n(se=0.007)
0.772834325856547	Liver	Whole_Blood	0.00821910059659248	3178	3,178\nRb=0.77\n(se=0.008)
0.910974863839888	Muscle	Adipose	0.00635303172127006	1055	1,055\nRb=0.91\n(se=0.006)
0.885867932038482	Muscle	Adrenal_Gland	0.00752738378974334	1036	1,036\nRb=0.89\n(se=0.008)
0.881168802417897	Muscle	Gallbladder	0.00774797572552343	1051	1,051\nRb=0.88\n(se=0.008)
0.873853038583379	Muscle	Liver	0.008581867792661	977	977\nRb=0.87\n(se=0.009)
0.872742497418513	Muscle	Pancreas_Body	0.00919207059285821	1005	1,005\nRb=0.87\n(se=0.009)
0.876143488006494	Muscle	Pancreas_Head	0.00864271675185201	1000	1,000\nRb=0.88\n(se=0.009)
0.87455775668622	Muscle	Pancreas_Tail	0.00875536726512586	1005	1,005\nRb=0.87\n(se=0.009)
0.892697629200235	Muscle	Skin	0.00789498199724903	1053	1,053\nRb=0.89\n(se=0.008)
0.884163731157481	Muscle	Spleen	0.0086593366610007	1020	1,020\nRb=0.88\n(se=0.009)
0.855554384084819	Muscle	Whole_Blood	0.00976753174466656	880	880\nRb=0.86\n(se=0.010)
0.827822114312242	Pancreas_Body	Adipose	0.00599635026068674	4136	4,136\nRb=0.83\n(se=0.006)
0.846049758568487	Pancreas_Body	Adrenal_Gland	0.00514394067498956	4123	4,123\nRb=0.85\n(se=0.005)
0.849209437053337	Pancreas_Body	Gallbladder	0.0048554665642438	4251	4,251\nRb=0.85\n(se=0.005)
0.848567038155053	Pancreas_Body	Liver	0.00548557650681706	3965	3,965\nRb=0.85\n(se=0.005)
0.800016836136555	Pancreas_Body	Muscle	0.00754383452637839	3939	3,939\nRb=0.80\n(se=0.008)
0.98017196009511	Pancreas_Body	Pancreas_Head	0.00128901349698493	4446	4,446\nRb=0.98\n(se=0.001)
0.979963487098868	Pancreas_Body	Pancreas_Tail	0.00131943846286782	4448	4,448\nRb=0.98\n(se=0.001)
0.813644846800666	Pancreas_Body	Skin	0.00654891959381645	4186	4,186\nRb=0.81\n(se=0.007)
0.83387207042151	Pancreas_Body	Spleen	0.00591096023207298	4086	4,086\nRb=0.83\n(se=0.006)
