class	tis1	tis2	r	se_r	ci_low	ci_high	xlabel
GTEx2GTOP	Adipose_Visceral_Omentum	Adipose	0.8351058690265186	0.00624332005911408	0.822868961710655	0.8473427763423822	Adipose Adipose_Visceral_Omentum
GTEx2GTOP	Adrenal_Gland	Adrenal_Gland	0.836332600298178	0.006514322273141173	0.8235645286428214	0.8491006719535347	Adrenal_Gland Adrenal_Gland
GTEx2GTOP	Liver	Liver	0.8319415792452832	0.007706696032741631	0.8168364550211096	0.8470467034694569	Liver Liver
GTEx2GTOP	Muscle_Skeletal	Muscle	0.8492147375542771	0.00723800161226201	0.8350282543942436	0.8634012207143107	Muscle Muscle_Skeletal
GTEx2GTOP	Pancreas	Pancreas_Body	0.8540033402286417	0.00503226162896569	0.8441401074358689	0.8638665730214145	Pancreas_Body Pancreas
GTEx2GTOP	Skin_Not_Sun_Exposed_Suprapubic	Skin	0.8315019380543649	0.007252093800810912	0.8172878342047755	0.8457160419039543	Skin Skin_Not_Sun_Exposed_Suprapubic
GTEx2GTOP	Spleen	Spleen	0.8110811140166053	0.0070798982502743935	0.7972045134460675	0.8249577145871432	Spleen Spleen
GTEx2GTOP	Whole_Blood	Whole_Blood	0.8665830916795214	0.005295941724930243	0.8562030458986581	0.8769631374603847	Whole_Blood Whole_Blood
GTOP2GTEx	Adipose	Adipose_Visceral_Omentum	0.8556482368638593	0.009475263707436624	0.8370767199972835	0.874219753730435	Adipose Adipose_Visceral_Omentum
GTOP2GTEx	Adrenal_Gland	Adrenal_Gland	0.869779966038546	0.0073465732845822114	0.8553806824007649	0.8841792496763271	Adrenal_Gland Adrenal_Gland
GTOP2GTEx	Liver	Liver	0.8665706403634779	0.00868868457789087	0.8495408185908118	0.883600462136144	Liver Liver
GTOP2GTEx	Muscle	Muscle_Skeletal	0.8912172264462122	0.011289017417252793	0.8690907523083967	0.9133437005840276	Muscle Muscle_Skeletal
GTOP2GTEx	Pancreas_Body	Pancreas	0.8714653252263901	0.008349525079198583	0.8551002560711609	0.8878303943816193	Pancreas_Body Pancreas
GTOP2GTEx	Skin	Skin_Not_Sun_Exposed_Suprapubic	0.8263253599399336	0.018994972281136002	0.789095214268907	0.8635555056109602	Skin Skin_Not_Sun_Exposed_Suprapubic
GTOP2GTEx	Spleen	Spleen	0.8381038310027683	0.014906335620926893	0.8088874131857516	0.867320248819785	Spleen Spleen
GTOP2GTEx	Whole_Blood	Whole_Blood	0.8399059996277815	0.010367504082918401	0.8195856916252614	0.8602263076303015	Whole_Blood Whole_Blood
