tissue	num_PCs	Cumulative_PVE	qtltype
Adipose	11	0.26725	juQTL
Adrenal_Gland	12	0.28656	juQTL
Gallbladder	13	0.29632	juQTL
Liver	12	0.2757	juQTL
Muscle	9	0.28369	juQTL
Pancreas_Body	12	0.2702	juQTL
Pancreas_Head	12	0.26212	juQTL
Pancreas_Tail	12	0.26218	juQTL
Skin	7	0.25563	juQTL
Spleen	7	0.27048	juQTL
Whole_Blood	14	0.25179	juQTL
Adipose	16	0.69473	eQTL
Adrenal_Gland	13	0.69232	eQTL
Gallbladder	11	0.70218	eQTL
Liver	12	0.64654	eQTL
Muscle	11	0.63556	eQTL
Pancreas_Body	10	0.64628	eQTL
Pancreas_Head	13	0.68838	eQTL
Pancreas_Tail	12	0.66306	eQTL
Skin	8	0.61929	eQTL
Spleen	9	0.62856	eQTL
Whole_Blood	14	0.67491	eQTL
Adipose	10	0.46104	tuQTL
Adrenal_Gland	9	0.4863	tuQTL
Gallbladder	13	0.51246	tuQTL
Liver	10	0.49133	tuQTL
Muscle	12	0.48827	tuQTL
Pancreas_Body	7	0.48205	tuQTL
Pancreas_Head	7	0.47158	tuQTL
Pancreas_Tail	9	0.4993	tuQTL
Skin	9	0.4577	tuQTL
Spleen	8	0.49286	tuQTL
Whole_Blood	15	0.44697	tuQTL
