Tissue,Abbreviation,Tissue_Code,Tissue_Color_Code
Skin,SKIN,0262,3A71A4
Muscle,MUSCLE,0087,7080BD
Adipose,ADP,0160,E59525
Liver,LIVER,1053,69AE6A
Pancreas_Head,PNCREASH,1108,AB5F2C
Pancreas_Tail,PNCREAST,1392,E59276
Pancreas_Body,PNCREASB,1236,902222
Small_Intestine,SNTTRM,1470,535426
Colon,COLON,1584,E7C08D
Stomach,STMACH,1601,F8D895
Esophagus,ESP,1710,AF8C5C
Gallbladder,BLADDER,1856,8F8495
Adrenal_Gland,ADRNLG,2099,A8D650
Spleen,SPLEEN,3082,768454
Heart_Left_Ventricle,HEARTLV,4002,9C5CA1
Heart_Right_Ventricle,HEARTRV,4003,A780A0
Heart_Left_Atrium,HEARTLA,4019,6F1F71
Heart_Right_Atrium,HEARTRA,4018,8466A6
Heart_Mitral_Valve,HEARTMV,4022,BA91BC
Heart_Tricuspid_Valve,HEARTTV,4023,9F98BF
Aortic_Arch,ARTARCH,4155,758E90
Thoracic_Aorta,THRAORT,4149,7e888e
Common_Iliac_Artery,ARTCIL,4150,d0d1e6
Abdominal_Aorta,ABDAORT,4151,cbc5d3
Whole_Blood,WHLBLD,0378,CC418D
Lung_Base,LUNGB,5032,AECBD1
Lung_Apex,LUNGA,5156,76ADB8
Trachea,TRACHEA,5302,D285A5
Lymph_node,LYMPHN,3170,ACAA95
Ovary,OVARY,6235,DF898D
Uterus,UTERUS,6246,E35656
Prostate,PROSTATE,6145,0CE3C3
Diaphragm,DIAPH,5415,00CED1
