Sample	Mapped_Reads	Alignments	Max_Mapped_Read_Length	Mean_Mapped_Read_Length	HiFi_Reads	HiFi_Yield	HiFi_Read_Length_mean	HiFi_Read_Length_median	HiFi_Read_Length_N50	Mean_Q	Median_Q	GC
GTOP-AJ141	7668527	8510273	69240	16380.4	7669700	139845142252	18233.46	17131	18135	33.325	33.233	40.04
GTOP-AJ142	7037708	7933989	56093	15999.9	7038773	127409509660	18101.1	17084	18130	33.082	32.958	40.03
GTOP-AJ221	6257755	6926310	70858	17588.5	6258669	122257681123	19534.13	18452	19374	32.439	32.418	40.57
GTOP-AJ231	7353630	8093914	79302	17285.1	7354846	140377775325	19086.43	17911	19102	34.08	34.089	40.33
GTOP-AK091	8575412	9403439	71076	15554.5	8577030	146777413779	17112.85	16009	17142	34.047	33.799	40.31
GTOP-AK092	6730977	7329910	71931	17767.7	6731920	130633156440	19405.04	18028	19304	32.549	32.441	40.08
GTOP-AK111	7521792	8473503	69508	16601.4	7522888	141177502883	18766.4	17841	18553	33.155	33.251	40.03
GTOP-AK112	6911319	7771293	76186	17302.1	6912439	134889543403	19514.03	18108	19401	32.708	32.62	40.07
GTOP-AK221	7098719	7887414	75202	16839.6	7099871	133255660551	18768.74	17661	18735	32.878	32.798	40.08
GTOP-AK231	7466361	8159441	54802	16684	7467307	136581378889	18290.58	17255	18212	33.708	33.536	40.04
GTOP-AL091	6995473	7802362	70052	18142	6996618	142027308801	20299.42	19082	20664	33.993	33.778	40.31
GTOP-AL121	6359684	7135975	74364	18380.6	6360676	131583272889	20687	19490	20710	32.797	32.725	40.27
GTOP-AL271	6423524	7122807	62958	18165.4	6424343	129761157213	20198.35	19085	20401	34.074	34.123	39.61
GTOP-BA041	6742500	7614408	75843	17191.5	6743378	131344292774	19477.52	18083	19394	32.697	32.565	40.08
GTOP-BA081	7205178	8147371	70015	16660.4	7206418	136201625803	18900.05	17918	18769	32.959	32.958	40
GTOP-BA082	6992029	7600704	75720	16352	6993259	124694051942	17830.61	16830	17804	33.911	33.893	40.38
GTOP-BA091	7976123	8799346	67888	15915.4	7977820	140544416802	17616.89	16514	17602	33.056	32.848	40.29
GTOP-BA101	7301113	8127160	67927	16411.2	7302330	133810468396	18324.35	17097	18312	33.738	33.595	40.02
