sample	before_filtering__total_reads	before_filtering__total_bases	before_filtering__q30_rate	before_filtering__gc_content	after_filtering__total_reads	after_filtering__total_bases	after_filtering__q30_rate	after_filtering__gc_content	Coverage	Coverage_BQSR	autosomes	chrX	chrY	chrX_Autosome	chrY_Autosome	Autosome_depth_Z	total_reads_mapping_bam	primary	primary_proportion	properly	properly_proportion	PCT_CHIMERAS	MEDIAN_INSERT_SIZE	FREEMIX(Alpha)
GTOP-AJ141	1623906360	243585954000	0.943958	0.411878	1607053524	240062447470	0.950096	0.410992	78.5761141935484	51.15	53.7789700669244	27.94	27.79	0.519533936132107	0.516744741772057	1295522	1627131835	1586808964	99.99	1575915346	98.06	0.022902	361	8.4517e-05
GTOP-AJ142	1089276992	163391548800	0.952921	0.416323	1079410148	161266736272	0.958265	0.415559	52.7069512258065	33.83	35.4613970287839	17.95	19.9	0.506184231417336	0.561173604746796	821228	1094469725	1064219208	99.99	1059188442	98.13	0.022626	336	0.000149455
GTOP-AJ211	1231702358	184755353700	0.952586	0.414702	1220451614	182358845828	0.957959	0.413928	59.5985011935484	37.97	39.8921585106556	20.67	20.88	0.518146943452028	0.523411135910902	737838	1234919133	1205824454	99.99	1200019114	98.33	0.02049	329	0.000154968
GTOP-AJ221	1108390968	166258645200	0.951057	0.415347	1098040840	164022234674	0.956473	0.414604	53.6318210322581	34.81	36.513454189747	18.89	18.37	0.517343549636131	0.503102223759435	676914	1113185187	1082748226	99.99	1078510388	98.22	0.021461	345	0.000125942
GTOP-AJ231	978629182	146794377300	0.952817	0.414035	969034748	144856976150	0.958354	0.413261	47.3530249354839	29.25	30.2830192519112	30.44	1.76	1.00518378787739	0.0581183793253681	723383	979713751	958197257	99.98	953316188	98.38	0.019012	331	0.000152138
GTOP-AK091	1076723050	161508457500	0.95244	0.423752	1065349510	159112395666	0.958449	0.422926	52.0995024193548	32.71	34.3373516868003	17.39	16.01	0.506445580271263	0.466256109266413	1236230	1079805305	1050779538	99.99	1040492940	97.67	0.027328	336	0.000150008
GTOP-AK092	1085413616	162812042400	0.965474	0.419046	1077647032	161069128074	0.969816	0.41849	52.5200136774194	34.19	35.4371207884181	34.95	2.18	0.986253940004704	0.0615174131390631	619333	1088657810	1066507280	99.99	1062436896	98.59	0.016738	344	0.000100683
GTOP-AK111	1358311082	203746662300	0.961217	0.411457	1347891996	201261559920	0.966175	0.410708	65.7247297741936	45.72	48.0600718109811	24.66	24	0.513107847549356	0.499375034111295	1070138	1366516138	1329127198	99.99	1322433906	98.11	0.022696	355	3.5928e-05
GTOP-AK112	809539694	121430954100	0.955918	0.412952	801950790	119779356020	0.961533	0.412055	39.171275516129	25.99	27.3409302156884	14	14.17	0.512052804698163	0.518270588755212	788157	811432027	792282648	99.98	778359888	97.06	0.033181	382	0.000104033
GTOP-AK221	1855727052	278359057800	0.96252	0.424049	1842217680	275193546982	0.967333	0.423359	89.7932444516129	62.58	65.9700495476816	32.98	29.26	0.499923832498607	0.443534607001493	1205523	1864551625	1819711978	99.99	1813203112	98.43	0.019121	347	5.42375e-05
GTOP-AK231	890019252	133502887800	0.966935	0.410903	884489040	132235875320	0.970625	0.410324	43.0654476774194	29.86	31.5216167214259	16.31	12.73	0.517422698973234	0.40384984414036	442107	894422713	874436068	99.99	870872730	98.46	0.018522	318	0.000156688
GTOP-AK281	905138404	135770760600	0.96119	0.412891	897890528	134178836770	0.965931	0.412177	43.7970195483871	30.07	31.1676650138483	31.44	1.77	1.00873774105409	0.0567896247349155	848884	907446515	888192888	99.98	882014104	98.23	0.02066	347	0.000102098
GTOP-AL091	1425653750	213848062500	0.963008	0.420292	1415642584	211456135908	0.967586	0.419628	68.9832459677419	48.52	51.1409281344374	25.97	23.91	0.507812449780556	0.467531600856877	860891	1433161915	1398000836	99.99	1392532332	98.37	0.020141	348	7.22779e-05
GTOP-AL121	901903522	135285528300	0.964498	0.425498	895054418	133769108280	0.968981	0.42488	43.640493	27.93	29.4163207928208	14.76	12.18	0.501762273533618	0.414055859867173	575841	906071356	883963905	99.99	881184192	98.45	0.019284	329	9.63194e-05
GTOP-AL271	893276326	133991448900	0.946929	0.421942	883000944	131439212808	0.953823	0.420239	43.2230480322581	28.59	29.5831480373735	29.59	1.85	1.00023161708882	0.0625356029609435	904697	894461901	871351706	99.98	827844774	93.75	0.066369	302	0.000283651
GTOP-BA041	1111332354	166699853100	0.953475	0.41146	1101467518	164016822526	0.95884	0.410255	53.7741461612903	36.08	37.9768918901463	19.64	15.98	0.517156592403917	0.42078219687447	656234	1115926738	1086562310	99.96	1063362708	96.54	0.038599	298	0.000297416
GTOP-BA081	956070228	143410534200	0.952651	0.409684	946864826	140831641874	0.958526	0.408189	46.2614626451613	30.75	32.355726133073	16.81	15.43	0.519537096180863	0.476886222133891	483151	959031075	934332441	99.96	910814370	96.19	0.042454	290	0.000328034
GTOP-BA082	830303974	124545596100	0.94985	0.410213	821853494	122398261676	0.955874	0.408956	40.1759987419355	27.61	28.6526108145135	28.95	1.56	1.01037913045382	0.0544453002938848	489961	830083084	813330388	99.96	795116026	96.75	0.035723	321	0.000306273
GTOP-BA091	896916474	134537471100	0.949993	0.413478	886279336	131976061248	0.956313	0.412199	43.3991842258065	29.56	31.1102334995564	15.96	12.87	0.5130144715959	0.413690241192935	605922	898345164	873771355	99.95	849123714	95.81	0.046075	308	0.000284151
GTOP-BA101	1069187954	160378193100	0.952757	0.411762	1057639400	157689931616	0.958462	0.410732	51.734901	35.37	37.1983601857725	19.25	20.94	0.517495930031956	0.562928040252943	555049	1070429467	1044512161	99.97	1026185068	97.03	0.033664	317	0.000283593
GTOP-BA102	896481496	134472224400	0.951507	0.414244	886075284	131884671068	0.957665	0.412953	43.3781369032258	28.72	30.2073197292033	15.53	13.83	0.514113802191666	0.457836051790775	551610	897140097	874615260	99.96	852697306	96.23	0.041621	296	0.000283452
GTOP-BA131	869835394	130475309100	0.946109	0.411115	858692694	127973904816	0.952887	0.409885	42.0888093870968	29.03	30.5889742767239	15.89	14.58	0.519468219373776	0.476642330929494	561553	868635686	848456219	99.97	838470790	97.65	0.027224	337	0.000276246
GTOP-BA132	926046832	138907024800	0.949843	0.412456	915222466	136380665200	0.956085	0.411269	44.8087176774194	28.8	30.3024196548582	15.61	14.62	0.515140380794553	0.482469722435386	631765	926548650	903507347	99.96	890028478	97.25	0.03128	345	0.000278501
GTOP-BA181	1109996516	166499477400	0.953375	0.413306	1097977214	163513653582	0.959051	0.411974	53.7095088387097	35.6	37.5666573914948	19.32	12.76	0.514285841262367	0.339662905512826	585797	1112070946	1083484820	99.96	1072835966	97.71	0.027147	248	0.000617301
GTOP-BA191	934338898	140150834700	0.950194	0.413508	923899552	137599741342	0.956212	0.412163	45.2099466774194	30.51	32.1981710700465	16.71	14.98	0.518973576593768	0.465243816719009	654522	933594025	913780263	99.95	895349202	96.91	0.03421	317	0.000373669
GTOP-BA211	837274812	125591221800	0.948906	0.4147	827594898	123132773682	0.955317	0.413257	40.5132973548387	27.65	28.9755067621839	15	15.62	0.517678607767323	0.539075990221705	662526	839399486	815411061	99.95	800042006	96.67	0.037914	322	0.000241981
GTOP-BA231	1281961186	192294177900	0.951429	0.411821	1267559336	188785419402	0.957429	0.410406	62.0303799677419	40.93	43.0464378975031	22.47	21.83	0.521994411093963	0.507126746514518	891221	1283621932	1251025954	99.96	1225812858	96.71	0.037035	300	0.000354339
GTOP-BA232	978397538	146759630700	0.950168	0.41674	966741924	144037032590	0.956344	0.415572	47.3418163548387	32.6	33.7050504128394	34.06	2.34	1.01053105047502	0.069425797360879	532909	978921598	954238862	99.97	938681100	97.1	0.032699	303	0.000299927
GTOP-BA251	879952326	131992848900	0.952456	0.412951	870331256	129804038366	0.95825	0.411786	42.5783383548387	29.02	30.0647913490044	30.68	1.77	1.02046276136941	0.0588728516174657	615451	879897122	860400987	99.96	844291254	97.01	0.033103	321	0.000251944
GTOP-BB011	1051189804	157678470600	0.95178	0.410957	1039155420	154828921652	0.957272	0.409704	50.8640227741936	34.32	36.1111285029087	18.66	17.19	0.516738212667516	0.476030539965412	599534	1052635152	1025213757	99.96	1002867260	96.51	0.038931	282	0.000375592
GTOP-BB201	1009709612	151456441800	0.951469	0.412164	998096068	148592309606	0.957245	0.410851	48.8569167096774	33.73	35.6452816924804	18.37	14.3	0.515355725295762	0.401175115499695	552954	1009202854	986518876	99.95	963580252	96.54	0.038074	285	0.000321916
GTOP-BB202	1065440046	159816006900	0.948923	0.411643	1052342230	156896402504	0.954816	0.410545	51.5535506129032	35.35	37.1283494673573	19.14	19.48	0.515509045637152	0.524666468600404	637053	1066187655	1038126898	99.96	1021534576	97.07	0.033445	310	0.00026267
GTOP-BB211	1014318194	152147729100	0.949357	0.411019	1002445734	149400824114	0.954977	0.409938	49.0799126129032	34.42	36.2146305722895	18.58	17.14	0.513052313564589	0.473289378605869	476688	1015750992	988772015	99.96	973007268	97.06	0.033478	312	0.000281694
GTOP-BB251	1019876600	152981490000	0.949163	0.410951	1006526910	150093678964	0.955456	0.409878	49.3488677419355	33.47	35.2356630762855	18.15	15.75	0.5151031204012	0.44699031109195	532843	1019734008	992920381	99.96	978739968	97.24	0.031494	321	0.000229715
GTOP-BB261	1100781780	165117267000	0.952723	0.410518	1088197780	162220567930	0.958258	0.409418	53.263634516129	36.45	38.3777851266125	20.15	16.14	0.525043327370846	0.420555796712926	574464	1102434888	1073574450	99.96	1052568068	96.73	0.036768	304	0.000343334
