FID1	ID1	FID2	ID2	Kinship	Z0
GTOP-AJ141	GTOP-AJ141	GTOP-AJ142	GTOP-AJ142	-0.0011	1
GTOP-AJ141	GTOP-AJ141	GTOP-AJ211	GTOP-AJ211	-0.0044	1
GTOP-AJ141	GTOP-AJ141	GTOP-AJ221	GTOP-AJ221	0.0025	0.9819
GTOP-AJ141	GTOP-AJ141	GTOP-AJ231	GTOP-AJ231	-0.0014	0.9907
GTOP-AJ141	GTOP-AJ141	GTOP-AK091	GTOP-AK091	0.0015	0.9799
GTOP-AJ141	GTOP-AJ141	GTOP-AK092	GTOP-AK092	9e-04	0.9851
GTOP-AJ141	GTOP-AJ141	GTOP-AK111	GTOP-AK111	-1e-04	0.9887
GTOP-AJ141	GTOP-AJ141	GTOP-AK112	GTOP-AK112	-0.0011	0.9938
GTOP-AJ141	GTOP-AJ141	GTOP-AK221	GTOP-AK221	0.001	1
GTOP-AJ141	GTOP-AJ141	GTOP-AK231	GTOP-AK231	-9e-04	1
GTOP-AJ141	GTOP-AJ141	GTOP-AK281	GTOP-AK281	-0.0043	0.9879
GTOP-AJ141	GTOP-AJ141	GTOP-AL091	GTOP-AL091	-0.0055	0.9896
GTOP-AJ141	GTOP-AJ141	GTOP-AL121	GTOP-AL121	-0.0669	1
GTOP-AJ141	GTOP-AJ141	GTOP-AL271	GTOP-AL271	-0.0011	0.99
GTOP-AJ141	GTOP-AJ141	GTOP-BA041	GTOP-BA041	-0.0013	0.9923
GTOP-AJ141	GTOP-AJ141	GTOP-BA081	GTOP-BA081	9e-04	0.9865
GTOP-AJ141	GTOP-AJ141	GTOP-BA082	GTOP-BA082	0.001	1
GTOP-AJ141	GTOP-AJ141	GTOP-BA091	GTOP-BA091	-6e-04	0.9883
GTOP-AJ141	GTOP-AJ141	GTOP-BA101	GTOP-BA101	6e-04	0.9882
GTOP-AJ141	GTOP-AJ141	GTOP-BA102	GTOP-BA102	0.0012	0.983
GTOP-AJ141	GTOP-AJ141	GTOP-BA131	GTOP-BA131	-0.0027	1
GTOP-AJ141	GTOP-AJ141	GTOP-BA132	GTOP-BA132	6e-04	0.9917
GTOP-AJ141	GTOP-AJ141	GTOP-BA181	GTOP-BA181	-6e-04	0.9795
GTOP-AJ141	GTOP-AJ141	GTOP-BA191	GTOP-BA191	1e-04	0.9875
GTOP-AJ141	GTOP-AJ141	GTOP-BA211	GTOP-BA211	-1e-04	1
GTOP-AJ141	GTOP-AJ141	GTOP-BA231	GTOP-BA231	-1e-04	1
GTOP-AJ141	GTOP-AJ141	GTOP-BA232	GTOP-BA232	-0.0701	1
GTOP-AJ141	GTOP-AJ141	GTOP-BA251	GTOP-BA251	0.0024	0.9837
GTOP-AJ141	GTOP-AJ141	GTOP-BB011	GTOP-BB011	0.0033	0.967
GTOP-AJ141	GTOP-AJ141	GTOP-BB201	GTOP-BB201	-0.0025	1
GTOP-AJ141	GTOP-AJ141	GTOP-BB202	GTOP-BB202	0.0023	0.9876
GTOP-AJ142	GTOP-AJ142	GTOP-AJ211	GTOP-AJ211	-0.0031	0.9936
