Tissue	class	n
Adipose	0	1182
Adipose	1	852
Adipose	2	289
Adrenal_Gland	0	1508
Adrenal_Gland	1	980
Adrenal_Gland	2	355
Gallbladder	0	944
Gallbladder	1	681
Gallbladder	2	251
Liver	0	1484
Liver	1	911
Liver	2	322
Muscle	0	365
Muscle	1	296
Muscle	2	101
Pancreas_Body	0	1639
Pancreas_Body	1	962
Pancreas_Body	2	333
Pancreas_Head	0	1687
Pancreas_Head	1	995
Pancreas_Head	2	357
Pancreas_Tail	0	1741
Pancreas_Tail	1	1003
Pancreas_Tail	2	341
Skin	0	321
Skin	1	284
Skin	2	106
Spleen	0	584
Spleen	1	483
Spleen	2	205
Whole_Blood	0	1738
Whole_Blood	1	1040
Whole_Blood	2	430
