Tissue	type	prop
Adipose	PC_snv	0.508824795523031
Adipose	PC_sv_tr	0.366767111493758
Adipose	PC_sv_trLead	0.124408092983211
Adrenal_Gland	PC_snv	0.530425606753429
Adrenal_Gland	PC_sv_tr	0.344706296166022
Adrenal_Gland	PC_sv_trLead	0.124868097080549
Gallbladder	PC_snv	0.50319829424307
Gallbladder	PC_sv_tr	0.363006396588486
Gallbladder	PC_sv_trLead	0.133795309168444
Liver	PC_snv	0.546190651453809
Liver	PC_sv_tr	0.335296282664704
Liver	PC_sv_trLead	0.118513065881487
Muscle	PC_snv	0.479002624671916
Muscle	PC_sv_tr	0.388451443569554
Muscle	PC_sv_trLead	0.13254593175853
Pancreas_Body	PC_snv	0.558623040218132
Pancreas_Body	PC_sv_tr	0.32788002726653
Pancreas_Body	PC_sv_trLead	0.113496932515337
Pancreas_Head	PC_snv	0.555116814741691
Pancreas_Head	PC_sv_tr	0.327410332346167
Pancreas_Head	PC_sv_trLead	0.117472852912142
Pancreas_Tail	PC_snv	0.564343598055105
Pancreas_Tail	PC_sv_tr	0.325121555915721
Pancreas_Tail	PC_sv_trLead	0.110534846029173
Skin	PC_snv	0.451476793248945
Skin	PC_sv_tr	0.39943741209564
Skin	PC_sv_trLead	0.149085794655415
Spleen	PC_snv	0.459119496855346
Spleen	PC_sv_tr	0.379716981132076
Spleen	PC_sv_trLead	0.161163522012579
Whole_Blood	PC_snv	0.541770573566085
Whole_Blood	PC_sv_tr	0.324189526184539
Whole_Blood	PC_sv_trLead	0.134039900249377
