Adipose,Whole_Blood,Muscle,Adrenal_Gland,Pancreas_Body,Pancreas_Head,Skin,Spleen,Gallbladder,Pancreas_Tail,Liver
1,1,0,0,0,0,0,0,0,0,1
0,1,0,0,1,0,0,1,1,1,1
0,1,1,1,1,0,1,0,0,0,1
0,1,0,1,1,0,0,1,1,1,1
1,0,1,1,1,1,1,1,0,0,0
1,0,0,1,1,1,0,1,1,1,0
0,0,0,0,1,1,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,1,1,0,0,1,0,0
1,0,0,1,1,1,0,0,1,1,0
1,1,0,0,1,1,1,0,1,1,1
1,1,0,1,1,1,1,1,1,1,1
1,0,1,1,1,1,0,0,1,1,0
0,1,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,0,0,0
0,1,0,0,1,1,0,0,1,1,0
0,1,1,0,0,1,0,1,1,1,0
0,0,0,1,1,1,0,0,0,1,0
0,0,1,1,1,1,0,0,1,1,0
0,0,1,1,1,1,0,0,1,1,0
0,0,1,1,1,1,0,0,1,1,0
0,0,0,1,1,1,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,1
1,0,0,1,0,1,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,1
1,0,0,1,0,1,0,1,0,0,0
1,0,0,1,0,1,0,1,0,0,0
1,0,0,1,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,1,0,1
1,0,0,1,0,1,0,1,0,0,0
1,1,1,1,1,1,1,0,1,1,1
1,1,0,0,1,0,0,0,1,0,0
1,1,1,1,1,1,1,0,1,1,1
1,1,0,0,1,0,0,0,1,0,0
1,1,0,0,1,0,0,0,1,0,0
1,1,0,0,1,0,0,0,1,0,0
1,1,0,0,0,0,0,0,1,0,1
1,1,1,0,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1,1
1,1,0,1,1,1,0,1,1,0,1
0,1,1,1,1,1,0,1,1,0,1
1,0,0,1,1,1,0,0,0,1,0
1,1,1,0,1,1,1,1,1,1,1
0,1,0,0,0,0,0,1,0,0,1
1,1,0,1,0,0,0,1,1,1,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,1
1,1,0,0,1,1,0,0,1,1,1
0,0,0,0,0,0,0,0,1,0,1
0,1,0,1,0,0,0,0,0,0,1
0,1,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,1,0,0,0
1,1,0,1,1,1,0,1,1,1,1
1,0,0,0,1,1,0,0,0,1,0
0,1,0,1,1,1,0,0,1,1,0
0,1,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0,1,0,0
1,1,0,1,0,0,0,1,1,0,1
0,1,0,0,0,0,0,0,1,0,0
1,1,0,0,1,0,0,0,1,0,0
1,0,1,1,1,1,0,0,1,1,1
0,1,0,0,0,0,0,1,0,0,0
1,1,0,1,1,1,0,0,1,1,1
0,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
1,1,0,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,1,1,1,0,1,1,1
0,0,0,1,0,0,0,0,0,0,1
0,1,0,0,1,1,1,0,1,1,1
1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,1,1,0,0,1,1
1,0,0,1,1,1,0,0,1,1,0
0,0,0,0,0,1,0,0,0,1,0
1,0,1,1,1,1,0,0,1,1,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1
1,1,0,1,0,1,1,1,0,0,0
0,1,1,1,0,0,1,0,1,0,0
1,1,1,0,1,1,1,1,1,1,1
0,1,0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,1,0
0,1,0,0,0,0,0,0,1,0,1
1,1,0,0,1,1,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0,0
1,1,1,1,1,1,0,0,1,1,0
1,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,1,0,0
0,1,0,0,1,0,0,0,1,0,0
1,1,0,1,0,1,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,1,0,0,0
0,1,1,1,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,1,1,1,1,1,1,0
1,0,0,0,1,1,0,0,1,1,1
1,0,0,1,0,0,0,1,1,0,1
1,0,1,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,1,1,0,1,0
1,1,0,1,0,0,0,0,1,0,1
1,0,0,0,1,0,0,1,1,1,1
1,0,0,1,0,1,0,1,0,0,0
1,1,1,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,1,0,0,0
1,0,0,1,1,1,1,0,1,1,1
1,1,0,1,0,0,0,1,1,0,0
0,0,0,0,0,0,0,1,0,0,0
