Whole_Blood,Adrenal_Gland,Pancreas_Body,Pancreas_Head,Pancreas_Tail,Adipose,Liver,Muscle,Gallbladder,Spleen,Skin
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0,1,1,1
0,0,0,0,0,1,1,0,0,0,0
0,1,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,1,1,0,1,1,1
0,0,0,0,0,0,1,1,0,0,0
1,1,1,1,1,1,1,0,0,0,0
0,1,1,1,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,0,0
0,1,0,0,0,0,0,0,0,0,1
0,1,1,1,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,0,1
1,0,0,0,0,1,0,0,0,0,0
0,1,1,1,1,1,0,1,1,1,0
0,1,1,1,1,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0
1,1,0,0,0,1,1,0,1,1,0
0,0,0,0,0,1,0,1,0,1,0
1,1,0,0,0,1,1,0,1,1,0
0,0,0,0,0,1,0,1,0,1,0
0,0,0,0,0,1,0,1,0,1,0
0,0,0,0,0,1,0,1,0,1,0
1,1,0,0,0,1,1,0,1,1,0
0,0,0,0,0,1,0,1,0,1,0
0,1,1,1,1,1,0,0,1,0,1
0,1,1,1,1,1,0,1,1,0,1
1,1,1,0,0,0,0,0,0,1,1
1,1,1,0,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0
0,1,1,1,1,0,1,0,1,0,0
1,1,1,0,1,0,0,1,1,1,1
1,1,1,0,1,0,0,0,0,1,1
1,1,0,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1
1,1,1,0,1,0,0,0,0,1,1
1,0,1,1,1,1,0,0,0,0,0
0,0,0,0,0,1,0,1,1,0,0
0,1,0,1,0,1,0,1,1,0,0
0,1,0,0,0,1,1,0,1,1,0
0,1,1,1,1,1,0,1,1,1,0
1,1,1,1,1,1,0,0,1,0,0
1,1,1,1,1,1,1,0,0,0,0
0,1,0,1,0,1,0,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1
0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,1,1,1,1,0,0,1,1,1,0
0,0,0,0,0,0,1,0,0,0,0
0,1,1,1,1,0,0,1,1,1,0
0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,1,0,0,1,0,1,0
0,1,0,0,1,1,0,0,0,1,1
1,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1,1
0,1,0,1,1,1,0,0,1,0,1
1,1,1,1,1,1,1,0,1,1,0
1,0,0,0,0,1,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,0
0,1,1,0,1,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,1,0,0,0,0,0
0,1,0,1,1,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0
0,0,1,1,1,1,1,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,1,0,0,1,0,0
1,1,1,1,1,1,1,0,0,0,1
0,0,0,0,0,1,1,0,0,0,0
0,1,1,0,1,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0,1,1,0
0,1,1,1,1,1,0,1,1,0,1
0,0,0,1,0,1,0,0,0,0,1
0,0,1,1,1,1,1,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,1,1,1,1,1,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,1,0,1,0,1,0
0,0,1,1,1,1,1,0,1,0,0
1,1,1,1,1,1,1,1,1,1,0
1,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,1,1,0,1,0,0
0,1,0,0,0,1,1,0,1,1,0
0,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,1,1,1
1,1,1,1,1,1,1,0,1,0,0
0,1,0,0,0,1,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,1,1,1,0,0
0,1,1,1,1,0,1,0,1,0,1
1,1,0,0,0,1,0,0,1,0,0
0,0,0,0,0,1,1,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,1,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,1,0
0,0,0,0,0,0,1,0,0,0,0
0,1,1,1,1,1,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,1,1,0,1,0,0
0,0,0,0,0,1,0,0,1,0,0
0,0,1,1,1,0,1,0,1,0,0
1,1,0,0,0,1,0,0,1,0,0
0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,0,1,0,0,1
0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,1,1,1,1,1,1,1,1,0,0
0,1,0,0,0,1,0,0,1,0,0
0,0,1,1,1,0,1,0,1,0,0
1,1,0,0,0,1,0,0,1,0,0
0,0,0,0,0,1,1,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0,0,0,0
1,1,0,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,1,1,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,0,1,0,1
1,1,1,1,1,1,1,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,1,1,0
0,0,0,1,0,0,1,0,0,0,0
1,1,1,1,1,1,1,0,1,1,1
0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0,1,0,1
0,0,1,1,1,1,1,0,1,0,0
1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,1,0
1,1,0,0,0,1,0,0,1,0,0
0,0,0,0,0,1,0,1,0,1,0
1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,1,0,1,1,0
0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,1,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,1,0
0,0,1,1,1,1,1,0,1,0,0
0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,1,0,1,0,0
0,1,1,1,1,1,0,1,1,0,1
1,1,0,0,0,1,0,0,1,0,0
0,1,0,0,0,1,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,0,1,0,1,0,0
0,1,0,0,0,1,0,0,0,1,0
0,1,1,0,1,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,1,1,1
1,1,1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,1,0,1,1,0
0,1,0,0,0,0,1,0,1,0,0
0,0,1,0,0,0,1,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0
0,1,0,1,1,1,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
1,1,1,0,0,0,0,0,0,1,1
1,0,1,0,1,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0
1,1,1,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,0,1,1,1
0,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,0,1,1,0,0,0,0
0,1,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,1,1,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,1,0,1,1,0,0
1,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,1,0,0
0,1,1,1,1,1,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1,0
1,0,0,0,0,0,1,0,0,1,0
0,1,0,0,0,0,0,0,0,0,1
0,1,0,0,0,1,0,1,1,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,1,0,0
1,1,1,0,1,0,1,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,0,0,0,0
0,1,1,1,1,1,1,0,0,0,0
0,1,1,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,1,0,1,0,0
1,0,1,0,0,1,0,0,1,0,0
1,0,1,0,0,1,1,0,1,0,1
1,1,1,1,1,1,1,1,1,1,0
0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,1,1,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,1,0,0
0,1,1,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,0,1,1,0,1
0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,0,0,0,0,0,0,0
0,1,1,1,1,1,0,1,1,0,1
0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0
0,1,0,0,0,0,0,0,0,1,0
