Category	QTL	median_Prop_h2	q1	q3	sd_Prop_h2
Circulatory_system	eQTL	0.1239221175415	0.05660315052905	0.16412599875675	0.060977443332508
Circulatory_system	juQTL	0.2149975170865	0.1139079393835	0.2522309406075	0.0791253592977868
Circulatory_system	tuQTL	0.128510904356	0.061195371557775	0.16449859400425	0.0678660040469066
Respiratory	eQTL	0.112118192781	0.0738516979182	0.15215428471075	0.0614228798712232
Respiratory	juQTL	0.163815639212	0.10977644803085	0.18807680940475	0.050624879557505
Respiratory	tuQTL	0.111194360996	0.064745881615	0.13097074615125	0.0408312678023173
Dermatologic	eQTL	0.1006333823891	0.0531537809338	0.1397239717495	0.0742567267862471
Dermatologic	juQTL	0.2153262624395	0.16529233321675	0.23615430712725	0.0740312028205461
Dermatologic	tuQTL	0.1631978863825	0.1202079785715	0.192419051686	0.096654606009234
Quantitative_trait	eQTL	0.1799214134	0.077022286262275	0.22881418544575	0.0881306495433477
Quantitative_trait	juQTL	0.2077601565365	0.131800018708	0.28742079801725	0.0893015028447797
Quantitative_trait	tuQTL	0.1417238467985	0.0757452603927	0.189335085612	0.0661232751741618
Neoplasms	eQTL	0.099750674966	0.046667594604425	0.16082229545975	0.0755646713162453
Neoplasms	juQTL	0.158092630529	0.1006473414545	0.1953467519445	0.0792175610397388
Neoplasms	tuQTL	0.09627867991185	0.0431330495127	0.14457782314825	0.0739086700924
Digestive	eQTL	0.108692551114	0.0539167902816	0.172983497721	0.0942901352097785
Digestive	juQTL	0.221438253131	0.131577506961	0.2334127291925	0.0723062779688275
Digestive	tuQTL	0.14455403042	0.1023979205799	0.187793831548	0.0780429689207475
Endocrine_metabolic	eQTL	0.119316307902	0.0539965748419	0.158469452565	0.0663910608634283
Endocrine_metabolic	juQTL	0.161366206476	0.108539079382	0.190090999578	0.0605710963506886
Endocrine_metabolic	tuQTL	0.127726296937	0.0828604373777	0.164047445984	0.0543730606749198
Musculoskeletal	eQTL	0.333426893433	0.2155821569965	0.389876916735	0.156391922742118
Musculoskeletal	juQTL	0.194204333478	0.08441958782725	0.216360615454	0.0972517242440257
Musculoskeletal	tuQTL	0.164622873875	0.10797023279	0.181278469642	0.0561389421021322
Genitourinary	eQTL	0.0994217870485	0.0475768232191	0.151975219182	0.0546316103116802
Genitourinary	juQTL	0.15022625199	0.07563961755295	0.1712261487865	0.0585189752285831
Genitourinary	tuQTL	0.0805109989688	0.04275955590145	0.09190002010905	0.0391656332516242
