Ind	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	pop	superpop
GTEX-13NZ9	-4.40962	-6.22831	-11.854	5.91215	-12.1548	-5.89081	7.59597	-15.4743	-1.23427	1.62852	GTEX-13NZ9	GTEX
GTEX-1C4CL	-11.5755	3.43436	-11.4101	-1.16867	1.38059	-9.42587	3.29183	-12.9822	-4.0409	6.38951	GTEX-1C4CL	GTEX
GTEX-1CAMS	20.9995	-0.861402	-5.26779	-6.49054	12.0162	-1.75557	-18.9197	-2.61447	-8.67788	2.78729	GTEX-1CAMS	GTEX
GTEX-1KAFJ	-9.67947	1.49751	-1.49113	-3.55792	17.0159	1.45275	-10.5732	2.43199	-3.34693	-14.2973	GTEX-1KAFJ	GTEX
GTEX-1LVAN	-15.5907	7.36461	3.15236	-2.90769	-3.69559	8.05916	5.10168	-6.72849	2.57355	5.04355	GTEX-1LVAN	GTEX
GTEX-QLQ7	-0.816374	-3.47412	5.13323	-15.0407	-1.3389	8.47785	-6.28089	1.9068	-24.6676	3.00587	GTEX-QLQ7	GTEX
GTEX-RU72	18.023	-3.51427	-7.37903	18.5766	-3.4608	-3.60153	-13.6591	4.93659	-7.03873	-1.76319	GTEX-RU72	GTEX
GTEX-ZYW4	-8.23355	-1.81596	-1.1152	-11.1246	1.55736	-9.13473	-7.1021	-6.647	-4.37085	-0.558677	GTEX-ZYW4	GTEX
GTOP-AJ141	-0.161618	-5.58945	3.10193	2.3711	0.449585	-7.46582	-6.08534	1.02965	-8.24509	4.7105	GTOP	GTOP
GTOP-AJ142	-8.19414	-3.05646	4.84674	-6.53643	-3.17506	8.15867	-7.88488	-7.71373	3.51383	-9.58043	GTOP	GTOP
GTOP-AJ211	-2.44709	-6.55524	2.80758	9.27502	-6.59268	-3.39054	-1.15597	0.836541	-3.03024	-6.45109	GTOP	GTOP
GTOP-AJ221	-0.387502	-4.55851	5.642	13.4852	-8.08898	-3.74013	-4.66718	0.465687	-4.85974	-0.5679	GTOP	GTOP
GTOP-AJ231	-3.66918	-7.2619	-4.24038	3.08318	3.0403	2.25728	-7.06937	-6.24215	11.3543	0.323336	GTOP	GTOP
GTOP-AK091	1.25706	-8.3562	5.11626	-2.44518	1.42727	-5.66979	1.58311	-10.7271	3.37031	-3.79465	GTOP	GTOP
GTOP-AK092	2.69994	-12.5911	-0.124822	-7.06893	-7.56379	-13.0175	-8.22416	4.81046	-8.4537	-13.7729	GTOP	GTOP
GTOP-AK111	-5.90679	-3.39812	6.78926	-6.6277	-5.71394	12.345	1.0286	5.0089	-4.67423	-7.27089	GTOP	GTOP
GTOP-AK112	0.741385	-3.82904	-9.33628	1.45835	2.71276	-2.33557	-11.6246	-6.77366	5.85253	5.72277	GTOP	GTOP
GTOP-AK221	0.887763	-8.89994	8.27869	-0.401715	-9.08245	-9.76735	-7.68966	0.915404	9.69712	-4.73334	GTOP	GTOP
GTOP-AK231	-2.64256	-4.27418	3.02658	0.720997	-8.47066	-0.0470889	-19.1384	-0.90357	5.56081	-4.56478	GTOP	GTOP
GTOP-AK281	-0.641099	-3.49462	5.02304	8.81367	3.75296	6.08196	-5.84335	1.89738	9.72431	4.64105	GTOP	GTOP
GTOP-AL091	1.18312	-12.9547	4.66217	6.11628	-2.27103	-2.27496	5.22565	-4.91983	-2.99353	4.65973	GTOP	GTOP
GTOP-AL121	1.15952	-4.9931	8.20626	11.277	10.7028	8.88256	1.00876	-13.3243	3.19571	13.4418	GTOP	GTOP
GTOP-AL271	11.1079	-15.9821	-4.54482	-10.5775	-2.2874	-15.4661	-4.49509	-2.8778	-9.54278	-1.27314	GTOP	GTOP
GTOP-BA041	-0.14437	-8.65216	4.64613	-0.953731	8.32385	4.95729	10.6286	-5.5709	3.96416	-1.23292	GTOP	GTOP
GTOP-BA081	2.13077	-11.4676	5.09093	4.74597	-15.3889	-0.325966	8.54468	-9.38702	-1.42231	-7.06766	GTOP	GTOP
GTOP-BA082	-3.52297	-7.20374	7.68587	-0.555834	1.33839	2.56405	1.7458	-6.81013	-4.99618	8.45829	GTOP	GTOP
GTOP-BA091	3.25586	-9.48989	6.42349	10.0449	-1.39852	-9.39	7.70691	-3.60909	-8.01876	4.60383	GTOP	GTOP
GTOP-BA101	0.307775	-11.5309	7.41697	14.7363	-0.446641	8.71783	0.148111	5.60066	-11.1837	-10.2769	GTOP	GTOP
GTOP-BA102	4.12976	-10.7513	6.32068	-7.70097	1.69306	-2.89445	-7.94681	7.11133	-2.59464	0.277595	GTOP	GTOP
GTOP-BA131	2.46541	-7.07398	-3.34178	-2.41803	1.55682	0.404696	8.14177	2.01849	15.6121	-3.49446	GTOP	GTOP
GTOP-BA132	0.632316	-6.89136	8.67321	3.89975	-1.83514	-8.85982	1.8584	2.15721	1.69591	-3.39266	GTOP	GTOP
GTOP-BA181	0.789119	-11.2698	1.17674	-4.54049	-7.04542	-2.01314	-7.26685	-10.3927	8.60933	-5.18116	GTOP	GTOP
GTOP-BA191	-1.66202	-13.2867	-8.80742	-0.381189	-5.56232	5.27902	-4.44996	0.955589	8.36795	-11.448	GTOP	GTOP
GTOP-BA211	2.07204	-10.1313	-0.366806	2.1298	-0.987468	1.30854	14.6738	7.46869	1.82163	-2.75791	GTOP	GTOP
GTOP-BA231	-1.61466	-8.86092	5.57308	-3.94726	3.52089	2.86278	4.17288	-13.6752	-5.23947	-8.65801	GTOP	GTOP
GTOP-BA232	-3.07085	-8.20933	1.8121	-1.21047	-5.36317	-5.892	-9.544	16.8714	13.6541	-3.29452	GTOP	GTOP
GTOP-BA251	-0.204757	-8.0823	6.13287	0.327293	-6.37896	-7.48778	-0.614043	-6.88011	10.4502	-4.62348	GTOP	GTOP
GTOP-BB011	-0.309504	-9.57699	4.13644	19.6581	-7.1424	-0.889998	-3.59501	4.80575	0.636562	3.10356	GTOP	GTOP
GTOP-BB201	-2.03431	-7.21601	-1.29767	-6.70567	-9.87576	-3.39679	17.1782	-14.1768	9.26615	-6.69011	GTOP	GTOP
GTOP-BB202	-1.63513	-8.83418	3.34718	-12.4564	-0.868693	6.81648	-8.39698	-7.14283	-1.27849	-8.6725	GTOP	GTOP
GTOP-BB211	-3.56545	-7.90096	-9.03701	7.54477	-7.50798	6.12207	0.391945	1.15513	-2.70272	-2.66166	GTOP	GTOP
GTOP-BB251	3.17916	-10.0949	1.83796	-3.09554	-1.80492	-12.8921	-9.63087	-2.40606	-7.48399	0.0219564	GTOP	GTOP
GTOP-BB261	-2.28316	-8.52473	0.591556	-6.94819	-1.71679	-2.55439	1.85059	-15.2875	6.1651	7.95885	GTOP	GTOP
GTOP-BC041	2.18222	-11.9337	1.59327	-16.4947	-7.74653	1.0828	-7.53382	1.46946	-2.60014	-10.9665	GTOP	GTOP
GTOP-BC061	-10.7578	-5.25996	6.06045	5.27301	18.3702	1.07901	2.31025	-19.0526	13.1057	3.6747	GTOP	GTOP
GTOP-BC161	4.68544	-9.40674	11.8424	0.0252953	-2.75588	-2.07605	1.79184	2.06735	-2.5136	2.44153	GTOP	GTOP
GTOP-BC171	-1.18216	-6.91159	6.56701	-7.99243	0.687921	5.00958	1.07891	-7.24139	-0.851785	7.39435	GTOP	GTOP
GTOP-BC181	1.6414	-9.2237	7.09309	-3.25321	4.46656	2.50726	1.62629	1.81765	-4.40489	-4.82175	GTOP	GTOP
GTOP-BC191	3.14155	-12.4107	1.47471	2.896	0.198354	5.58683	-8.10105	-10.8654	-5.76915	6.59618	GTOP	GTOP
GTOP-BD011	2.78252	-14.081	9.46008	-0.409672	2.43394	-1.21723	2.82666	3.62532	-2.77806	-4.52105	GTOP	GTOP
GTOP-BD201	1.6346	-11.1992	0.785112	-4.15998	-6.37415	-3.65238	-3.13857	-5.52803	4.44296	0.361211	GTOP	GTOP
GTOP-BE141	1.58966	-13.5678	2.13058	5.84362	5.16994	1.26337	8.52253	-6.1045	2.5073	-4.28754	GTOP	GTOP
GTOP-BE161	-0.137587	-8.90296	0.0519389	0.870282	0.925518	1.84206	2.17609	-15.2536	-2.64525	3.64112	GTOP	GTOP
