total_num	overlap_num	novel_num	type	coverage
1014819	190684	824135	INDEL	40x
4443135	2901883	1541252	SNP	40x
687023	148506	538517	INDEL	5x
3500739	2365366	1135373	SNP	5x
923179	183431	739748	INDEL	10x
4180434	2824543	1355891	SNP	10x
979753	188976	790777	INDEL	15x
4308237	2886546	1421691	SNP	15x
997858	190136	807722	INDEL	20x
4357451	2896721	1460730	SNP	20x
1005500	190451	815049	INDEL	25x
4385414	2899317	1486097	SNP	25x
1010001	190602	819399	INDEL	30x
4407891	2900510	1507381	SNP	30x
1013035	190654	822381	INDEL	35x
4427198	2901352	1525846	SNP	35x
