VarType_new	Region	category	LRS_specific	SRS_specific	shared	total	lrs_share_prop	srs_share_prop	lrs_only_prop	srs_only_prop
INDEL_16	GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5	Difficult regions	36364	5143	6595	48102	0.153518471100351	0.561850400408928	0.846481528899649	0.438149599591072
INDEL_16	GRCh38_AllTandemRepeatsandHomopolymers_slop5	Tandem repeat	187514	49117	93207	329838	0.332027172886959	0.654893060903291	0.667972827113041	0.345106939096709
INDEL_16	GRCh38_alldifficultregions	Difficult regions	188737	52537	96824	338098	0.339065908860103	0.648254899203942	0.660934091139897	0.351745100796058
INDEL_16	GRCh38_gclt25orgt65_slop50	GC content	51957	8373	10936	71266	0.173882626047414	0.566368014915325	0.826117373952586	0.433631985084676
INDEL_16	GRCh38_lowmappabilityall	Difficult regions	14412	6903	3421	24736	0.191835361408624	0.331363812475785	0.808164638591376	0.668636187524215
INDEL_16	GRCh38_notinalldifficultregions	Difficult regions	1940	10568	20691	33199	0.914276876850338	0.661921366646406	0.085723123149662	0.338078633353594
INDEL_16	GRCh38_refseq_cds	Difficult regions	172	305	498	975	0.743283582089552	0.620174346201744	0.256716417910448	0.379825653798257
INDEL_16	Genome-wide	Genome-wide	219174	64477	89015	372666	0.288832502133431	0.579932504625648	0.711167497866569	0.420067495374352
INDEL_16	TandemRepeats_ALL	Difficult regions	204343	57901	111647	373891	0.353324472293427	0.658497888503551	0.646675527706573	0.341502111496449
INDEL_1_5	GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5	Difficult regions	842783	648149	307590	1798522	0.267382840174448	0.321834726844881	0.732617159825552	0.678165273155119
INDEL_1_5	GRCh38_AllTandemRepeatsandHomopolymers_slop5	Tandem repeat	1113457	914525	634168	2662150	0.362874186395823	0.409485934268444	0.637125813604177	0.590514065731556
INDEL_1_5	GRCh38_alldifficultregions	Difficult regions	1140053	961708	740300	2842061	0.393702671785564	0.434956827464971	0.606297328214436	0.565043172535029
INDEL_1_5	GRCh38_gclt25orgt65_slop50	GC content	184664	77301	102225	364190	0.356322480122974	0.569416129140069	0.643677519877026	0.430583870859931
INDEL_1_5	GRCh38_lowmappabilityall	Difficult regions	68529	65075	46544	180148	0.404473681923648	0.416989938988882	0.595526318076352	0.583010061011118
INDEL_1_5	GRCh38_notinalldifficultregions	Difficult regions	13278	108528	612244	734050	0.978772928849825	0.849428113189747	0.0212270711501754	0.150571886810253
INDEL_1_5	GRCh38_refseq_cds	Difficult regions	208	3430	2436	6074	0.921331316187594	0.41527446300716	0.0786686838124055	0.58472553699284
INDEL_1_5	Genome-wide	Genome-wide	1183821	1078291	1322070	3584182	0.527584799179214	0.550779653560444	0.472415200820786	0.449220346439556
INDEL_1_5	TandemRepeats_ALL	Difficult regions	371724	343369	411025	1126118	0.525104471548351	0.544841289829983	0.474895528451649	0.455158710170017
INDEL_6_15	GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5	Difficult regions	133785	25035	29582	188402	0.181076961687489	0.541626233590274	0.818923038312511	0.458373766409726
INDEL_6_15	GRCh38_AllTandemRepeatsandHomopolymers_slop5	Tandem repeat	359001	106264	241249	706514	0.40191420241566	0.694215755957331	0.59808579758434	0.305784244042669
INDEL_6_15	GRCh38_alldifficultregions	Difficult regions	362008	116533	251377	729918	0.409819281527915	0.683256774754696	0.590180718472085	0.316743225245305
