svtype	threshold	matched_LRS	total_LRS	sensitivity	dataset	matched_SRS	total_SRS
DEL	0	1	26161	3.82248385000573e-05	LRS		
DEL	25	5061	26161	0.19345590764879	LRS		
DEL	50	6673	26161	0.255074347310883	LRS		
DEL	75	9293	26161	0.355223424181033	LRS		
DEL	100	10221	26161	0.390696074309086	LRS		
DEL	125	10667	26161	0.407744352280112	LRS		
DEL	150	10926	26161	0.417644585451627	LRS		
DEL	175	11081	26161	0.423569435419135	LRS		
DEL	200	11207	26161	0.428385765070143	LRS		
DEL	225	11285	26161	0.431367302473147	LRS		
DEL	250	11332	26161	0.43316386988265	LRS		
DEL	275	11378	26161	0.434922212453652	LRS		
DEL	300	11416	26161	0.436374756316655	LRS		
DEL	325	11455	26161	0.437865525018157	LRS		
DEL	350	11479	26161	0.438782921142158	LRS		
DEL	375	11513	26161	0.44008256565116	LRS		
DEL	400	11549	26161	0.441458659837162	LRS		
DEL	425	11571	26161	0.442299606284163	LRS		
DEL	450	11595	26161	0.443217002408165	LRS		
DEL	475	11610	26161	0.443790374985666	LRS		
DEL	500	11631	26161	0.444593096594167	LRS		
INS	0	7525	60390	0.124606722967379	LRS		
INS	25	10964	60390	0.181553237290942	LRS		
INS	50	12168	60390	0.201490312965723	LRS		
INS	75	12768	60390	0.211425732737208	LRS		
INS	100	13097	60390	0.216873654578573	LRS		
INS	125	13282	60390	0.219937075674781	LRS		
INS	150	13439	60390	0.222536843848319	LRS		
INS	175	13636	60390	0.225798973339957	LRS		
INS	200	13753	60390	0.227736380195397	LRS		
INS	225	13853	60390	0.229392283490644	LRS		
INS	250	13952	60390	0.231031627752939	LRS		
INS	275	14039	60390	0.232472263619805	LRS		
INS	300	14124	60390	0.233879781420765	LRS		
INS	325	14181	60390	0.234823646299056	LRS		
INS	350	14253	60390	0.236015896671634	LRS		
INS	375	14299	60390	0.236777612187448	LRS		
INS	400	14340	60390	0.2374565325385	LRS		
INS	425	14412	60390	0.238648782911078	LRS		
INS	450	14465	60390	0.239526411657559	LRS		
INS	475	14501	60390	0.240122536843848	LRS		
INS	500	14531	60390	0.240619307832423	LRS		
