overlap_category	variant_type	n	proportion
overlap_1KG	BND	999	0.00845657013704892
overlap_1KG	DEL	29898	0.253087621579068
overlap_1KG	DUP	562	0.00475734976678828
overlap_1KG	INS	56017	0.474185875242312
overlap_1KG	INV	323	0.00273420636062743
overlap_1KG	Reported	30334	0.256778376914156
overlap_GMTiP_SRS	BND	995	0.00842270999636004
overlap_GMTiP_SRS	DEL	20718	0.175378598698078
overlap_GMTiP_SRS	DUP	230	0.00194695808961086
overlap_GMTiP_SRS	INS	62864	0.53214597106651
overlap_GMTiP_SRS	INV	249	0.00210779375788306
overlap_GMTiP_SRS	Reported	33077	0.279997968391559
overlap_GTEX	BND	981	0.00830419950394894
overlap_GTEX	DEL	31131	0.263525009946416
overlap_GTEX	DUP	550	0.00465576934472163
overlap_GTEX	INS	77138	0.652975883114794
overlap_GTEX	INV	322	0.00272574132545521
overlap_GTEX	Reported	8011	0.0678133967646636
overlap_Han_Chinese	BND	997	0.00843964006670448
overlap_Han_Chinese	DEL	16400	0.138826576824427
overlap_Han_Chinese	DUP	263	0.00222630425029416
overlap_Han_Chinese	INS	44357	0.375483565134213
overlap_Han_Chinese	INV	102	0.000863433587566556
overlap_Han_Chinese	Reported	56014	0.474160480136795
overlap_gnomAD	BND	999	0.00845657013704892
overlap_gnomAD	DEL	16971	0.143660111907765
overlap_gnomAD	DUP	208	0.001760727315822
overlap_gnomAD	INS	75165	0.636274368720002
overlap_gnomAD	INV	320	0.00270881125511077
overlap_gnomAD	Reported	24470	0.207139410664251
