Var1	Var2	Freq
60	LRS	3442
70	LRS	2006
80	LRS	1536
90	LRS	1133
100	LRS	856
150	LRS	2767
200	LRS	1630
250	LRS	765
300	LRS	686
350	LRS	2038
400	LRS	383
450	LRS	285
500	LRS	281
600	LRS	530
700	LRS	518
800	LRS	320
900	LRS	390
1000	LRS	298
2000	LRS	2233
3000	LRS	1130
4000	LRS	687
5000	LRS	484
6000	LRS	329
7000	LRS	309
8000	LRS	141
9000	LRS	137
10000	LRS	100
11000	LRS	100
12000	LRS	77
13000	LRS	50
14000	LRS	39
15000	LRS	38
20000	LRS	127
25000	LRS	58
30000	LRS	39
35000	LRS	37
40000	LRS	25
45000	LRS	26
50000	LRS	11
1e+05	LRS	79
2e+05	LRS	25
3e+05	LRS	9
4e+05	LRS	1
5e+05	LRS	1
1e+06	LRS	3
2e+06	LRS	2
60	SRS	914
70	SRS	725
80	SRS	614
90	SRS	465
100	SRS	405
150	SRS	1334
200	SRS	701
250	SRS	440
300	SRS	357
350	SRS	1329
400	SRS	1037
450	SRS	568
500	SRS	355
600	SRS	445
700	SRS	342
800	SRS	303
900	SRS	269
1000	SRS	238
2000	SRS	1453
3000	SRS	791
4000	SRS	457
5000	SRS	360
6000	SRS	249
7000	SRS	255
8000	SRS	110
9000	SRS	124
10000	SRS	80
11000	SRS	83
12000	SRS	61
13000	SRS	42
14000	SRS	29
15000	SRS	38
20000	SRS	116
25000	SRS	75
30000	SRS	56
35000	SRS	37
40000	SRS	42
45000	SRS	38
50000	SRS	28
1e+05	SRS	141
2e+05	SRS	87
3e+05	SRS	39
4e+05	SRS	31
5e+05	SRS	13
1e+06	SRS	44
2e+06	SRS	52
