Var1	Var2	Freq
60	LRS	7267
70	LRS	4473
80	LRS	3652
90	LRS	2786
100	LRS	2417
150	LRS	8124
200	LRS	4585
250	LRS	2768
300	LRS	2345
350	LRS	6067
400	LRS	1741
450	LRS	1074
500	LRS	801
600	LRS	1322
700	LRS	1074
800	LRS	844
900	LRS	723
1000	LRS	593
2000	LRS	3085
3000	LRS	1671
4000	LRS	1030
5000	LRS	523
6000	LRS	290
7000	LRS	619
8000	LRS	135
9000	LRS	90
10000	LRS	69
11000	LRS	60
12000	LRS	30
13000	LRS	37
14000	LRS	28
15000	LRS	16
20000	LRS	37
25000	LRS	11
30000	LRS	2
35000	LRS	1
60	SRS	1917
70	SRS	1050
80	SRS	696
90	SRS	538
100	SRS	456
150	SRS	1242
200	SRS	575
250	SRS	287
300	SRS	362
350	SRS	2115
400	SRS	100
450	SRS	79
500	SRS	68
600	SRS	68
700	SRS	28
800	SRS	11
900	SRS	7
1000	SRS	2
2000	SRS	0
3000	SRS	0
4000	SRS	0
5000	SRS	0
6000	SRS	0
7000	SRS	0
8000	SRS	0
9000	SRS	0
10000	SRS	0
11000	SRS	0
12000	SRS	0
13000	SRS	0
14000	SRS	0
15000	SRS	0
20000	SRS	0
25000	SRS	0
30000	SRS	0
35000	SRS	0
