type	consequence_severe	total_in_type	count	pro
BND	3UTR	994	1	0.00100603621730382
BND	5UTR	994	1	0.00100603621730382
BND	Coding	994	6	0.00603621730382294
BND	Downstream	994	41	0.0412474849094567
BND	Intergenic	994	643	0.646881287726358
BND	Intron	994	231	0.232394366197183
BND	Upstream	994	71	0.0714285714285714
DEL	3UTR	28339	413	0.0145735558770599
DEL	5UTR	28339	149	0.00525777197501676
DEL	Coding	28339	304	0.0107272663114436
DEL	Downstream	28339	1165	0.0411094251737888
DEL	Intergenic	28339	10820	0.381805991742828
DEL	Intron	28339	14060	0.496136066904266
DEL	Upstream	28339	1428	0.0503899220155969
DUP	3UTR	169	3	0.0177514792899408
DUP	5UTR	169	10	0.0591715976331361
DUP	Coding	169	5	0.029585798816568
DUP	Downstream	169	8	0.0473372781065089
DUP	Intergenic	169	90	0.532544378698225
DUP	Intron	169	47	0.27810650887574
DUP	Upstream	169	6	0.0355029585798817
INS	3UTR	70341	487	0.00692341593096487
INS	5UTR	70341	153	0.00217511835202798
INS	Coding	70341	302	0.00429337086478725
INS	Downstream	70341	3169	0.0450519611606318
INS	Intergenic	70341	23405	0.332736242021012
INS	Intron	70341	38940	0.553588945280846
INS	Upstream	70341	3885	0.05523094638973
INV	3UTR	158	12	0.0759493670886076
INV	5UTR	158	10	0.0632911392405063
INV	Downstream	158	8	0.0506329113924051
INV	Intergenic	158	66	0.417721518987342
INV	Intron	158	54	0.341772151898734
INV	Upstream	158	8	0.0506329113924051
