type	Consequence	total_in_type	count	pro
BND	downstream_gene_variant	40	4	0.1
BND	feature_truncation	40	31	0.775
BND	upstream_gene_variant	40	5	0.125
DEL	3_prime_UTR_variant	26161	224	0.00856236382401284
DEL	5_prime_UTR_variant	26161	26	0.000993845801001491
DEL	coding_sequence_variant	26161	7	0.000267573869500401
DEL	downstream_gene_variant	26161	1047	0.04002140590956
DEL	feature_truncation	26161	28	0.00107029547800161
DEL	frameshift_variant	26161	13	0.000496922900500745
DEL	inframe_deletion	26161	131	0.00500745384350751
DEL	intergenic_variant	26161	6809	0.26027292534689
DEL	intron_variant	26161	14284	0.546003593134819
DEL	mature_miRNA_variant	26161	2	7.64496770001147e-05
DEL	non_coding_transcript_exon_variant	26161	605	0.0231260272925347
DEL	splice_acceptor_variant	26161	835	0.0319177401475479
DEL	splice_donor_5th_base_variant	26161	2	7.64496770001147e-05
DEL	splice_donor_region_variant	26161	2	7.64496770001147e-05
DEL	splice_donor_variant	26161	327	0.0124995221895187
DEL	splice_polypyrimidine_tract_variant	26161	10	0.000382248385000573
DEL	splice_region_variant	26161	17	0.000649822254500975
DEL	stop_lost	26161	5	0.000191124192500287
DEL	stop_retained_variant	26161	3	0.000114674515500172
DEL	transcript_ablation	26161	427	0.0163220060395245
DEL	upstream_gene_variant	26161	1357	0.0518711058445778
DUP	5_prime_UTR_variant	216	2	0.00925925925925926
DUP	coding_sequence_variant	216	4	0.0185185185185185
DUP	downstream_gene_variant	216	10	0.0462962962962963
DUP	feature_elongation	216	16	0.0740740740740741
DUP	intergenic_variant	216	61	0.282407407407407
DUP	intron_variant	216	44	0.203703703703704
DUP	non_coding_transcript_exon_variant	216	9	0.0416666666666667
DUP	transcript_amplification	216	65	0.300925925925926
DUP	upstream_gene_variant	216	5	0.0231481481481482
INS	3_prime_UTR_variant	60390	420	0.00695479384003974
INS	5_prime_UTR_variant	60390	147	0.00243417784401391
INS	downstream_gene_variant	60390	2621	0.0434012253684385
INS	feature_elongation	60390	5	8.27951647623779e-05
INS	frameshift_variant	60390	17	0.000281503560192085
INS	inframe_insertion	60390	200	0.00331180659049512
INS	intergenic_variant	60390	13346	0.220996853783739
INS	intron_variant	60390	38659	0.640155654909753
INS	mature_miRNA_variant	60390	2	3.31180659049512e-05
INS	non_coding_transcript_exon_variant	60390	1478	0.0244742507037589
INS	protein_altering_variant	60390	5	8.27951647623779e-05
INS	splice_acceptor_variant	60390	5	8.27951647623779e-05
INS	splice_donor_region_variant	60390	15	0.000248385494287134
INS	splice_donor_variant	60390	5	8.27951647623779e-05
INS	splice_polypyrimidine_tract_variant	60390	36	0.000596125186289121
INS	splice_region_variant	60390	40	0.000662361318099023
INS	stop_gained	60390	58	0.000960423911243583
INS	upstream_gene_variant	60390	3331	0.0551581387646961
INV	3_prime_UTR_variant	142	2	0.0140845070422535
INV	5_prime_UTR_variant	142	3	0.0211267605633803
INV	NMD_transcript_variant	142	1	0.00704225352112676
INV	coding_sequence_variant	142	18	0.126760563380282
INV	coding_transcript_variant	142	1	0.00704225352112676
INV	downstream_gene_variant	142	5	0.0352112676056338
INV	intergenic_variant	142	26	0.183098591549296
INV	intron_variant	142	37	0.26056338028169
INV	non_coding_transcript_exon_variant	142	31	0.21830985915493
INV	non_coding_transcript_variant	142	15	0.105633802816901
INV	upstream_gene_variant	142	3	0.0211267605633803
