type	Consequence	total_in_type	count	pro
2	3_prime_UTR_variant	439215	4373	0.00995639948544562
2	5_prime_UTR_variant	439215	753	0.00171442232164202
2	coding_sequence_variant	439215	2	4.5535785435379e-06
2	downstream_gene_variant	439215	16726	0.0380815773596075
2	frameshift_variant	439215	195	0.000443973907994946
2	inframe_deletion	439215	3	6.83036781530685e-06
2	inframe_insertion	439215	13	2.95982605329964e-05
2	intergenic_variant	439215	105965	0.241259975182997
2	intron_variant	439215	280881	0.639506847443735
2	mature_miRNA_variant	439215	2	4.5535785435379e-06
2	missense_variant	439215	61	0.000138884145577906
2	non_coding_transcript_exon_variant	439215	6857	0.0156119440365197
2	protein_altering_variant	439215	2	4.5535785435379e-06
2	splice_acceptor_variant	439215	49	0.000111562674316679
2	splice_donor_5th_base_variant	439215	18	4.09822068918411e-05
2	splice_donor_region_variant	439215	19	4.32589961636101e-05
2	splice_donor_variant	439215	109	0.000248170030622816
2	splice_polypyrimidine_tract_variant	439215	1360	0.00309643340960577
2	splice_region_variant	439215	186	0.000423482804549025
2	stop_gained	439215	18	4.09822068918411e-05
2	stop_retained_variant	439215	1	2.27678927176895e-06
2	synonymous_variant	439215	31	7.05804674248375e-05
2	upstream_gene_variant	439215	21591	0.0491581571667634
3	3_prime_UTR_variant	236063	2827	0.0119756166785985
3	5_prime_UTR_variant	236063	2498	0.0105819209278879
3	coding_sequence_variant	236063	22	9.31954605338406e-05
3	downstream_gene_variant	236063	9177	0.0388752155145025
3	frameshift_variant	236063	2299	0.00973892562578634
3	inframe_deletion	236063	419	0.00177494990743996
3	inframe_insertion	236063	813	0.00344399588245511
3	intergenic_variant	236063	49311	0.20888915247201
3	intron_variant	236063	144253	0.611078398563095
3	mature_miRNA_variant	236063	6	2.54169437819565e-05
3	missense_variant	236063	672	0.00284669770357913
3	non_coding_transcript_exon_variant	236063	8159	0.0345628073861639
3	protein_altering_variant	236063	29	0.00012284856161279
3	splice_acceptor_variant	236063	78	0.000330420269165435
3	splice_donor_5th_base_variant	236063	15	6.35423594548913e-05
3	splice_donor_region_variant	236063	26	0.000110140089721812
3	splice_donor_variant	236063	44	0.000186390921067681
3	splice_polypyrimidine_tract_variant	236063	1272	0.00538839208177478
3	splice_region_variant	236063	233	0.000987024650199311
3	start_lost	236063	11	4.65977302669203e-05
3	start_retained_variant	236063	12	5.0833887563913e-05
3	stop_gained	236063	168	0.000711674425894782
3	stop_lost	236063	1	4.23615729699275e-06
3	stop_retained_variant	236063	5	2.11807864849638e-05
3	synonymous_variant	236063	418	0.00177071375014297
3	upstream_gene_variant	236063	13295	0.0563197112635186
4	3_prime_UTR_variant	253801	2078	0.00818751699165882
4	5_prime_UTR_variant	253801	506	0.00199368796813251
4	coding_sequence_variant	253801	2	7.88018959736171e-06
4	downstream_gene_variant	253801	11388	0.0448697995673776
4	frameshift_variant	253801	89	0.000350668437082596
4	inframe_insertion	253801	7	2.7580663590766e-05
4	intergenic_variant	253801	55758	0.219691805784847
4	intron_variant	253801	162973	0.642129069625415
4	mature_miRNA_variant	253801	1	3.94009479868086e-06
4	missense_variant	253801	22	8.66820855709788e-05
4	non_coding_transcript_exon_variant	253801	4204	0.0165641585336543
4	splice_acceptor_variant	253801	71	0.000279746730706341
4	splice_donor_5th_base_variant	253801	18	7.09217063762554e-05
4	splice_donor_region_variant	253801	11	4.33410427854894e-05
4	splice_donor_variant	253801	41	0.000161543886745915
4	splice_polypyrimidine_tract_variant	253801	1018	0.00401101650505711
4	splice_region_variant	253801	146	0.000575253840607405
4	start_retained_variant	253801	1	3.94009479868086e-06
4	stop_gained	253801	6	2.36405687920851e-05
4	synonymous_variant	253801	10	3.94009479868086e-05
4	upstream_gene_variant	253801	15451	0.0608784047344179
5	3_prime_UTR_variant	85279	754	0.00884156709154657
5	5_prime_UTR_variant	85279	256	0.00300191137325719
5	downstream_gene_variant	85279	3501	0.0410534832725524
5	frameshift_variant	85279	33	0.000386965137958935
5	inframe_insertion	85279	2	2.34524326035718e-05
5	intergenic_variant	85279	23028	0.270031308997526
5	intron_variant	85279	50648	0.593909403252852
5	mature_miRNA_variant	85279	2	2.34524326035718e-05
5	missense_variant	85279	3	3.51786489053577e-05
5	non_coding_transcript_exon_variant	85279	1464	0.0171671806658146
5	splice_acceptor_variant	85279	27	0.000316607840148219
5	splice_donor_5th_base_variant	85279	12	0.000140714595621431
5	splice_donor_variant	85279	6	7.03572978107154e-05
5	splice_polypyrimidine_tract_variant	85279	540	0.00633215680296439
5	splice_region_variant	85279	53	0.000621489463994653
5	stop_gained	85279	3	3.51786489053577e-05
5	synonymous_variant	85279	3	3.51786489053577e-05
5	upstream_gene_variant	85279	4944	0.0579744133960295
6	3_prime_UTR_variant	31846	356	0.0111787979652076
6	5_prime_UTR_variant	31846	225	0.00706525152295422
6	coding_sequence_variant	31846	1	3.14011178797965e-05
6	downstream_gene_variant	31846	1428	0.0448407963323494
6	frameshift_variant	31846	91	0.00285750172706148
6	inframe_deletion	31846	50	0.00157005589398983
6	inframe_insertion	31846	80	0.00251208943038372
6	intergenic_variant	31846	5904	0.185392199962319
6	intron_variant	31846	20649	0.648401683099918
6	mature_miRNA_variant	31846	1	3.14011178797965e-05
6	missense_variant	31846	15	0.000471016768196948
6	non_coding_transcript_exon_variant	31846	703	0.022074985869497
6	splice_acceptor_variant	31846	10	0.000314011178797965
6	splice_donor_5th_base_variant	31846	4	0.000125604471519186
6	splice_donor_region_variant	31846	3	9.42033536393896e-05
6	splice_donor_variant	31846	5	0.000157005589398983
6	splice_polypyrimidine_tract_variant	31846	156	0.00489857438924826
