sample_id	level	correlation
BB201-4149	gene	0.7561092297606293
CC311-3082	gene	0.8149092743580366
AJ221-4023	gene	0.780324766795731
CB271-1710	gene	0.6303516497974407
CC201-5156	gene	0.7981794007756935
CC241-4019	gene	0.8095022698642923
BF221-0378	gene	0.8075401033389212
BC181-1053	gene	0.7460200059681944
CI251-5415	gene	0.8098314198605527
AJ221-1470	gene	0.8033981816388667
BA231-4155	gene	0.7938758786724208
CI161-0160	gene	0.8048294538895483
BA131-1053	gene	0.7842402717216354
BK071-1392	gene	0.7617914664610169
AJ211-0160	gene	0.8535093260987864
BB201-4019	gene	0.7645270871427481
AK112-4023	gene	0.8080194017094788
BJ191-0378	gene	0.7981902014307141
AK112-1710	gene	0.7411039589780402
AJ141-2099	gene	0.8141917466676741
CC311-4003	gene	0.8102694089137114
AK091-0087	gene	0.8488615567151134
AJ231-2099	gene	0.8669078879123319
CH091-3082	gene	0.8116628648254092
BA251-0160	gene	0.7770447333777512
BH131-1236	gene	0.7871986724928264
BA232-0378	gene	0.8653572628768768
BK071-1856	gene	0.7771172951218424
CI201-1053	gene	0.8222671831641042
BA231-3082	gene	0.8108001406449734
CC241-4022	gene	0.7702266968303663
AK281-1108	gene	0.7845689013659091
BB202-0378	gene	0.8458908612469577
BB202-5032	gene	0.7104360093097671
BB201-1856	gene	0.784867454841194
BB201-1053	gene	0.8374409012129606
CI221-5415	gene	0.8076921477240728
BH131-4022	gene	0.7662852650443227
AJ211-1856	gene	0.8395660604281237
BB201-4155	gene	0.7779313411967081
CJ151-5415	gene	0.807495093804662
AK112-4002	gene	0.8287938571196191
BK161-1236	gene	0.7782238498948488
CE141-1601	gene	0.7923785675068102
CB271-4022	gene	0.6935904940605457
CH101-1236	gene	0.8227438271054466
BI071-1236	gene	0.8087356538989865
CA081-1392	gene	0.7541336182751106
BC181-1392	gene	0.6908836871514196
BC181-2099	gene	0.7807008258703603
CC241-4023	gene	0.740351429877545
BH131-0378	gene	0.7908272506833038
CI221-6145	gene	0.7738621493981966
CC241-1584	gene	0.6941588894574673
BC161-1856	gene	0.8143782751633827
BH131-1710	gene	0.6651265113923307
CF201-2099	gene	0.830044727711696
CE161-0262	gene	0.6874705005598081
CI161-5415	gene	0.82864983582057
BC161-0160	gene	0.8080216506163844
BL261-3170	gene	0.7319501686486863
AL121-0378	gene	0.8366267449409489
AJ221-1053	gene	0.8201510506400727
CF301-0262	gene	0.6850239905211716
CB271-1601	gene	0.7932621065914988
CB161-1392	gene	0.7440188367911199
CC241-6246	gene	0.7719613655749095
BK021-0087	gene	0.8115778019374357
CB271-4155	gene	0.7377176238521261
CA081-3170	gene	0.805936774725362
CF301-4151	gene	0.7496784598186038
CC241-5156	gene	0.725592350858302
CI221-3082	gene	0.7932458519151124
AK091-3082	gene	0.8205082201197743
AL271-1856	gene	0.8517825089650557
CF241-1236	gene	0.8097028622788196
CC311-1584	gene	0.8335425864799294
BK071-4150	gene	0.8224354836399191
AJ221-4019	gene	0.798988759415397
CA081-1856	gene	0.7616409885978208
AJ231-1053	gene	0.851364501174076
BA251-2099	gene	0.8607287909224475
CG041-6145	gene	0.8022770956187749
CC311-4018	gene	0.8142831575585515
BK021-1053	gene	0.7833465738410266
BE161-5302	gene	0.6290763587368393
CA081-4003	gene	0.7825376152881738
BC041-3082	gene	0.7998264217406055
BG171-0378	gene	0.7772057935018266
CB261-0087	gene	0.7676628497353657
CA121-0160	gene	0.8389528901907464
CI301-5415	gene	0.8073964592272256
BH131-4003	gene	0.7567542501961567
CG171-1108	gene	0.749750524177756
BJ191-1108	gene	0.7308310839888404
BB201-4023	gene	0.7799466257538119
CI291-5415	gene	0.8314950997910976
AL121-1053	gene	0.8534374549128839
BD201-0087	gene	0.8366920291465383
CC241-1470	gene	0.7951888875206432
AJ231-0087	gene	0.85446549129322
CC241-4002	gene	0.8167800058451024
BC181-1236	gene	0.7937482904679203
CF011-1108	gene	0.8358386096837036
CB281-3082	gene	0.7702837705898237
AK091-1710	gene	0.8252396660706147
BC181-3082	gene	0.8684095997050733
CC241-3082	gene	0.81001851439348
BG091-0160	gene	0.8770436716227727
CB271-0087	gene	0.7868158578382788
BJ141-0087	gene	0.795001562968929
CJ151-6145	gene	0.7690387837132172
BK281-4018	gene	0.7905836586315333
CF242-0087	gene	0.8370567679784618
BK071-4149	gene	0.7677388632217652
CI231-0160	gene	0.8392089229885893
CF242-2099	gene	0.864014525348119
AK091-4002	gene	0.807562456450797
CG091-0262	gene	0.8012717540131995
BK281-0087	gene	0.8126821720646857
AJ142-1053	gene	0.8223962892658485
AJ221-4149	gene	0.7785418622853499
CB271-1584	gene	0.8027484447778817
BE161-1710	gene	0.7432050426744126
AJ221-1584	gene	0.8074396750633478
AK221-2099	gene	0.8459977125516464
CC311-4019	gene	0.7982166087517375
AK231-1710	gene	0.8141297437671527
BA041-1236	gene	0.8210018048768856
AK092-1053	gene	0.856760971656309
AJ221-1710	gene	0.798119239027293
CC241-1601	gene	0.7600533448204142
BL021-0378	gene	0.832967334367687
BC181-0087	gene	0.8183637790017126
BI071-1856	gene	0.8339736480861213
CG041-4018	gene	0.7946209161598448
BE141-1856	gene	0.748985224899519
CC241-4018	gene	0.7897000529497795
CC311-5032	gene	0.789840025643051
CG071-6145	gene	0.711235818528782
CC241-6235	gene	0.7811427796055056
BL221-0262	gene	0.6890422488495023
CC241-1710	gene	0.7148973808516541
BA232-1856	gene	0.8394992780805739
BC041-0262	gene	0.7576781843482763
CD021-4003	gene	0.8163347716786108
CJ092-6246	gene	0.8041338117507403
CC131-3082	gene	0.8357853429177154
AK221-0160	gene	0.8321693146861133
CD021-4002	gene	0.8233506269263811
BA082-0160	gene	0.8515805667066054
CI201-5415	gene	0.7697300770699175
CK031-5415	gene	0.8215393222768698
CG041-5156	gene	0.8024178759273356
AK231-5032	gene	0.7622236961664272
BA191-2099	gene	0.8540062900751094
CB151-1236	gene	0.7605730615244846
CC311-1470	gene	0.8271133134672873
BA131-2099	gene	0.879777548232954
CC311-1601	gene	0.8066466766236509
AK111-1236	gene	0.8455446861746874
AJ231-1236	gene	0.8509984106022832
BL261-0262	gene	0.8176999343174359
CI222-5415	gene	0.793178673144304
AJ221-4155	gene	0.7970090905957173
BL021-2099	gene	0.7114547379391616
CC311-5156	gene	0.7894395924788217
CC201-3170	gene	0.773156767887815
CJ092-5415	gene	0.8086875144837441
BB201-1710	gene	0.6825950592607104
CF242-0378	gene	0.791956142406666
BB201-4149	transcript	0.5223570206509854
CC311-3082	transcript	0.5502949203254884
AJ221-4023	transcript	0.5322892262278122
CB271-1710	transcript	0.4315554418000387
CC201-5156	transcript	0.5457851505676953
CC241-4019	transcript	0.564129576416107
BF221-0378	transcript	0.5329826874918971
BC181-1053	transcript	0.5222666326968626
CI251-5415	transcript	0.5763707053036881
AJ221-1470	transcript	0.5692585441871048
BA231-4155	transcript	0.552286520138703
CI161-0160	transcript	0.5424924899493884
BA131-1053	transcript	0.5562371834879911
BK071-1392	transcript	0.5267990257744102
AJ211-0160	transcript	0.6272195167176964
BB201-4019	transcript	0.5294019023049858
AK112-4023	transcript	0.5569534987973419
BJ191-0378	transcript	0.5290354988006158
AK112-1710	transcript	0.5349595610651976
AJ141-2099	transcript	0.5554680799753776
CC311-4003	transcript	0.5593505687954331
AK091-0087	transcript	0.6272209712828506
AJ231-2099	transcript	0.6271886193227914
CH091-3082	transcript	0.56463077448466
BA251-0160	transcript	0.5287698382051917
BH131-1236	transcript	0.5309026262203529
BA232-0378	transcript	0.6000778693685205
BK071-1856	transcript	0.544439420834341
CI201-1053	transcript	0.5743219800467544
BA231-3082	transcript	0.5701309882283904
CC241-4022	transcript	0.5377222875108888
AK281-1108	transcript	0.5511791392132284
BB202-0378	transcript	0.5999893051699305
BB202-5032	transcript	0.4761813612461016
BB201-1856	transcript	0.5802136317859468
BB201-1053	transcript	0.6211269621031094
CI221-5415	transcript	0.5604384266662258
BH131-4022	transcript	0.530881851632534
AJ211-1856	transcript	0.6195008535902553
BB201-4155	transcript	0.5437617972464363
CJ151-5415	transcript	0.5607651800960386
AK112-4002	transcript	0.5872502887519827
BK161-1236	transcript	0.5510801697558697
CE141-1601	transcript	0.5613398248806587
CB271-4022	transcript	0.4559566159537971
CH101-1236	transcript	0.5740132007773521
BI071-1236	transcript	0.5782415718670235
CA081-1392	transcript	0.4874288303801445
BC181-1392	transcript	0.4795945383228983
BC181-2099	transcript	0.5326481609975643
CC241-4023	transcript	0.4951349111635847
BH131-0378	transcript	0.5309702840652165
CI221-6145	transcript	0.5517697859367213
CC241-1584	transcript	0.4586205102891921
BC161-1856	transcript	0.5749486424296752
BH131-1710	transcript	0.4897584688264338
CF201-2099	transcript	0.5958450935776157
CE161-0262	transcript	0.4652148220214716
CI161-5415	transcript	0.5806372947928252
BC161-0160	transcript	0.554022818208142
BL261-3170	transcript	0.4692056648501918
AL121-0378	transcript	0.6011474459111927
AJ221-1053	transcript	0.4915807576061705
CF301-0262	transcript	0.4744726108536942
CB271-1601	transcript	0.5233833156492885
CB161-1392	transcript	0.5094271445306128
CC241-6246	transcript	0.510748581451448
BK021-0087	transcript	0.5557632633509569
CB271-4155	transcript	0.5043886278994483
CA081-3170	transcript	0.5541277093640737
CF301-4151	transcript	0.536610492233072
CC241-5156	transcript	0.5168578865476515
CI221-3082	transcript	0.5422624660318481
AK091-3082	transcript	0.6013435313884912
AL271-1856	transcript	0.625918307447875
CF241-1236	transcript	0.5682557358052057
CC311-1584	transcript	0.5795145834993845
BK071-4150	transcript	0.5555376284541081
AJ221-4019	transcript	0.4888596547243047
CA081-1856	transcript	0.5332860481398043
AJ231-1053	transcript	0.6090504547408688
BA251-2099	transcript	0.6284991734110064
CG041-6145	transcript	0.5287856328361241
CC311-4018	transcript	0.574740000473144
BK021-1053	transcript	0.5635581571028156
BE161-5302	transcript	0.4377209471903631
CA081-4003	transcript	0.5354644289470927
BC041-3082	transcript	0.578569780459438
BG171-0378	transcript	0.4981171604511121
CB261-0087	transcript	0.5212478139027591
CA121-0160	transcript	0.5585159111546489
